# source=pairwise_intervals bin_width=0.050 n_pairs=276
bin_center,count,frac
0.0250,1.000000,0.003623
0.0750,2.000000,0.007246
0.1250,3.000000,0.010870
0.1750,0.000000,0.000000
0.2250,1.000000,0.003623
0.2750,1.000000,0.003623
0.3250,1.000000,0.003623
0.3750,2.000000,0.007246
0.4250,2.000000,0.007246
0.4750,0.000000,0.000000
0.5250,0.000000,0.000000
0.5750,4.000000,0.014493
0.6250,2.000000,0.007246
0.6750,1.000000,0.003623
0.7250,2.000000,0.007246
0.7750,0.000000,0.000000
0.8250,2.000000,0.007246
0.8750,1.000000,0.003623
0.9250,1.000000,0.003623
0.9750,2.000000,0.007246
1.0250,3.000000,0.010870
1.0750,0.000000,0.000000
1.1250,2.000000,0.007246
1.1750,1.000000,0.003623
1.2250,0.000000,0.000000
1.2750,2.000000,0.007246
1.3250,2.000000,0.007246
1.3750,2.000000,0.007246
1.4250,2.000000,0.007246
1.4750,0.000000,0.000000
1.5250,1.000000,0.003623
1.5750,4.000000,0.014493
1.6250,3.000000,0.010870
1.6750,0.000000,0.000000
1.7250,0.000000,0.000000
1.7750,0.000000,0.000000
1.8250,1.000000,0.003623
1.8750,0.000000,0.000000
1.9250,2.000000,0.007246
1.9750,1.000000,0.003623
2.0250,1.000000,0.003623
2.0750,2.000000,0.007246
2.1250,3.000000,0.010870
2.1750,3.000000,0.010870
2.2250,2.000000,0.007246
2.2750,0.000000,0.000000
2.3250,1.000000,0.003623
2.3750,0.000000,0.000000
2.4250,0.000000,0.000000
2.4750,1.000000,0.003623
2.5250,3.000000,0.010870
2.5750,1.000000,0.003623
2.6250,3.000000,0.010870
2.6750,0.000000,0.000000
2.7250,3.000000,0.010870
2.7750,2.000000,0.007246
2.8250,1.000000,0.003623
2.8750,1.000000,0.003623
2.9250,0.000000,0.000000
2.9750,0.000000,0.000000
3.0250,1.000000,0.003623
3.0750,1.000000,0.003623
3.1250,3.000000,0.010870
3.1750,2.000000,0.007246
3.2250,3.000000,0.010870
3.2750,1.000000,0.003623
3.3250,2.000000,0.007246
3.3750,1.000000,0.003623
3.4250,0.000000,0.000000
3.4750,0.000000,0.000000
3.5250,3.000000,0.010870
3.5750,0.000000,0.000000
3.6250,3.000000,0.010870
3.6750,5.000000,0.018116
3.7250,0.000000,0.000000
3.7750,2.000000,0.007246
3.8250,1.000000,0.003623
3.8750,1.000000,0.003623
3.9250,0.000000,0.000000
3.9750,0.000000,0.000000
4.0250,0.000000,0.000000
4.0750,1.000000,0.003623
4.1250,1.000000,0.003623
4.1750,0.000000,0.000000
4.2250,1.000000,0.003623
4.2750,4.000000,0.014493
4.3250,0.000000,0.000000
4.3750,1.000000,0.003623
4.4250,1.000000,0.003623
4.4750,0.000000,0.000000
4.5250,0.000000,0.000000
4.5750,0.000000,0.000000
4.6250,1.000000,0.003623
4.6750,4.000000,0.014493
4.7250,0.000000,0.000000
4.7750,0.000000,0.000000
4.8250,3.000000,0.010870
4.8750,0.000000,0.000000
4.9250,0.000000,0.000000
4.9750,0.000000,0.000000
5.0250,0.000000,0.000000
5.0750,1.000000,0.003623
5.1250,1.000000,0.003623
5.1750,1.000000,0.003623
5.2250,2.000000,0.007246
5.2750,1.000000,0.003623
5.3250,1.000000,0.003623
5.3750,0.000000,0.000000
5.4250,1.000000,0.003623
5.4750,1.000000,0.003623
5.5250,0.000000,0.000000
5.5750,0.000000,0.000000
5.6250,0.000000,0.000000
5.6750,2.000000,0.007246
5.7250,1.000000,0.003623
5.7750,2.000000,0.007246
5.8250,2.000000,0.007246
