step,agent_id,semitones,c_level
0,0,-10.163177,0.704592
1,0,-10.223179,0.771018
2,0,-10.223179,0.783875
3,0,-10.343182,0.828636
4,0,-10.343182,0.833367
5,0,-10.433178,0.712991
6,0,-10.433178,0.714509
7,0,-10.553181,0.821735
8,0,-10.553181,0.828672
9,0,-10.643177,0.738452
10,0,-10.643177,0.783835
11,0,-10.883183,0.789279
12,0,-10.883183,0.804637
13,0,-10.733179,0.798448
14,0,-10.733179,0.796887
15,0,-10.643177,0.738036
16,0,-10.643177,0.762889
17,0,-10.463184,0.734664
18,0,-10.463184,0.762720
19,0,-10.703178,0.778364
20,0,-10.703178,0.764743
21,0,-10.643177,0.812668
22,0,-10.643177,0.757168
23,0,-10.853182,0.713817
24,0,-10.853182,0.729232
25,0,-11.093182,0.684384
26,0,-11.093182,0.705946
27,0,-10.943184,0.724114
28,0,-10.943184,0.755995
29,0,-10.853182,0.738318
30,0,-10.853182,0.743742
31,0,-11.093182,0.703974
32,0,-11.093182,0.731417
33,0,-10.973179,0.725930
34,0,-10.973179,0.693747
35,0,-10.913177,0.666816
36,0,-10.913177,0.700016
37,0,-11.093182,0.687535
38,0,-11.093182,0.679304
39,0,-11.333181,0.662849
40,0,-11.333181,0.718227
41,0,-11.213184,0.689454
42,0,-11.213184,0.714634
43,0,-11.033180,0.668332
44,0,-11.033180,0.712819
45,0,-10.823181,0.843494
46,0,-10.823181,0.812560
47,0,-11.003180,0.717076
48,0,-11.003180,0.712679
49,0,-11.153183,0.678182
50,0,-11.153183,0.640048
51,0,-11.033180,0.878796
52,0,-11.033180,0.878780
53,0,-11.033180,0.874510
54,0,-11.033180,0.871375
55,0,-11.033180,0.870941
56,0,-11.033180,0.876476
57,0,-11.033180,0.878836
58,0,-11.033180,0.875717
59,0,-11.033180,0.873875
60,0,-11.033180,0.878915
61,0,-11.033180,0.878836
62,0,-11.033180,0.878471
63,0,-11.033180,0.876609
64,0,-11.033180,0.877971
65,0,-11.033180,0.877621
66,0,-11.033180,0.877986
67,0,-11.033180,0.876146
68,0,-11.033180,0.875499
69,0,-11.033180,0.876230
70,0,-11.033180,0.876230
71,0,-11.033180,0.875499
72,0,-11.033180,0.875499
73,0,-11.033180,0.875263
74,0,-11.033180,0.875263
75,0,-11.033180,0.875499
76,0,-11.033180,0.875499
77,0,-11.033180,0.877146
78,0,-11.033180,0.877146
79,0,-11.033180,0.875499
80,0,-11.033180,0.875499
81,0,-11.033180,0.875263
82,0,-11.033180,0.875263
83,0,-11.033180,0.875499
84,0,-11.033180,0.875499
85,0,-11.033180,0.877146
86,0,-11.033180,0.877146
87,0,-11.033180,0.875499
88,0,-11.033180,0.875499
89,0,-11.033180,0.876230
90,0,-11.033180,0.876230
91,0,-11.033180,0.874266
92,0,-11.033180,0.874266
93,0,-11.033180,0.876230
94,0,-11.033180,0.876230
95,0,-11.033180,0.875499
96,0,-11.033180,0.875499
97,0,-11.033180,0.876230
98,0,-11.033180,0.876230
99,0,-11.033180,0.875297
0,1,6.186825,0.820475
1,1,6.186825,0.765191
2,1,6.006821,0.698005
3,1,6.006821,0.705139
4,1,5.766815,0.719211
5,1,5.766815,0.727926
6,1,5.526821,0.801875
7,1,5.526821,0.827377
8,1,5.676819,0.775624
9,1,5.676819,0.766048
10,1,5.766815,0.767203
11,1,5.766815,0.765329
12,1,5.766815,0.761844
13,1,5.766815,0.706050
14,1,5.676819,0.779867
15,1,5.676819,0.792376
16,1,5.616817,0.740177
17,1,5.616817,0.763156
18,1,5.376823,0.824056
19,1,5.376823,0.800029
20,1,5.316822,0.771672
21,1,5.316822,0.793238
22,1,5.496815,0.710230
23,1,5.496815,0.683724
24,1,5.376823,0.742695
25,1,5.376823,0.715538
26,1,5.136818,0.789889
27,1,5.136818,0.802364
28,1,5.226826,0.759570
29,1,5.226826,0.703020
30,1,5.376823,0.844111
31,1,5.376823,0.821098
32,1,5.466820,0.732030
33,1,5.466820,0.748067
34,1,5.256821,0.788151
35,1,5.256821,0.778021
36,1,5.346817,0.732467
37,1,5.346817,0.750498
38,1,5.136818,0.741978
39,1,5.136818,0.742948
40,1,5.226826,0.762556
41,1,5.226826,0.778527
42,1,5.046822,0.833809
43,1,5.046822,0.826232
44,1,5.136818,0.773005
45,1,5.136818,0.795327
46,1,4.926819,0.759862
47,1,4.926819,0.757537
48,1,5.046822,0.812483
49,1,5.046822,0.808372
50,1,4.836823,0.757814
51,1,4.836823,0.842159
52,1,4.836823,0.828122
53,1,4.836823,0.874835
54,1,4.836823,0.874835
55,1,4.836823,0.874993
56,1,4.836823,0.874992
57,1,4.836823,0.874752
58,1,4.836823,0.874805
59,1,4.836823,0.874962
60,1,4.836823,0.874269
61,1,4.836823,0.869977
62,1,4.836823,0.873904
63,1,4.836823,0.871952
64,1,4.836823,0.873222
65,1,4.836823,0.874808
66,1,4.836823,0.874808
67,1,4.836823,0.872901
68,1,4.836823,0.874125
69,1,4.836823,0.874808
70,1,4.836823,0.874808
71,1,4.836823,0.874125
72,1,4.836823,0.874125
73,1,4.836823,0.865396
74,1,4.836823,0.865396
75,1,4.836823,0.874125
76,1,4.836823,0.874125
77,1,4.836823,0.873804
78,1,4.836823,0.873804
79,1,4.836823,0.874125
80,1,4.836823,0.874125
81,1,4.836823,0.865396
82,1,4.836823,0.865396
83,1,4.836823,0.874125
84,1,4.836823,0.874125
85,1,4.836823,0.873804
86,1,4.836823,0.873804
87,1,4.836823,0.874125
88,1,4.836823,0.874125
89,1,4.836823,0.874808
90,1,4.836823,0.874808
91,1,4.836823,0.866355
92,1,4.836823,0.866355
93,1,4.836823,0.874808
94,1,4.836823,0.874808
95,1,4.836823,0.874125
96,1,4.836823,0.874125
97,1,4.836823,0.874808
98,1,4.836823,0.874808
99,1,4.836823,0.871888
0,2,-0.593182,0.800394
1,2,-0.533180,0.829479
2,2,-0.533180,0.832702
3,2,-0.353182,0.778817
4,2,-0.353182,0.785390
5,2,-0.143177,0.731991
6,2,-0.143177,0.742677
7,2,-0.083181,0.712332
8,2,-0.083181,0.757905
9,2,-0.263180,0.732443
10,2,-0.263180,0.831211
11,2,-0.473179,0.804371
12,2,-0.473179,0.839759
13,2,-0.233185,0.755766
14,2,-0.233185,0.734680
15,2,-0.443184,0.762046
16,2,-0.443184,0.736024
17,2,-0.563181,0.736895
18,2,-0.563181,0.691620
19,2,-0.623177,0.705756
20,2,-0.623177,0.678479
21,2,-0.443184,0.804461
22,2,-0.443184,0.712773
23,2,-0.533180,0.684306
24,2,-0.533180,0.663538
25,2,-0.623177,0.700409
26,2,-0.623177,0.714455
27,2,-0.473179,0.748771
28,2,-0.473179,0.773291
29,2,-0.683178,0.771677
30,2,-0.683178,0.765658
31,2,-0.593182,0.751554
32,2,-0.593182,0.769800
33,2,-0.803181,0.750196
34,2,-0.803181,0.692910
35,2,-0.713184,0.731652
36,2,-0.713184,0.733173
37,2,-0.893177,0.743332
38,2,-0.893177,0.718658
39,2,-0.803181,0.700417
40,2,-0.803181,0.735770
41,2,-1.013180,0.702474
42,2,-1.013180,0.685637
43,2,-0.923183,0.716348
44,2,-0.923183,0.746598
45,2,-1.133183,0.781595
46,2,-1.133183,0.752364
47,2,-1.013180,0.737570
48,2,-1.013180,0.714958
49,2,-1.223179,0.720322
50,2,-1.223179,0.643860
51,2,-0.983185,0.735679
52,2,-0.983185,0.674938
53,2,-1.013180,0.718269
54,2,-1.013180,0.713439
55,2,-1.043180,0.702277
56,2,-1.043180,0.733236
57,2,-1.043180,0.711794
58,2,-1.043180,0.697731
59,2,-1.043180,0.697920
60,2,-1.043180,0.697756
61,2,-1.073181,0.687704
62,2,-1.073181,0.716307
63,2,-1.073181,0.723654
64,2,-1.073181,0.723935
65,2,-1.073181,0.712552
66,2,-1.073181,0.715292
67,2,-1.073181,0.722587
68,2,-1.073181,0.717405
69,2,-1.073181,0.708847
70,2,-1.073181,0.708847
71,2,-1.073181,0.717405
72,2,-1.073181,0.717405
73,2,-1.073181,0.719671
74,2,-1.073181,0.719671
75,2,-1.073181,0.717405
76,2,-1.073181,0.717405
77,2,-1.073181,0.711351
78,2,-1.073181,0.711351
79,2,-1.073181,0.717405
80,2,-1.073181,0.717405
81,2,-1.073181,0.719671
82,2,-1.073181,0.719671
83,2,-1.073181,0.717405
84,2,-1.073181,0.717405
85,2,-1.073181,0.711351
86,2,-1.073181,0.711351
87,2,-1.073181,0.717405
88,2,-1.073181,0.717405
89,2,-1.073181,0.708847
90,2,-1.073181,0.708847
91,2,-1.073181,0.722980
92,2,-1.073181,0.722980
93,2,-1.073181,0.708847
94,2,-1.073181,0.708847
95,2,-1.073181,0.717405
96,2,-1.073181,0.717405
97,2,-1.073181,0.708847
98,2,-1.073181,0.708847
99,2,-1.073181,0.718630
0,3,11.376812,0.834387
1,3,11.376812,0.686165
2,3,11.256821,0.682606
3,3,11.256821,0.724494
4,3,11.466820,0.771843
5,3,11.466820,0.781011
6,3,11.346817,0.717946
7,3,11.346817,0.766805
8,3,11.526821,0.796078
9,3,11.526821,0.773696
10,3,11.436825,0.804053
11,3,11.436825,0.826852
12,3,11.346817,0.811690
13,3,11.346817,0.781989
14,3,11.166813,0.740026
15,3,11.166813,0.762177
16,3,10.956814,0.784680
17,3,10.956814,0.793288
18,3,10.896824,0.747182
19,3,10.896824,0.788166
20,3,11.136818,0.739936
21,3,11.136818,0.761862
22,3,11.376812,0.726605
23,3,11.376812,0.722146
24,3,11.556828,0.788045
25,3,11.556828,0.775238
26,3,11.646824,0.743735
27,3,11.646824,0.749991
28,3,11.406818,0.767842
29,3,11.406818,0.723010
30,3,11.196819,0.762625
31,3,11.196819,0.761417
32,3,11.316822,0.782744
33,3,11.316822,0.783243
34,3,11.106823,0.757911
35,3,11.106823,0.736932
36,3,10.866817,0.727753
37,3,10.866817,0.735463
38,3,10.986820,0.727788
39,3,10.986820,0.722920
40,3,10.746815,0.759072
41,3,10.746815,0.759465
42,3,10.836811,0.731445
43,3,10.836811,0.718925
44,3,10.986820,0.846637
45,3,10.986820,0.844531
46,3,11.166813,0.723930
47,3,11.166813,0.720078
48,3,11.256821,0.739538
49,3,11.256821,0.744874
50,3,11.016827,0.694035
51,3,11.016827,0.756001
52,3,10.986820,0.715273
53,3,10.986820,0.726424
54,3,10.986820,0.721616
55,3,10.986820,0.703902
56,3,10.956814,0.723227
57,3,10.956814,0.707138
58,3,10.956814,0.694212
59,3,10.956814,0.694559
60,3,10.956814,0.697527
61,3,10.956814,0.669634
62,3,10.926819,0.702155
63,3,10.926819,0.708145
64,3,10.926819,0.709222
65,3,10.926819,0.699894
66,3,10.926819,0.703972
67,3,10.926819,0.709892
68,3,10.926819,0.704282
69,3,10.926819,0.697329
70,3,10.926819,0.697329
71,3,10.926819,0.704282
72,3,10.926819,0.704282
73,3,10.926819,0.705994
74,3,10.926819,0.705994
75,3,10.926819,0.704282
76,3,10.926819,0.704282
77,3,10.926819,0.699409
78,3,10.926819,0.699409
79,3,10.926819,0.704282
80,3,10.926819,0.704282
