abs_semitones,mean_frac,std_frac,n_seeds
0.2500,0.017731,0.019494,20
0.5000,0.036551,0.028077,20
0.7500,0.037477,0.024331,20
1.0000,0.018588,0.015618,20
1.2500,0.020255,0.016988,20
1.5000,0.029653,0.024367,20
1.7500,0.031806,0.023878,20
2.0000,0.018148,0.014729,20
2.2500,0.017431,0.015656,20
2.5000,0.026065,0.022722,20
2.7500,0.017176,0.014302,20
3.0000,0.022523,0.018689,20
3.2500,0.018704,0.016793,20
3.5000,0.023611,0.020830,20
3.7500,0.019375,0.016904,20
4.0000,0.012407,0.011645,20
4.2500,0.021412,0.018424,20
4.5000,0.020116,0.018685,20
4.7500,0.018889,0.015904,20
5.0000,0.017153,0.017923,20
5.2500,0.019907,0.019265,20
5.5000,0.024606,0.021218,20
5.7500,0.013796,0.013323,20
6.0000,0.014074,0.022185,20
6.2500,0.019491,0.019248,20
6.5000,0.018102,0.020765,20
6.7500,0.024236,0.016681,20
7.0000,0.012037,0.011795,20
7.2500,0.013519,0.015674,20
7.5000,0.023935,0.022038,20
7.7500,0.024630,0.024684,20
8.0000,0.015324,0.017576,20
8.2500,0.013426,0.014437,20
8.5000,0.013750,0.014059,20
8.7500,0.015255,0.013804,20
9.0000,0.018403,0.014954,20
9.2500,0.027731,0.025678,20
9.5000,0.016667,0.013817,20
9.7500,0.019190,0.015990,20
10.0000,0.017176,0.011745,20
10.2500,0.018356,0.019779,20
10.5000,0.026713,0.020648,20
10.7500,0.014977,0.010583,20
11.0000,0.022523,0.018671,20
11.2500,0.018634,0.018076,20
11.5000,0.018102,0.020416,20
11.7500,0.036088,0.033929,20
12.0000,0.034282,0.021919,20
