step,mean_c_level
0,0.770728
1,0.737497
2,0.724910
3,0.738715
4,0.756868
5,0.753738
6,0.765082
7,0.776818
8,0.772448
9,0.767480
10,0.822633
11,0.828944
12,0.824660
13,0.768775
14,0.780064
15,0.775185
16,0.765168
17,0.775537
18,0.769984
19,0.776459
20,0.771032
21,0.787622
22,0.729424
23,0.726174
24,0.747221
25,0.732721
26,0.748507
27,0.751438
28,0.782616
29,0.761477
30,0.780537
31,0.767923
32,0.766985
33,0.776542
34,0.762290
35,0.754236
36,0.741977
37,0.747434
38,0.734573
39,0.731376
40,0.748199
41,0.745131
42,0.750827
43,0.747239
44,0.761647
45,0.790808
46,0.766085
47,0.757140
48,0.753941
49,0.756375
50,0.717738
51,0.744118
52,0.742333
53,0.767935
54,0.764337
55,0.763351
56,0.770140
57,0.766307
58,0.764218
59,0.761608
60,0.765402
61,0.763226
62,0.768329
63,0.766848
64,0.769494
65,0.767717
66,0.773687
67,0.772498
68,0.776392
69,0.776433
70,0.776433
71,0.776392
72,0.776392
73,0.775058
74,0.775058
75,0.776392
76,0.776392
77,0.777319
78,0.777319
79,0.776392
80,0.776392
81,0.775058
82,0.775058
83,0.776392
84,0.776392
85,0.777319
86,0.777319
87,0.776392
88,0.776392
89,0.776433
90,0.776433
91,0.775054
92,0.775054
93,0.776433
94,0.776433
95,0.776392
96,0.776392
97,0.776433
98,0.776433
99,0.776189
