step,mean_c_score
0,0.579153
1,0.657637
2,0.650437
3,0.639116
4,0.613374
5,0.633205
6,0.531789
7,0.519924
8,0.600078
9,0.642403
10,0.650866
11,0.676125
12,0.587191
13,0.565505
14,0.497957
15,0.516555
16,0.573693
17,0.595966
18,0.638704
19,0.533946
20,0.567294
21,0.607669
22,0.646037
23,0.625050
24,0.626136
25,0.701921
26,0.740150
27,0.740238
28,0.704803
29,0.719571
30,0.720060
31,0.710592
32,0.647230
33,0.619324
34,0.486998
35,0.542505
36,0.596300
37,0.519621
38,0.489044
39,0.508816
40,0.693147
41,0.738253
42,0.694781
43,0.613752
44,0.612357
45,0.579403
46,0.563590
47,0.532492
48,0.597466
49,0.556476
50,0.526278
51,0.629687
52,0.686477
53,0.728698
54,0.755865
55,0.787012
56,0.776982
57,0.776982
58,0.776982
59,0.776982
60,0.776982
61,0.776982
62,0.776982
63,0.776982
64,0.776982
65,0.776982
66,0.776982
67,0.776982
68,0.776982
69,0.776982
70,0.776982
71,0.776982
72,0.776982
73,0.776982
74,0.776982
75,0.776982
76,0.776982
77,0.776982
78,0.776982
79,0.776982
80,0.776982
81,0.776982
82,0.776982
83,0.776982
84,0.776982
85,0.776982
86,0.776982
87,0.776982
88,0.776982
89,0.776982
90,0.776982
91,0.776982
92,0.776982
93,0.776982
94,0.776982
95,0.776982
96,0.776982
97,0.776982
98,0.776982
99,0.776982
