Coefficient Sweep (b × c) — Consonance Search
=============================================
a=1.0, d=0.0 fixed. Default: b=-1.35, c=1.0

b	c	unique_bins_m	unique_bins_s	nn_mean_m	nn_mean_s	entropy_m	entropy_s	c_score_m	c_score_s
-2.00	0.00	8.1	0.9	0.215	0.132	2.061	0.196	0.687	0.047
-2.00	0.50	7.8	0.8	0.186	0.157	1.992	0.173	0.712	0.038
-2.00	1.00	8.1	1.0	0.167	0.164	2.047	0.191	0.705	0.043
-2.00	1.50	8.2	0.9	0.193	0.135	2.061	0.214	0.717	0.035
-1.35	0.00	8.6	0.8	0.231	0.150	2.119	0.181	0.701	0.041
-1.35	0.50	8.6	1.2	0.256	0.154	2.094	0.255	0.721	0.042
-1.35	1.00	8.6	1.0	0.223	0.132	2.136	0.253	0.722	0.032
-1.35	1.50	8.4	1.0	0.211	0.144	2.040	0.238	0.743	0.033
-0.70	0.00	9.4	1.2	0.289	0.136	2.276	0.198	0.705	0.031
-0.70	0.50	9.2	1.0	0.263	0.132	2.241	0.189	0.718	0.028
-0.70	1.00	9.1	1.1	0.247	0.107	2.225	0.214	0.741	0.032
-0.70	1.50	9.1	1.2	0.250	0.110	2.173	0.245	0.763	0.047
0.00	0.00	9.6	1.0	0.275	0.131	2.290	0.188	0.733	0.038
0.00	0.50	9.6	1.0	0.263	0.121	2.262	0.175	0.746	0.029
0.00	1.00	9.4	1.0	0.258	0.140	2.166	0.216	0.774	0.026
0.00	1.50	9.4	0.9	0.274	0.149	2.246	0.197	0.786	0.028
