step,curriculum_mean,curriculum_ci95,consonly_mean,consonly_ci95
0,0.188092,0.013790,0.219322,0.013352
1,0.187962,0.014820,0.360722,0.020754
2,0.237283,0.021653,0.608447,0.034648
3,0.254218,0.013545,0.707300,0.025429
4,0.282507,0.015685,0.720059,0.023224
5,0.315927,0.018601,0.746861,0.017293
6,0.338542,0.015508,0.754916,0.018147
7,0.332929,0.020317,0.759425,0.020532
8,0.352790,0.020649,0.761588,0.023180
9,0.362228,0.020464,0.767661,0.019069
10,0.367304,0.021950,0.762306,0.024015
11,0.367474,0.020350,0.766032,0.025013
12,0.366224,0.023344,0.770136,0.021431
13,0.378153,0.025773,0.764332,0.018500
14,0.396614,0.022954,0.763573,0.017285
15,0.415659,0.026450,0.775880,0.025764
16,0.421745,0.025343,0.774408,0.021407
17,0.427632,0.027091,0.765470,0.018031
18,0.443615,0.025614,0.769147,0.018602
19,0.439334,0.023817,0.776720,0.022457
20,0.439715,0.024453,0.784534,0.021754
21,0.453093,0.025655,0.775662,0.019901
22,0.460490,0.028518,0.771616,0.019777
23,0.451881,0.023710,0.787016,0.020235
24,0.451324,0.026495,0.776109,0.019779
25,0.456576,0.022480,0.769627,0.019014
26,0.548787,0.026121,0.775036,0.016959
27,0.615402,0.029181,0.792527,0.027834
28,0.647224,0.020973,0.773604,0.017579
29,0.695002,0.019941,0.777322,0.018069
30,0.704600,0.031128,0.778489,0.020354
31,0.689322,0.028991,0.779067,0.021202
32,0.693072,0.024978,0.780271,0.017075
33,0.713778,0.022032,0.781127,0.023706
34,0.709506,0.025979,0.776096,0.021568
35,0.710277,0.019250,0.788618,0.020743
36,0.707971,0.020693,0.778773,0.018156
37,0.716977,0.021184,0.775722,0.018935
38,0.710409,0.023791,0.776298,0.019897
39,0.721867,0.018933,0.790280,0.027307
40,0.722605,0.020154,0.770875,0.019008
41,0.728536,0.017557,0.776265,0.017919
42,0.717774,0.023302,0.771602,0.020733
43,0.727911,0.021585,0.774595,0.021823
44,0.721593,0.022110,0.773597,0.018130
45,0.735957,0.020136,0.785195,0.023798
46,0.725518,0.023772,0.775477,0.021464
47,0.733792,0.017547,0.786976,0.020275
48,0.720110,0.019668,0.776776,0.017320
49,0.722070,0.020375,0.773689,0.018349
