# window_st=0.250 targets_core=6:5|5:4|3:2 targets_extended=6:5|5:4|4:3|3:2|8:5|5:3
seed,cond,mass_core_347,mass_extended_345789
12648430,baseline,0.199275,0.333333
2779096485,baseline,0.253623,0.409420
464367618,baseline,0.213768,0.384058
3735928559,baseline,0.206522,0.376812
4207869677,baseline,0.177536,0.322464
305441741,baseline,0.163043,0.293478
826366246,baseline,0.119565,0.246377
655894552,baseline,0.141304,0.271739
3405691582,baseline,0.152174,0.286232
2654435769,baseline,0.144928,0.278986
252645135,baseline,0.144928,0.268116
1437226410,baseline,0.134058,0.289855
2271560481,baseline,0.112319,0.206522
2882400001,baseline,0.115942,0.217391
202374880,baseline,0.213768,0.304348
324508639,baseline,0.221014,0.369565
610839776,baseline,0.159420,0.264493
3134984190,baseline,0.210145,0.387681
270544960,baseline,0.119565,0.224638
1432778632,baseline,0.199275,0.365942
12648430,nohill,0.141304,0.239130
2779096485,nohill,0.130435,0.246377
464367618,nohill,0.137681,0.289855
3735928559,nohill,0.130435,0.264493
4207869677,nohill,0.119565,0.217391
305441741,nohill,0.101449,0.213768
826366246,nohill,0.090580,0.206522
655894552,nohill,0.134058,0.228261
3405691582,nohill,0.115942,0.228261
2654435769,nohill,0.173913,0.246377
252645135,nohill,0.112319,0.257246
1437226410,nohill,0.126812,0.235507
2271560481,nohill,0.137681,0.271739
2882400001,nohill,0.144928,0.250000
202374880,nohill,0.141304,0.260870
324508639,nohill,0.155797,0.286232
610839776,nohill,0.184783,0.268116
3134984190,nohill,0.112319,0.217391
270544960,nohill,0.130435,0.231884
1432778632,nohill,0.152174,0.307971
12648430,nocrowd,0.112319,0.235507
2779096485,nocrowd,0.210145,0.380435
464367618,nocrowd,0.119565,0.260870
3735928559,nocrowd,0.134058,0.264493
4207869677,nocrowd,0.079710,0.275362
305441741,nocrowd,0.039855,0.105072
826366246,nocrowd,0.163043,0.333333
655894552,nocrowd,0.192029,0.347826
3405691582,nocrowd,0.177536,0.304348
2654435769,nocrowd,0.224638,0.409420
252645135,nocrowd,0.134058,0.235507
1437226410,nocrowd,0.083333,0.159420
2271560481,nocrowd,0.043478,0.115942
2882400001,nocrowd,0.192029,0.311594
202374880,nocrowd,0.253623,0.387681
324508639,nocrowd,0.097826,0.192029
610839776,nocrowd,0.184783,0.278986
3134984190,nocrowd,0.123188,0.293478
270544960,nocrowd,0.054348,0.126812
1432778632,nocrowd,0.155797,0.271739
