step,baseline_mean,baseline_std,nohill_mean,nohill_std,norep_mean,norep_std
0,0.617773,0.067810,0.617773,0.067810,0.617773,0.067810
1,0.837221,0.032625,0.602565,0.079278,0.795942,0.036204
2,0.832725,0.024469,0.641868,0.066442,0.827105,0.020259
3,0.831241,0.023416,0.640729,0.062866,0.807467,0.031561
4,0.831241,0.023416,0.634123,0.074781,0.833149,0.028138
5,0.831241,0.023416,0.642075,0.069034,0.804409,0.028098
6,0.831241,0.023416,0.636855,0.072319,0.822995,0.022174
7,0.831241,0.023416,0.644939,0.068822,0.832743,0.025312
8,0.831241,0.023416,0.643691,0.087287,0.841703,0.017418
9,0.831241,0.023416,0.662426,0.070841,0.834950,0.030708
10,0.831241,0.023416,0.660867,0.062572,0.816765,0.035537
11,0.831241,0.023416,0.636845,0.066491,0.830358,0.031536
12,0.831241,0.023416,0.627437,0.061828,0.830788,0.034564
13,0.831241,0.023416,0.635013,0.056062,0.819161,0.032676
14,0.831241,0.023416,0.633525,0.056401,0.836008,0.034780
15,0.831241,0.023416,0.650334,0.059024,0.821553,0.042407
16,0.831241,0.023416,0.612855,0.081756,0.830156,0.037896
17,0.831241,0.023416,0.616117,0.050585,0.827041,0.035681
18,0.831241,0.023416,0.643547,0.071097,0.828488,0.027422
19,0.831241,0.023416,0.661114,0.060321,0.822538,0.040839
20,0.831241,0.023416,0.658854,0.069905,0.835014,0.034331
21,0.831241,0.023416,0.633485,0.046232,0.839629,0.027589
22,0.831241,0.023416,0.630027,0.070307,0.829663,0.022053
23,0.831241,0.023416,0.655373,0.064098,0.834162,0.027278
24,0.831241,0.023416,0.636524,0.051231,0.832897,0.028316
25,0.831241,0.023416,0.632552,0.068056,0.841320,0.025050
26,0.681056,0.044026,0.638811,0.074559,0.705392,0.047320
27,0.718838,0.037062,0.628633,0.052481,0.749710,0.043675
28,0.719629,0.037277,0.632239,0.044036,0.757716,0.047523
29,0.720130,0.037369,0.608371,0.066033,0.757716,0.047523
30,0.720130,0.037369,0.618894,0.081107,0.757716,0.047523
31,0.720130,0.037369,0.649631,0.051620,0.757716,0.047523
32,0.720130,0.037369,0.629613,0.073124,0.757716,0.047523
33,0.720130,0.037369,0.630134,0.050956,0.757716,0.047523
34,0.720130,0.037369,0.626254,0.056075,0.757716,0.047523
35,0.720130,0.037369,0.595208,0.080379,0.757716,0.047523
36,0.720130,0.037369,0.643599,0.056914,0.757716,0.047523
37,0.720130,0.037369,0.623924,0.062784,0.757716,0.047523
38,0.720130,0.037369,0.616250,0.083009,0.757716,0.047523
39,0.720130,0.037369,0.656907,0.068668,0.757716,0.047523
40,0.720130,0.037369,0.629537,0.055921,0.757716,0.047523
41,0.720130,0.037369,0.626458,0.063490,0.757716,0.047523
42,0.720130,0.037369,0.629648,0.070339,0.757716,0.047523
43,0.720130,0.037369,0.636084,0.048516,0.757716,0.047523
44,0.720130,0.037369,0.620865,0.065786,0.757716,0.047523
45,0.720130,0.037369,0.632216,0.072481,0.757716,0.047523
46,0.720130,0.037369,0.631535,0.061479,0.757716,0.047523
47,0.720130,0.037369,0.633331,0.071955,0.757716,0.047523
48,0.720130,0.037369,0.639906,0.078274,0.757716,0.047523
49,0.720130,0.037369,0.642496,0.064734,0.757716,0.047523
