step,baseline_mean,baseline_std,nohill_mean,nohill_std,norep_mean,norep_std
0,0.769707,0.025265,0.769707,0.025265,0.769707,0.025265
1,0.775219,0.035629,0.766019,0.026351,0.767700,0.031576
2,0.775958,0.026513,0.768313,0.029020,0.762804,0.024148
3,0.778035,0.030609,0.775615,0.024121,0.760628,0.026330
4,0.772526,0.029198,0.780703,0.021645,0.763854,0.024548
5,0.765646,0.027689,0.775470,0.021660,0.756776,0.028741
6,0.768947,0.025195,0.780088,0.022019,0.758868,0.033838
7,0.769540,0.024442,0.781220,0.022337,0.750581,0.026879
8,0.765052,0.020728,0.779914,0.019754,0.749830,0.024434
9,0.778652,0.023115,0.773359,0.024012,0.749298,0.031803
10,0.775785,0.020008,0.779946,0.021511,0.748187,0.026129
11,0.776321,0.021077,0.776808,0.015221,0.745881,0.027615
12,0.771721,0.022737,0.780597,0.022015,0.746980,0.024520
13,0.772662,0.023365,0.779871,0.025948,0.748126,0.019958
14,0.764672,0.023219,0.768314,0.023168,0.744846,0.023520
15,0.764780,0.022785,0.776301,0.024193,0.744362,0.027138
16,0.774687,0.028486,0.778611,0.018905,0.745279,0.022684
17,0.769984,0.028232,0.785088,0.019035,0.744460,0.026589
18,0.767462,0.023737,0.771451,0.023231,0.747395,0.031058
19,0.767022,0.031704,0.781807,0.021125,0.742386,0.030485
20,0.773557,0.037578,0.780061,0.021996,0.746654,0.032138
21,0.764258,0.034058,0.776392,0.026194,0.748132,0.027496
22,0.766369,0.032266,0.762501,0.024108,0.745413,0.024272
23,0.767662,0.034533,0.770162,0.021671,0.751278,0.027446
24,0.767221,0.030209,0.783159,0.020258,0.743811,0.025949
25,0.768559,0.029616,0.764543,0.025467,0.738286,0.021584
26,0.726003,0.026924,0.772427,0.030871,0.729497,0.028807
27,0.751981,0.023911,0.779312,0.017809,0.780205,0.023050
28,0.779797,0.024645,0.771334,0.029022,0.796431,0.018371
29,0.786734,0.019679,0.767440,0.022812,0.807117,0.019751
30,0.802247,0.014093,0.771942,0.026664,0.814872,0.017609
31,0.794709,0.011802,0.776221,0.024357,0.821250,0.014780
32,0.805486,0.016646,0.778292,0.023757,0.822889,0.015245
33,0.798568,0.014573,0.767731,0.028506,0.825690,0.016132
34,0.805598,0.010507,0.768965,0.017551,0.826445,0.016286
35,0.795334,0.010875,0.774631,0.028384,0.826445,0.016286
36,0.806148,0.014311,0.782860,0.018867,0.826445,0.016286
37,0.798273,0.011495,0.777464,0.023031,0.826445,0.016286
38,0.805244,0.016205,0.774809,0.022941,0.826445,0.016286
39,0.795907,0.010800,0.779340,0.022538,0.826445,0.016286
40,0.808959,0.014941,0.768348,0.020487,0.826445,0.016286
41,0.799073,0.011105,0.769295,0.023151,0.826445,0.016286
42,0.807502,0.012861,0.772998,0.022376,0.826445,0.016286
43,0.796734,0.011451,0.781711,0.022069,0.826445,0.016286
44,0.811782,0.014250,0.774237,0.025554,0.826445,0.016286
45,0.800527,0.012170,0.778769,0.025989,0.826445,0.016286
46,0.806261,0.011703,0.769593,0.021846,0.826445,0.016286
47,0.796902,0.012709,0.772489,0.021482,0.826445,0.016286
48,0.811617,0.013184,0.772158,0.021963,0.826445,0.016286
49,0.798409,0.011299,0.780476,0.023013,0.826445,0.016286
