step,mean_crowding
0,0.364029
1,0.284280
2,0.211687
3,0.163458
4,0.095896
5,0.055241
6,0.107195
7,0.147850
8,0.095896
9,0.055241
10,0.045256
11,0.031293
12,0.041188
13,0.055058
14,0.079562
15,0.094411
16,0.066236
17,0.047324
18,0.054968
19,0.055058
20,0.047413
21,0.040529
22,0.040613
23,0.047498
24,0.047413
25,0.043743
26,0.040452
27,0.040371
28,0.047242
29,0.047324
30,0.040452
31,0.034297
32,0.034373
33,0.040529
34,0.047413
35,0.055058
36,0.054968
37,0.047324
38,0.043743
39,0.043743
40,0.040452
41,0.037161
42,0.040452
43,0.043743
44,0.047413
45,0.051084
46,0.051084
47,0.051084
48,0.055151
49,0.059219
50,0.229609
51,0.400000
52,0.400000
53,0.400000
54,0.400000
55,0.400000
56,0.400000
57,0.400000
58,0.400000
59,0.400000
60,0.400000
61,0.400000
62,0.400000
63,0.400000
64,0.400000
65,0.400000
66,0.400000
67,0.400000
68,0.400000
69,0.400000
70,0.400000
71,0.400000
72,0.400000
73,0.400000
74,0.400000
75,0.400000
76,0.400000
77,0.400000
78,0.400000
79,0.400000
80,0.400000
81,0.400000
82,0.400000
83,0.400000
84,0.400000
85,0.400000
86,0.400000
87,0.400000
88,0.400000
89,0.400000
90,0.400000
91,0.400000
92,0.400000
93,0.400000
94,0.400000
95,0.400000
96,0.400000
97,0.400000
98,0.400000
99,0.400000
