# pre_step=9 pre_label=burnin_end shift_enabled=false
seed,cond,c_init,c_burnin_end,c_post,delta_burnin_end,delta_post
12648430,baseline,0.579153,0.642403,0.847186,0.063250,0.268033
2779096485,baseline,0.640211,0.584526,0.770119,-0.055685,0.129908
464367618,baseline,0.556273,0.465207,0.815153,-0.091066,0.258880
3735928559,baseline,0.648241,0.650140,0.736713,0.001899,0.088472
4207869677,baseline,0.619926,0.558150,0.738192,-0.061776,0.118266
305441741,baseline,0.569535,0.659738,0.845868,0.090204,0.276333
826366246,baseline,0.717619,0.708130,0.735866,-0.009490,0.018247
655894552,baseline,0.699384,0.603655,0.792088,-0.095729,0.092704
3405691582,baseline,0.586180,0.582117,0.835964,-0.004063,0.249784
2654435769,baseline,0.711468,0.542784,0.744499,-0.168684,0.033031
252645135,baseline,0.634159,0.596709,0.704710,-0.037450,0.070551
1437226410,baseline,0.702336,0.702590,0.770937,0.000255,0.068602
2271560481,baseline,0.654724,0.652632,0.759956,-0.002092,0.105232
2882400001,baseline,0.524478,0.566746,0.772724,0.042268,0.248246
202374880,baseline,0.616780,0.587015,0.718132,-0.029764,0.101352
324508639,baseline,0.620982,0.524777,0.757796,-0.096204,0.136814
610839776,baseline,0.656796,0.693762,0.692710,0.036966,0.035914
3134984190,baseline,0.529714,0.754472,0.757299,0.224758,0.227585
270544960,baseline,0.640661,0.659603,0.885427,0.018942,0.244766
1432778632,baseline,0.446835,0.545663,0.814739,0.098829,0.367904
12648430,nohill,0.579153,0.513942,0.654949,-0.065212,0.075796
2779096485,nohill,0.640211,0.563733,0.566188,-0.076478,-0.074023
464367618,nohill,0.556273,0.649137,0.679271,0.092864,0.122998
3735928559,nohill,0.648241,0.678248,0.698542,0.030007,0.050301
4207869677,nohill,0.619926,0.487380,0.536076,-0.132546,-0.083849
305441741,nohill,0.569535,0.669043,0.656408,0.099509,0.086874
826366246,nohill,0.717619,0.666320,0.574607,-0.051299,-0.143013
655894552,nohill,0.699384,0.668117,0.530658,-0.031268,-0.168726
3405691582,nohill,0.586180,0.631156,0.557715,0.044975,-0.028466
2654435769,nohill,0.711468,0.698582,0.602423,-0.012886,-0.109044
252645135,nohill,0.634159,0.632602,0.679084,-0.001556,0.044925
1437226410,nohill,0.702336,0.667658,0.632642,-0.034678,-0.069694
2271560481,nohill,0.654724,0.603623,0.770821,-0.051101,0.116097
2882400001,nohill,0.524478,0.615129,0.615510,0.090651,0.091032
202374880,nohill,0.616780,0.775763,0.669154,0.158984,0.052375
324508639,nohill,0.620982,0.592050,0.665060,-0.028931,0.044078
610839776,nohill,0.656796,0.690842,0.726839,0.034046,0.070043
3134984190,nohill,0.529714,0.530565,0.737758,0.000851,0.208044
270544960,nohill,0.640661,0.571351,0.671629,-0.069310,0.030968
1432778632,nohill,0.446835,0.640196,0.703096,0.193361,0.256262
12648430,nocrowd,0.579153,0.477846,0.845236,-0.101307,0.266083
2779096485,nocrowd,0.640211,0.564958,0.735455,-0.075253,0.095244
464367618,nocrowd,0.556273,0.480414,0.802914,-0.075859,0.246641
3735928559,nocrowd,0.648241,0.478000,0.749103,-0.170241,0.100861
4207869677,nocrowd,0.619926,0.665207,0.815236,0.045281,0.195310
305441741,nocrowd,0.569535,0.450132,0.824880,-0.119402,0.255345
826366246,nocrowd,0.717619,0.736615,0.845136,0.018996,0.127516
655894552,nocrowd,0.699384,0.726452,0.816509,0.027068,0.117124
3405691582,nocrowd,0.586180,0.581782,0.748353,-0.004398,0.162172
2654435769,nocrowd,0.711468,0.595118,0.673042,-0.116350,-0.038426
252645135,nocrowd,0.634159,0.575321,0.750976,-0.058838,0.116817
1437226410,nocrowd,0.702336,0.576752,0.837610,-0.125584,0.135274
2271560481,nocrowd,0.654724,0.553974,0.743721,-0.100750,0.088997
2882400001,nocrowd,0.524478,0.579709,0.771552,0.055231,0.247074
202374880,nocrowd,0.616780,0.653686,0.877621,0.036906,0.260841
324508639,nocrowd,0.620982,0.459098,0.834333,-0.161884,0.213351
610839776,nocrowd,0.656796,0.514883,0.797664,-0.141913,0.140868
3134984190,nocrowd,0.529714,0.653865,0.776493,0.124151,0.246779
270544960,nocrowd,0.640661,0.556231,0.841179,-0.084430,0.200518
1432778632,nocrowd,0.446835,0.471590,0.868565,0.024755,0.421730
