# bin_width=0.250
seed,cond,unique_bins,nn_mean,nn_std,semitone_var,semitone_mad
12648430,baseline,13,0.678750,1.338249,155.552002,8.490000
2779096485,baseline,11,0.283751,0.769789,210.258408,7.020000
464367618,baseline,13,0.632500,1.000247,226.388199,8.490000
3735928559,baseline,11,0.792500,1.902005,269.276672,13.260000
4207869677,baseline,15,0.887499,1.277846,197.165024,10.529998
305441741,baseline,16,0.887500,1.064469,262.171814,15.510000
826366246,baseline,13,0.547500,1.194652,242.675858,10.980000
655894552,baseline,14,0.887500,1.351552,231.335129,10.980000
3405691582,baseline,13,0.688750,1.621515,215.944092,13.155001
2654435769,baseline,15,0.802500,1.050402,222.585159,10.530001
252645135,baseline,13,0.717500,1.380486,229.360855,11.550001
1437226410,baseline,13,0.500000,0.995239,250.191788,10.980005
2271560481,baseline,15,0.680000,0.961665,249.312271,14.040001
2882400001,baseline,14,0.510000,0.883345,186.696533,9.959999
202374880,baseline,15,1.351250,1.934854,288.290955,10.529995
324508639,baseline,12,0.777500,1.743615,192.152054,10.844999
610839776,baseline,11,0.585000,2.034201,211.838318,13.019995
3134984190,baseline,10,0.292500,0.788285,241.481674,8.040001
270544960,baseline,12,0.802500,1.933453,200.031250,9.299995
1432778632,baseline,13,0.632500,1.224865,253.164291,15.510000
12648430,nohill,23,1.196249,1.425297,190.187805,7.049998
2779096485,nohill,20,0.648750,0.669020,192.153549,7.440001
464367618,nohill,23,1.188749,0.928580,202.003555,8.804998
3735928559,nohill,22,1.011250,0.969231,231.622910,12.405001
4207869677,nohill,21,1.231250,1.243869,189.660324,12.809999
305441741,nohill,21,0.863750,1.143908,262.556854,16.650000
826366246,nohill,23,1.017501,1.371576,256.652252,11.400003
655894552,nohill,24,0.993750,0.555022,226.320297,11.175001
3405691582,nohill,24,0.991251,0.526247,216.433289,13.859997
2654435769,nohill,21,0.918750,0.933455,200.534897,9.150003
252645135,nohill,24,0.748750,0.549329,218.803284,10.034998
1437226410,nohill,23,1.035001,1.015321,239.434387,13.529998
2271560481,nohill,22,1.138751,1.067161,223.464859,13.934996
2882400001,nohill,22,0.865000,0.869684,173.798630,12.450005
202374880,nohill,23,0.950001,1.438141,279.804901,6.794998
324508639,nohill,24,0.997500,0.773009,198.303894,10.724999
610839776,nohill,23,1.201252,1.362372,201.771652,12.885000
3134984190,nohill,21,0.733749,0.735304,245.904587,7.065001
270544960,nohill,23,0.896249,1.149608,195.842285,10.500000
1432778632,nohill,24,1.151252,1.085259,244.642334,14.700002
12648430,nocrowd,8,0.585001,1.940228,180.618912,7.019995
2779096485,nocrowd,8,0.000000,0.000000,200.807724,6.329999
464367618,nocrowd,9,0.423751,1.127542,170.302338,7.020000
3735928559,nocrowd,8,0.292500,0.975663,227.881912,13.019995
4207869677,nocrowd,8,0.207500,0.995135,179.037643,12.000000
305441741,nocrowd,8,0.415000,1.376399,255.160095,16.980000
826366246,nocrowd,8,0.450000,1.497397,251.737244,12.000000
655894552,nocrowd,7,0.000000,0.000000,205.307861,12.000000
3405691582,nocrowd,10,0.160000,0.767332,203.980530,13.920001
2654435769,nocrowd,8,0.000000,0.000000,194.097717,8.760000
252645135,nocrowd,7,0.000000,0.000000,234.818909,10.980000
1437226410,nocrowd,8,0.207500,0.995135,206.159546,12.000000
2271560481,nocrowd,8,0.161250,0.773328,192.042480,14.040001
2882400001,nocrowd,9,0.170000,0.563827,191.526352,13.019998
202374880,nocrowd,6,0.291250,1.396785,233.794144,6.989994
324508639,nocrowd,8,0.207500,0.995135,196.454529,12.000000
610839776,nocrowd,8,0.453750,1.572101,194.178329,12.000000
3134984190,nocrowd,7,0.292500,0.975662,240.577621,9.510000
270544960,nocrowd,8,0.207500,0.995135,183.659561,9.509995
1432778632,nocrowd,8,0.207500,0.995133,213.380066,14.489994
