cond,metric,mean,std,ci95,n
baseline,unique_bins,19.700001,1.646208,0.721482,20
baseline,nn_mean,0.591625,0.095425,0.041822,20
baseline,semitone_var,46.073513,10.237315,4.486701,20
baseline,semitone_mad,5.380500,1.425995,0.624970,20
nohill,unique_bins,20.350000,1.458595,0.639258,20
nohill,nn_mean,0.458312,0.078790,0.034531,20
nohill,semitone_var,45.352825,11.069504,4.851424,20
nohill,semitone_mad,5.234250,1.465688,0.642366,20
nocrowd,unique_bins,13.800000,1.833030,0.803361,20
nocrowd,nn_mean,0.342250,0.089775,0.039346,20
nocrowd,semitone_var,45.481224,11.446606,5.016696,20
nocrowd,semitone_mad,5.374501,2.093835,0.917664,20
