cond,seed,segment,pingpong_rate_moves,reversal_rate_moves,move_rate_stepwise,mean_abs_delta_moved,step_count,moved_step_count,move_count,pingpong_count_moves,reversal_count_moves
baseline,12648430,pre,0.041667,0.548611,0.500000,1.772142,312,156,168,6,79
baseline,12648430,post,0.901961,0.950980,0.391304,1.964215,552,216,228,184,194
baseline,2779096485,pre,0.000000,0.314685,0.496795,1.772874,312,155,167,0,45
baseline,2779096485,post,0.923077,0.958042,0.280797,1.961860,552,155,167,132,137
baseline,464367618,pre,0.176056,0.528169,0.496795,1.845181,312,155,166,25,75
baseline,464367618,post,0.768293,0.902439,0.331522,2.226860,552,183,188,126,148
baseline,3735928559,pre,0.065934,0.747253,0.333333,1.089826,312,104,113,6,68
baseline,3735928559,post,0.744828,0.848276,0.284420,1.873667,552,157,169,108,123
baseline,4207869677,pre,0.021429,0.664286,0.487179,1.438171,312,152,164,3,93
baseline,4207869677,post,0.760000,0.840000,0.157609,1.824547,552,87,99,57,63
baseline,305441741,pre,0.000000,0.447552,0.496795,1.672634,312,155,167,0,64
baseline,305441741,post,0.807018,0.877193,0.336957,1.937844,552,186,195,138,150
baseline,826366246,pre,0.069444,0.652778,0.500000,1.680893,312,156,168,10,94
baseline,826366246,post,0.781022,0.875912,0.269928,1.794969,552,149,161,107,120
baseline,655894552,pre,0.035714,0.500000,0.490385,1.516829,312,153,164,5,70
baseline,655894552,post,0.603448,0.655172,0.117754,1.727532,552,65,77,35,38
baseline,3405691582,pre,0.028777,0.611511,0.483974,1.432454,312,151,163,4,85
baseline,3405691582,post,0.525547,0.635036,0.269928,1.891866,552,149,161,72,87
baseline,2654435769,pre,0.013889,0.444444,0.500000,1.595715,312,156,168,2,64
baseline,2654435769,post,0.527778,0.708333,0.288043,2.062000,552,159,165,76,102
baseline,252645135,pre,0.036765,0.632353,0.474359,1.161937,312,148,160,5,86
baseline,252645135,post,0.557377,0.622951,0.353261,1.885801,552,195,207,102,114
baseline,1437226410,pre,0.013889,0.638889,0.500000,1.481071,312,156,168,2,92
baseline,1437226410,post,0.705128,0.826923,0.304348,1.950835,552,168,180,110,129
baseline,2271560481,pre,0.000000,0.173611,0.500000,1.648034,312,156,168,0,25
baseline,2271560481,post,0.905738,0.938525,0.463768,1.963089,552,256,268,221,229
baseline,2882400001,pre,0.014085,0.577465,0.493590,1.321446,312,154,166,2,82
baseline,2882400001,post,0.857143,0.885714,0.349638,2.079698,552,193,198,150,155
baseline,202374880,pre,0.014706,0.639706,0.477564,1.304440,312,149,160,2,87
baseline,202374880,post,0.856322,0.908046,0.336957,1.932581,552,186,198,149,158
baseline,324508639,pre,0.013889,0.402778,0.500000,1.316072,312,156,168,2,58
baseline,324508639,post,0.690647,0.748201,0.273551,1.884112,552,151,163,96,104
baseline,610839776,pre,0.000000,0.307692,0.496795,1.616047,312,155,167,0,44
baseline,610839776,post,0.837398,0.873984,0.467391,1.982004,552,258,270,206,215
baseline,3134984190,pre,0.000000,0.230769,0.496795,1.583892,312,155,167,0,33
baseline,3134984190,post,0.855319,0.936170,0.447464,2.209227,552,247,259,201,220
baseline,270544960,pre,0.000000,0.377622,0.496795,1.431556,312,155,167,0,54
baseline,270544960,post,0.720930,0.796512,0.333333,1.865666,552,184,196,124,137
baseline,1432778632,pre,0.065693,0.664234,0.477564,1.299317,312,149,161,9,91
baseline,1432778632,post,0.620690,0.672414,0.130435,1.872531,552,72,79,36,39
nohill,12648430,pre,0.090909,0.560606,0.471154,0.116154,312,147,156,12,74
nohill,12648430,post,0.079167,0.525000,0.456522,0.140682,552,252,264,19,126
nohill,2779096485,pre,0.043165,0.546763,0.487179,0.126074,312,152,163,6,76
nohill,2779096485,post,0.069388,0.502041,0.465580,0.133829,552,257,269,17,123
nohill,464367618,pre,0.077519,0.534884,0.461538,0.137059,312,144,153,10,69
nohill,464367618,post,0.087649,0.509960,0.480072,0.138000,552,265,275,22,128
nohill,3735928559,pre,0.051852,0.533333,0.471154,0.124340,312,147,159,7,72
nohill,3735928559,post,0.071713,0.501992,0.478261,0.143673,552,264,275,18,126
nohill,4207869677,pre,0.036765,0.492647,0.477564,0.133500,312,149,160,5,67
nohill,4207869677,post,0.057143,0.481633,0.465580,0.137286,552,257,269,14,118
nohill,305441741,pre,0.075758,0.606061,0.464744,0.134039,312,145,156,10,80
nohill,305441741,post,0.052209,0.413655,0.472826,0.133407,552,261,273,13,103
nohill,826366246,pre,0.096000,0.472000,0.445513,0.135705,312,139,149,12,59
nohill,826366246,post,0.064516,0.483871,0.471014,0.130809,552,260,272,16,120
nohill,655894552,pre,0.098485,0.530303,0.467949,0.140770,312,146,156,13,70
nohill,655894552,post,0.053061,0.489796,0.469203,0.131487,552,259,269,13,120
nohill,3405691582,pre,0.054264,0.511628,0.458333,0.140981,312,143,153,7,66
nohill,3405691582,post,0.060729,0.526316,0.471014,0.137380,552,260,271,15,130
nohill,2654435769,pre,0.037313,0.447761,0.474359,0.130633,312,148,158,5,60
nohill,2654435769,post,0.065041,0.560976,0.467391,0.135222,552,258,270,16,138
nohill,252645135,pre,0.051471,0.558824,0.474359,0.134625,312,148,160,7,76
nohill,252645135,post,0.059072,0.493671,0.454710,0.132069,552,251,261,14,117
nohill,1437226410,pre,0.094891,0.569343,0.483974,0.134161,312,151,161,13,78
nohill,1437226410,post,0.032389,0.473684,0.469203,0.135387,552,259,271,8,117
nohill,2271560481,pre,0.069231,0.530769,0.458333,0.137727,312,143,154,9,69
nohill,2271560481,post,0.100806,0.548387,0.471014,0.134007,552,260,272,25,136
nohill,2882400001,pre,0.064748,0.489209,0.483974,0.131227,312,151,163,9,68
nohill,2882400001,post,0.063745,0.422311,0.478261,0.136801,552,264,275,16,106
nohill,202374880,pre,0.090226,0.473684,0.467949,0.127261,312,146,157,12,63
nohill,202374880,post,0.065844,0.481481,0.463768,0.124494,552,256,267,16,117
nohill,324508639,pre,0.029197,0.386861,0.480769,0.133789,312,150,161,4,53
nohill,324508639,post,0.086777,0.549587,0.465580,0.137030,552,257,266,21,133
nohill,610839776,pre,0.082707,0.503759,0.464744,0.140828,312,145,157,11,67
