# source=pairwise_intervals bin_width=0.050
seed,cond,entropy,gini,peakiness,kl_uniform
12648430,baseline,4.295496,0.757820,0.057971,1.185146
2779096485,baseline,4.144909,0.795592,0.047101,1.335734
464367618,baseline,3.834379,0.852536,0.061594,1.646263
3735928559,baseline,3.882595,0.844203,0.061594,1.598048
4207869677,baseline,4.052454,0.814040,0.047101,1.428189
305441741,baseline,3.698603,0.867603,0.079710,1.782039
826366246,baseline,3.838951,0.851872,0.057971,1.641692
655894552,baseline,3.773420,0.861021,0.068841,1.707221
3405691582,baseline,3.918218,0.837591,0.061594,1.562425
2654435769,baseline,3.743262,0.864674,0.068841,1.737381
252645135,baseline,3.818316,0.854650,0.076087,1.662326
1437226410,baseline,4.181678,0.783001,0.057971,1.298965
2271560481,baseline,3.793614,0.856673,0.068841,1.687029
2882400001,baseline,3.582527,0.886414,0.065217,1.898114
202374880,baseline,4.030362,0.816758,0.061594,1.450281
324508639,baseline,4.012369,0.821196,0.061594,1.468273
610839776,baseline,3.814460,0.854077,0.072464,1.666183
3134984190,baseline,3.966926,0.826299,0.068841,1.513717
270544960,baseline,4.074214,0.810990,0.043478,1.406427
1432778632,baseline,4.120118,0.799789,0.047101,1.360525
12648430,nohill,4.931987,0.517633,0.021739,0.548658
2779096485,nohill,4.815773,0.577657,0.021739,0.664869
464367618,nohill,4.929589,0.521317,0.021739,0.551055
3735928559,nohill,4.926397,0.523913,0.021739,0.554247
4207869677,nohill,4.905957,0.533726,0.021739,0.574687
305441741,nohill,4.880026,0.547796,0.018116,0.600619
826366246,nohill,4.818172,0.573853,0.018116,0.662472
655894552,nohill,4.862811,0.554711,0.021739,0.617833
3405691582,nohill,4.996052,0.480254,0.014493,0.484593
2654435769,nohill,4.905455,0.532609,0.018116,0.575188
252645135,nohill,4.889051,0.540791,0.025362,0.591593
1437226410,nohill,4.923084,0.520924,0.021739,0.557560
2271560481,nohill,5.049505,0.451359,0.014493,0.431140
2882400001,nohill,4.994157,0.484934,0.014493,0.486489
202374880,nohill,4.930092,0.520532,0.021739,0.550553
324508639,nohill,4.954638,0.505707,0.021739,0.526006
610839776,nohill,4.835637,0.569354,0.021739,0.645006
3134984190,nohill,4.863943,0.553805,0.018116,0.616700
270544960,nohill,5.003385,0.477808,0.021739,0.477260
1432778632,nohill,4.922355,0.526269,0.018116,0.558289
12648430,nocrowd,3.579491,0.881492,0.097826,1.901151
2779096485,nocrowd,3.231322,0.918931,0.083333,2.249320
464367618,nocrowd,3.409593,0.903684,0.108696,2.071048
3735928559,nocrowd,3.404073,0.903745,0.094203,2.076568
4207869677,nocrowd,3.173622,0.922857,0.119565,2.307018
305441741,nocrowd,3.527625,0.890188,0.108696,1.953016
826366246,nocrowd,3.427939,0.900755,0.083333,2.052702
655894552,nocrowd,3.260844,0.916728,0.119565,2.219798
3405691582,nocrowd,3.572155,0.886142,0.072464,1.908487
2654435769,nocrowd,3.019797,0.935417,0.126812,2.460844
252645135,nocrowd,4.244609,0.772283,0.047101,1.236033
1437226410,nocrowd,3.366980,0.907881,0.086957,2.113662
2271560481,nocrowd,3.744344,0.860961,0.072464,1.736297
2882400001,nocrowd,3.901568,0.838557,0.079710,1.579074
202374880,nocrowd,3.451635,0.898098,0.090580,2.029006
324508639,nocrowd,3.655667,0.876420,0.079710,1.824975
610839776,nocrowd,3.579326,0.884572,0.086957,1.901315
3134984190,nocrowd,3.489988,0.894626,0.083333,1.990654
270544960,nocrowd,3.857292,0.846619,0.072464,1.623350
1432778632,nocrowd,3.689752,0.871860,0.068841,1.790890
