bin_center,baseline_mean,baseline_std,nohill_mean,nohill_std,norep_mean,norep_std
-11.7500,0.034421,0.024791,0.026690,0.025036,0.011852,0.017005
-11.2500,0.031574,0.025772,0.032477,0.026680,0.023449,0.025204
-10.7500,0.017245,0.015565,0.027454,0.024126,0.025394,0.027298
-10.2500,0.025000,0.018648,0.029769,0.020825,0.033356,0.026222
-9.7500,0.017130,0.016147,0.029745,0.029487,0.031250,0.027626
-9.2500,0.022940,0.019343,0.020463,0.020716,0.033287,0.030990
-8.7500,0.018866,0.019487,0.009722,0.012547,0.012454,0.018690
-8.2500,0.017616,0.015463,0.002847,0.005141,0.009468,0.019638
-7.7500,0.016435,0.018928,0.003102,0.009251,0.009606,0.019292
-7.2500,0.012639,0.015463,0.007940,0.013332,0.004931,0.007594
-6.7500,0.015463,0.012902,0.016968,0.020308,0.017778,0.028099
-6.2500,0.017894,0.019523,0.029745,0.026399,0.029259,0.032402
-5.7500,0.014120,0.014021,0.028843,0.022923,0.021852,0.036354
-5.2500,0.026505,0.028704,0.024352,0.026262,0.018148,0.030058
-4.7500,0.016528,0.014517,0.013449,0.013587,0.012546,0.028318
-4.2500,0.016019,0.016514,0.012963,0.013778,0.009769,0.012255
-3.7500,0.021991,0.019813,0.008657,0.009462,0.008889,0.011870
-3.2500,0.017431,0.015694,0.015000,0.017920,0.008565,0.016010
-2.7500,0.022245,0.023283,0.020255,0.018072,0.017731,0.025490
-2.2500,0.020926,0.015846,0.029352,0.019698,0.018843,0.027078
-1.7500,0.024444,0.013093,0.030394,0.019669,0.012338,0.009841
-1.2500,0.031806,0.021493,0.034352,0.023692,0.031968,0.031925
-0.7500,0.030324,0.023427,0.025903,0.020657,0.059444,0.068334
-0.2500,0.016088,0.015097,0.024190,0.020512,0.033102,0.035759
0.2500,0.025394,0.015666,0.024514,0.022281,0.032731,0.035721
0.7500,0.036759,0.023669,0.023681,0.016540,0.039861,0.037658
1.2500,0.020972,0.015086,0.027292,0.017100,0.026273,0.033374
1.7500,0.025579,0.020450,0.032338,0.019170,0.031019,0.034048
2.2500,0.021528,0.017981,0.031551,0.021032,0.022685,0.026258
2.7500,0.018449,0.016902,0.017407,0.013785,0.015880,0.025322
3.2500,0.017662,0.014659,0.014421,0.012723,0.014630,0.020932
3.7500,0.019097,0.016143,0.009491,0.010275,0.010625,0.018928
4.2500,0.019653,0.014921,0.012315,0.014241,0.010139,0.019870
4.7500,0.017477,0.015146,0.018056,0.016983,0.008125,0.013096
5.2500,0.016296,0.017058,0.028912,0.024336,0.020278,0.024765
5.7500,0.022778,0.018112,0.025532,0.022972,0.028981,0.029113
6.2500,0.022292,0.022028,0.026713,0.022212,0.032731,0.038641
6.7500,0.020440,0.025778,0.018125,0.018403,0.024097,0.034568
7.2500,0.016250,0.020023,0.011273,0.012063,0.012431,0.017470
7.7500,0.017685,0.020025,0.015278,0.021345,0.011435,0.022364
8.2500,0.013426,0.013384,0.010486,0.016101,0.014259,0.029916
8.7500,0.014167,0.014751,0.012870,0.011810,0.009144,0.013074
9.2500,0.021713,0.013933,0.016458,0.013592,0.020509,0.026076
9.7500,0.019491,0.015731,0.025463,0.017088,0.012963,0.019660
10.2500,0.015718,0.014551,0.028657,0.020519,0.028681,0.037594
10.7500,0.023079,0.016580,0.028704,0.019617,0.031829,0.030247
11.2500,0.019491,0.018006,0.017014,0.013655,0.020995,0.027274
11.7500,0.028958,0.028712,0.018819,0.021849,0.024421,0.038181
