bin_center,mean_frac,std_frac,n_seeds,mean_count,std_count
-11.8750,0.021840,0.056072,20,9.550000,24.286776
-11.6250,0.016805,0.044903,20,7.200000,19.744873
-11.3750,0.021527,0.066730,20,7.600000,22.395088
-11.1250,0.019914,0.075161,20,9.450000,36.639427
-10.8750,0.012476,0.044178,20,5.450000,19.507627
-10.6250,0.015797,0.032928,20,6.400000,13.203787
-10.3750,0.027045,0.087724,20,9.550000,28.688805
-10.1250,0.008331,0.021277,20,3.900000,10.304853
-9.8750,0.000445,0.001942,20,0.200000,0.871780
-9.6250,0.004780,0.009037,20,1.750000,3.191786
-9.3750,0.015780,0.030717,20,6.250000,12.279556
-9.1250,0.023347,0.053666,20,10.400000,26.465828
-8.8750,0.004207,0.006694,20,1.800000,3.091925
-8.6250,0.019270,0.046557,20,7.650000,17.774349
-8.3750,0.004372,0.011548,20,1.800000,4.600000
-8.1250,0.013817,0.035258,20,5.950000,15.087992
-7.8750,0.001574,0.004296,20,0.650000,1.739971
-7.6250,0.002954,0.006490,20,1.300000,2.917191
-7.3750,0.005535,0.013024,20,2.350000,5.396990
-7.1250,0.008814,0.028857,20,3.800000,12.180312
-6.8750,0.015074,0.048393,20,6.200000,19.533562
-6.6250,0.013076,0.039515,20,4.600000,12.928264
-6.3750,0.005985,0.009890,20,2.400000,3.979950
-6.1250,0.013094,0.020534,20,5.500000,8.357631
-5.8750,0.003799,0.007704,20,1.650000,3.335791
-5.6250,0.006506,0.012496,20,2.800000,5.297169
-5.3750,0.003928,0.008096,20,1.800000,3.682390
-5.1250,0.006189,0.012004,20,2.850000,5.694515
-4.8750,0.011903,0.027012,20,5.000000,11.414903
-4.6250,0.011380,0.038415,20,5.050000,17.774912
-4.3750,0.006379,0.019361,20,2.300000,6.671581
-4.1250,0.009144,0.029806,20,4.100000,14.387147
-3.8750,0.004869,0.018164,20,2.150000,8.026674
-3.6250,0.010136,0.032098,20,4.200000,12.424170
-3.3750,0.001689,0.003882,20,0.750000,1.639360
-3.1250,0.001581,0.004282,20,0.650000,1.796525
-2.8750,0.006345,0.012384,20,2.800000,5.500909
-2.6250,0.004124,0.007759,20,1.850000,3.496784
-2.3750,0.011052,0.025857,20,4.500000,10.346498
-2.1250,0.021175,0.044014,20,9.450000,21.795584
-1.8750,0.005111,0.007889,20,2.150000,3.198046
-1.6250,0.016800,0.059285,20,6.550000,22.048752
-1.3750,0.007649,0.016389,20,3.100000,6.073714
-1.1250,0.022306,0.065939,20,9.400000,26.721527
-0.8750,0.005940,0.009894,20,2.500000,4.272002
-0.6250,0.006353,0.010220,20,2.550000,4.018395
-0.3750,0.002913,0.005956,20,1.250000,2.566612
-0.1250,0.007372,0.017268,20,3.000000,7.169379
0.1250,0.012618,0.035432,20,5.400000,15.110923
0.3750,0.019550,0.051545,20,8.200000,21.667027
0.6250,0.014902,0.029115,20,5.350000,9.722526
0.8750,0.015849,0.025802,20,6.800000,12.412091
1.1250,0.012076,0.033916,20,5.150000,14.957523
1.3750,0.013815,0.037802,20,5.750000,15.257376
1.6250,0.002327,0.004925,20,1.150000,2.593742
1.8750,0.010307,0.033039,20,4.900000,15.984055
2.1250,0.003927,0.008791,20,1.650000,3.511054
2.3750,0.003939,0.007709,20,1.550000,2.906458
2.6250,0.011153,0.031087,20,4.600000,12.479583
2.8750,0.016276,0.036335,20,7.000000,15.703503
3.1250,0.003758,0.008313,20,1.750000,4.048148
3.3750,0.018472,0.052196,20,5.800000,17.353962
3.6250,0.001308,0.005702,20,0.450000,1.961505
3.8750,0.008865,0.038640,20,4.450000,19.397100
4.1250,0.001241,0.004578,20,0.500000,1.774824
4.3750,0.003166,0.005974,20,1.400000,2.615339
4.6250,0.010186,0.016130,20,4.100000,6.347441
4.8750,0.013905,0.044067,20,5.850000,18.591061
5.1250,0.007257,0.009987,20,2.800000,4.057093
5.3750,0.016987,0.032044,20,6.150000,10.753022
5.6250,0.025118,0.060981,20,8.450000,20.611830
5.8750,0.005223,0.008921,20,1.950000,3.308701
6.1250,0.012029,0.014717,20,5.050000,6.399023
6.3750,0.010323,0.021806,20,4.150000,8.821990
6.6250,0.006555,0.011296,20,2.300000,3.900000
6.8750,0.012026,0.026939,20,5.050000,12.870412
7.1250,0.006399,0.012785,20,2.700000,5.568662
7.3750,0.019014,0.051093,20,7.750000,20.270361
7.6250,0.005107,0.013890,20,1.950000,4.821566
7.8750,0.008096,0.021177,20,3.700000,10.183810
8.1250,0.009248,0.029289,20,3.400000,12.001667
8.3750,0.011800,0.034282,20,4.500000,13.603309
8.6250,0.001633,0.006027,20,0.650000,2.414021
8.8750,0.001325,0.003676,20,0.500000,1.396424
9.1250,0.010325,0.036699,20,4.800000,17.814600
9.3750,0.002271,0.005266,20,0.900000,2.046949
9.6250,0.008238,0.029940,20,3.250000,11.970276
9.8750,0.014242,0.030025,20,5.800000,11.474319
10.1250,0.013469,0.031621,20,4.800000,10.740577
10.3750,0.025291,0.063114,20,9.400000,23.386749
10.6250,0.035444,0.091085,20,10.500000,25.452898
10.8750,0.021045,0.052894,20,9.700000,26.376314
11.1250,0.005940,0.011957,20,2.250000,4.334455
11.3750,0.007823,0.011614,20,3.000000,4.312772
11.6250,0.003602,0.006746,20,1.500000,2.837252
11.8750,0.006030,0.010959,20,2.600000,4.851804
