step,mean_abs_delta_semitones_moved
0,0.130001
1,0.127500
2,0.157499
3,0.129002
4,0.169997
5,0.165000
6,0.127500
7,0.147500
8,0.110003
9,0.132499
10,0.175001
11,0.114545
12,0.174998
13,0.142500
14,0.145000
15,0.171815
16,0.077499
17,0.147273
18,0.128181
19,0.159999
20,0.127500
21,0.107497
22,0.100002
23,0.125000
24,0.174544
25,0.149999
26,0.122727
27,0.157502
28,0.147501
29,0.152500
30,0.175003
31,0.187501
32,0.172499
33,0.160002
34,0.165000
35,0.162501
36,0.155001
37,0.167501
38,0.134999
39,0.150002
40,0.164999
41,0.163637
42,0.150000
43,0.152502
44,0.166363
45,0.152499
46,0.172502
47,0.170001
48,0.137500
49,0.202498
50,0.122501
51,0.050001
52,0.168002
53,0.149998
54,0.119998
55,0.070000
56,0.150002
57,0.070000
58,0.149998
59,0.089996
60,0.119998
61,0.089996
62,0.209999
63,0.240005
64,0.149998
65,0.239994
66,0.209999
67,0.030001
68,0.209999
69,0.000000
70,0.209999
71,0.000000
72,0.169998
73,0.000000
74,0.169998
75,0.000000
76,0.149998
77,0.000000
78,0.149998
79,0.000000
80,0.169998
81,0.000000
82,0.169998
83,0.000000
84,0.149998
85,0.000000
86,0.149998
87,0.000000
88,0.209999
89,0.000000
90,0.159996
91,0.000000
92,0.159996
93,0.000000
94,0.209999
95,0.000000
96,0.209999
97,0.000000
98,0.149998
99,0.000000
