step,mean_abs_delta_semitones
0,0.714999
1,0.768750
2,0.638751
3,0.832501
4,0.631251
5,0.720001
6,0.644999
7,0.795001
8,0.852499
9,0.638750
10,0.997499
11,0.973750
12,0.895000
13,1.001250
14,0.760001
15,1.017499
16,1.007499
17,0.791250
18,0.825001
19,0.964999
20,0.705001
21,0.788751
22,0.769999
23,0.907500
24,0.531251
25,0.489999
26,0.887500
27,0.761250
28,0.896250
29,0.695000
30,0.850000
31,0.798750
32,0.841250
33,0.628750
34,0.926250
35,0.628750
36,0.926250
37,0.628750
38,0.926250
39,0.628750
40,0.926250
41,0.628750
42,0.926250
43,0.628750
44,0.926250
45,0.628750
46,0.926250
47,0.628750
48,0.926250
49,0.628750
