step,mean_c_score_chosen_loo
0,0.105113
1,0.158640
2,0.093610
3,0.124788
4,0.065647
5,0.156815
6,0.102427
7,0.154402
8,0.075303
9,0.153071
10,0.116343
11,0.185531
12,0.084629
13,0.205326
14,0.098250
15,0.291874
16,0.034920
17,0.272623
18,0.039635
19,0.262228
20,0.077487
21,0.250571
22,0.057327
23,0.246437
24,-0.007442
25,0.563218
26,0.356832
27,0.634893
28,0.396639
29,0.790791
30,0.479278
31,0.690503
32,0.417691
33,0.817553
34,0.555120
35,0.653657
36,0.428484
37,0.817553
38,0.555120
39,0.653657
40,0.428484
41,0.817553
42,0.555120
43,0.653657
44,0.428484
45,0.817553
46,0.555120
47,0.653657
48,0.428484
49,0.817553
