step,mean_c_score_loo
0,0.210075
1,0.211085
2,0.280293
3,0.278553
4,0.274024
5,0.278784
6,0.324529
7,0.307025
8,0.335538
9,0.319449
10,0.371782
11,0.398631
12,0.355260
13,0.368344
14,0.375460
15,0.413851
16,0.411849
17,0.410372
18,0.400776
19,0.405661
20,0.429084
21,0.421157
22,0.395427
23,0.398830
24,0.379942
25,0.423650
26,0.630675
27,0.648876
28,0.652406
29,0.733740
30,0.750757
31,0.734335
32,0.733257
33,0.713603
34,0.790643
35,0.746250
36,0.687749
37,0.713603
38,0.790643
39,0.746250
40,0.687749
41,0.713603
42,0.790643
43,0.746250
44,0.687749
45,0.713603
46,0.790643
47,0.746250
48,0.687749
49,0.713603
