step,moved_given_attempt_frac
0,1.000000
1,1.000000
2,1.000000
3,1.000000
4,1.000000
5,1.000000
6,1.000000
7,1.000000
8,1.000000
9,0.916667
10,1.000000
11,1.000000
12,1.000000
13,1.000000
14,1.000000
15,0.916667
16,1.000000
17,1.000000
18,1.000000
19,1.000000
20,1.000000
21,1.000000
22,1.000000
23,1.000000
24,1.000000
25,1.000000
26,1.000000
27,1.000000
28,0.916667
29,1.000000
30,0.916667
31,1.000000
32,1.000000
33,1.000000
34,1.000000
35,1.000000
36,1.000000
37,1.000000
38,1.000000
39,1.000000
40,1.000000
41,1.000000
42,1.000000
43,0.916667
44,1.000000
45,1.000000
46,1.000000
47,1.000000
48,1.000000
49,1.000000
50,0.833333
51,0.083333
52,0.500000
53,0.250000
54,0.500000
55,0.166667
56,0.416667
57,0.000000
58,0.333333
59,0.083333
60,0.166667
61,0.250000
62,0.166667
63,0.250000
64,0.166667
65,0.166667
66,0.166667
67,0.166667
68,0.166667
69,0.250000
70,0.166667
71,0.250000
72,0.166667
73,0.166667
74,0.166667
75,0.166667
76,0.166667
77,0.250000
78,0.166667
79,0.250000
80,0.166667
81,0.166667
82,0.166667
83,0.166667
84,0.166667
85,0.166667
86,0.166667
87,0.166667
88,0.166667
89,0.166667
90,0.166667
91,0.166667
92,0.166667
93,0.166667
94,0.166667
95,0.166667
96,0.166667
97,0.166667
98,0.166667
99,0.166667
