bin_center,baseline_mean,baseline_std,nohill_mean,nohill_std,norep_mean,norep_std,n_seeds,n_pairs
0.0250,0.268297,0.053868,0.004348,0.004378,0.301087,0.089066,20,276
0.0750,0.000000,0.000000,0.005072,0.003321,0.000000,0.000000,20,276
0.1250,0.000000,0.000000,0.005072,0.004915,0.000000,0.000000,20,276
0.1750,0.000000,0.000000,0.004529,0.004268,0.000000,0.000000,20,276
0.2250,0.000000,0.000000,0.005978,0.004762,0.000000,0.000000,20,276
0.2750,0.000000,0.000000,0.004167,0.003090,0.000000,0.000000,20,276
0.3250,0.000000,0.000000,0.003080,0.002631,0.000000,0.000000,20,276
0.3750,0.000000,0.000000,0.007065,0.004507,0.000000,0.000000,20,276
0.4250,0.000000,0.000000,0.006341,0.004978,0.000000,0.000000,20,276
0.4750,0.000000,0.000000,0.004529,0.004565,0.000000,0.000000,20,276
0.5250,0.000000,0.000000,0.008333,0.007072,0.000000,0.000000,20,276
0.5750,0.000000,0.000000,0.004710,0.004738,0.000000,0.000000,20,276
0.6250,0.000000,0.000000,0.005254,0.005432,0.000000,0.000000,20,276
0.6750,0.000000,0.000000,0.004891,0.004622,0.000000,0.000000,20,276
0.7250,0.000725,0.002457,0.003261,0.004115,0.000000,0.000000,20,276
0.7750,0.000000,0.000000,0.005797,0.004496,0.000000,0.000000,20,276
0.8250,0.000000,0.000000,0.006341,0.004565,0.000000,0.000000,20,276
0.8750,0.000000,0.000000,0.005072,0.005660,0.000000,0.000000,20,276
0.9250,0.000000,0.000000,0.004529,0.003600,0.000000,0.000000,20,276
0.9750,0.000000,0.000000,0.005978,0.004014,0.000000,0.000000,20,276
1.0250,0.000000,0.000000,0.002536,0.002830,0.000000,0.000000,20,276
1.0750,0.000000,0.000000,0.004891,0.005030,0.000000,0.000000,20,276
1.1250,0.001087,0.002017,0.006884,0.006159,0.000000,0.000000,20,276
1.1750,0.000000,0.000000,0.003623,0.003241,0.000000,0.000000,20,276
1.2250,0.000362,0.001087,0.003442,0.003881,0.000000,0.000000,20,276
1.2750,0.000000,0.000000,0.005435,0.003713,0.000000,0.000000,20,276
1.3250,0.000000,0.000000,0.004348,0.003730,0.000000,0.000000,20,276
1.3750,0.000000,0.000000,0.003261,0.003418,0.000000,0.000000,20,276
1.4250,0.000000,0.000000,0.005435,0.004654,0.000000,0.000000,20,276
1.4750,0.000000,0.000000,0.002717,0.003004,0.000000,0.000000,20,276
1.5250,0.000000,0.000000,0.006884,0.004272,0.000000,0.000000,20,276
1.5750,0.000000,0.000000,0.004891,0.003296,0.000000,0.000000,20,276
1.6250,0.000000,0.000000,0.004710,0.004147,0.000000,0.000000,20,276
1.6750,0.000000,0.000000,0.003080,0.002369,0.000000,0.000000,20,276
1.7250,0.000000,0.000000,0.005254,0.004651,0.000000,0.000000,20,276
1.7750,0.000725,0.003159,0.005072,0.003695,0.000000,0.000000,20,276
1.8250,0.003623,0.006481,0.004529,0.003948,0.000000,0.000000,20,276
1.8750,0.000000,0.000000,0.005435,0.003531,0.000000,0.000000,20,276
1.9250,0.000000,0.000000,0.004167,0.004014,0.000000,0.000000,20,276
1.9750,0.000000,0.000000,0.003986,0.003783,0.000000,0.000000,20,276
2.0250,0.070290,0.044895,0.005072,0.003695,0.021558,0.045275,20,276
2.0750,0.000000,0.000000,0.003080,0.002631,0.002174,0.009476,20,276
2.1250,0.000000,0.000000,0.004529,0.003215,0.000000,0.000000,20,276
2.1750,0.000000,0.000000,0.004348,0.003550,0.000000,0.000000,20,276
2.2250,0.000000,0.000000,0.002717,0.002777,0.000000,0.000000,20,276
2.2750,0.000000,0.000000,0.005072,0.005997,0.000000,0.000000,20,276
2.3250,0.000543,0.002369,0.005254,0.003527,0.000000,0.000000,20,276
2.3750,0.000000,0.000000,0.004348,0.003730,0.000000,0.000000,20,276
2.4250,0.000000,0.000000,0.003080,0.003489,0.008696,0.037903,20,276
2.4750,0.000000,0.000000,0.005797,0.004779,0.000000,0.000000,20,276
2.5250,0.000000,0.000000,0.003804,0.003527,0.000000,0.000000,20,276
2.5750,0.000000,0.000000,0.003623,0.003031,0.003442,0.015003,20,276
2.6250,0.000000,0.000000,0.006884,0.003418,0.000000,0.000000,20,276
2.6750,0.004529,0.010922,0.004348,0.003730,0.002717,0.009646,20,276
2.7250,0.000000,0.000000,0.003986,0.002783,0.000000,0.000000,20,276
2.7750,0.000000,0.000000,0.004167,0.003489,0.000000,0.000000,20,276
2.8250,0.000000,0.000000,0.004167,0.004175,0.001630,0.007107,20,276
2.8750,0.000000,0.000000,0.004710,0.002587,0.000000,0.000000,20,276
2.9250,0.000181,0.000790,0.005254,0.004206,0.002174,0.009476,20,276
2.9750,0.000000,0.000000,0.002174,0.003321,0.000000,0.000000,20,276
3.0250,0.000000,0.000000,0.005254,0.004047,0.000000,0.000000,20,276
3.0750,0.000000,0.000000,0.007246,0.004583,0.002717,0.011845,20,276
3.1250,0.015399,0.028937,0.004348,0.004525,0.012319,0.024717,20,276
3.1750,0.020109,0.039994,0.003080,0.003296,0.005072,0.013332,20,276
3.2250,0.000000,0.000000,0.006522,0.004225,0.002174,0.009476,20,276
3.2750,0.000000,0.000000,0.005254,0.006428,0.005797,0.025269,20,276
3.3250,0.000000,0.000000,0.004348,0.003730,0.000000,0.000000,20,276
3.3750,0.000000,0.000000,0.006341,0.004419,0.000000,0.000000,20,276
3.4250,0.000000,0.000000,0.006159,0.003456,0.000000,0.000000,20,276
3.4750,0.000000,0.000000,0.003080,0.002631,0.000000,0.000000,20,276
3.5250,0.000000,0.000000,0.005616,0.004925,0.000000,0.000000,20,276
3.5750,0.000000,0.000000,0.002717,0.003600,0.000000,0.000000,20,276
3.6250,0.000000,0.000000,0.004167,0.003489,0.000000,0.000000,20,276
3.6750,0.000000,0.000000,0.006703,0.004329,0.000000,0.000000,20,276
3.7250,0.000000,0.000000,0.003261,0.003220,0.004348,0.018952,20,276
3.7750,0.000000,0.000000,0.005435,0.004654,0.007971,0.034745,20,276
3.8250,0.004891,0.021321,0.005435,0.004793,0.012319,0.053697,20,276
3.8750,0.081341,0.069924,0.003261,0.003220,0.070109,0.088299,20,276
3.9250,0.000000,0.000000,0.002899,0.002457,0.009783,0.042641,20,276
3.9750,0.000000,0.000000,0.004891,0.003296,0.000000,0.000000,20,276
4.0250,0.000000,0.000000,0.003080,0.003090,0.000000,0.000000,20,276
4.0750,0.000000,0.000000,0.005072,0.004035,0.000000,0.000000,20,276
4.1250,0.000000,0.000000,0.006159,0.004302,0.000000,0.000000,20,276
4.1750,0.000000,0.000000,0.004710,0.003456,0.012319,0.053697,20,276
4.2250,0.000000,0.000000,0.004529,0.004419,0.000000,0.000000,20,276
4.2750,0.000000,0.000000,0.003804,0.005551,0.002717,0.011845,20,276
4.3250,0.000000,0.000000,0.004348,0.002943,0.000000,0.000000,20,276
4.3750,0.000181,0.000790,0.003623,0.004287,0.001449,0.006317,20,276
4.4250,0.000000,0.000000,0.005616,0.003336,0.007065,0.030797,20,276
4.4750,0.000000,0.000000,0.003804,0.002424,0.000000,0.000000,20,276
4.5250,0.000000,0.000000,0.005978,0.003090,0.000000,0.000000,20,276
4.5750,0.000000,0.000000,0.007246,0.006379,0.000000,0.000000,20,276
4.6250,0.000000,0.000000,0.004348,0.004668,0.000000,0.000000,20,276
4.6750,0.000000,0.000000,0.003804,0.004047,0.000000,0.000000,20,276
4.7250,0.000725,0.003159,0.005616,0.004507,0.000906,0.003948,20,276
4.7750,0.000000,0.000000,0.005072,0.005047,0.000000,0.000000,20,276
4.8250,0.000000,0.000000,0.003623,0.002807,0.000000,0.000000,20,276
4.8750,0.000000,0.000000,0.005616,0.003336,0.000000,0.000000,20,276
4.9250,0.000000,0.000000,0.003986,0.003418,0.000000,0.000000,20,276
4.9750,0.142391,0.052594,0.004167,0.004014,0.113587,0.073124,20,276
5.0250,0.000000,0.000000,0.006703,0.004478,0.000000,0.000000,20,276
5.0750,0.000000,0.000000,0.003804,0.003527,0.000000,0.000000,20,276
5.1250,0.000000,0.000000,0.005072,0.005047,0.000000,0.000000,20,276
5.1750,0.000000,0.000000,0.005797,0.004348,0.000000,0.000000,20,276
5.2250,0.000362,0.001579,0.002717,0.003413,0.000000,0.000000,20,276
5.2750,0.000000,0.000000,0.003080,0.002870,0.000000,0.000000,20,276
5.3250,0.000000,0.000000,0.006159,0.005263,0.000000,0.000000,20,276
5.3750,0.000000,0.000000,0.004348,0.004067,0.009239,0.040272,20,276
5.4250,0.000000,0.000000,0.004710,0.003261,0.000000,0.000000,20,276
5.4750,0.000000,0.000000,0.004348,0.003360,0.000000,0.000000,20,276
5.5250,0.000000,0.000000,0.003986,0.002783,0.000000,0.000000,20,276
5.5750,0.000000,0.000000,0.003442,0.002915,0.000000,0.000000,20,276
5.6250,0.000000,0.000000,0.005797,0.004496,0.000000,0.000000,20,276
5.6750,0.000000,0.000000,0.005072,0.003869,0.000000,0.000000,20,276
5.7250,0.000000,0.000000,0.003261,0.002536,0.000000,0.000000,20,276
5.7750,0.000000,0.000000,0.005797,0.004915,0.000000,0.000000,20,276
5.8250,0.000181,0.000790,0.002355,0.002631,0.000362,0.001579,20,276
5.8750,0.000000,0.000000,0.003261,0.003010,0.000000,0.000000,20,276
5.9250,0.000000,0.000000,0.004710,0.003053,0.000000,0.000000,20,276
5.9750,0.000000,0.000000,0.002717,0.002255,0.000000,0.000000,20,276
6.0250,0.000000,0.000000,0.004348,0.003159,0.000000,0.000000,20,276
6.0750,0.000000,0.000000,0.004710,0.004738,0.000000,0.000000,20,276
6.1250,0.000000,0.000000,0.004710,0.003261,0.000000,0.000000,20,276
6.1750,0.000000,0.000000,0.003080,0.003673,0.000000,0.000000,20,276
6.2250,0.000000,0.000000,0.004167,0.003489,0.000000,0.000000,20,276
6.2750,0.000000,0.000000,0.003442,0.002915,0.000000,0.000000,20,276
6.3250,0.000000,0.000000,0.003986,0.004115,0.000000,0.000000,20,276
6.3750,0.000000,0.000000,0.005978,0.005528,0.000000,0.000000,20,276
6.4250,0.000000,0.000000,0.004348,0.003550,0.000000,0.000000,20,276
6.4750,0.000000,0.000000,0.001812,0.002144,0.000000,0.000000,20,276
6.5250,0.000725,0.002457,0.006159,0.004147,0.000000,0.000000,20,276
6.5750,0.000000,0.000000,0.003804,0.003527,0.000000,0.000000,20,276
6.6250,0.000000,0.000000,0.002717,0.003215,0.001630,0.007107,20,276
6.6750,0.000000,0.000000,0.003261,0.002783,0.000000,0.000000,20,276
6.7250,0.000000,0.000000,0.004167,0.002631,0.000000,0.000000,20,276
6.7750,0.000000,0.000000,0.003442,0.003527,0.000000,0.000000,20,276
6.8250,0.000000,0.000000,0.005978,0.005159,0.000000,0.000000,20,276
6.8750,0.000000,0.000000,0.004529,0.003948,0.000000,0.000000,20,276
6.9250,0.000000,0.000000,0.003261,0.004569,0.000000,0.000000,20,276
6.9750,0.001812,0.007897,0.005435,0.005060,0.000000,0.000000,20,276
7.0250,0.246196,0.048251,0.003261,0.004115,0.200906,0.079665,20,276
7.0750,0.000000,0.000000,0.003261,0.003220,0.000000,0.000000,20,276
7.1250,0.000000,0.000000,0.004348,0.003902,0.000000,0.000000,20,276
7.1750,0.000000,0.000000,0.003986,0.003783,0.000000,0.000000,20,276
7.2250,0.000000,0.000000,0.003442,0.002424,0.000000,0.000000,20,276
7.2750,0.000000,0.000000,0.005254,0.003133,0.000000,0.000000,20,276
7.3250,0.000000,0.000000,0.003080,0.003296,0.000000,0.000000,20,276
7.3750,0.000000,0.000000,0.004891,0.004762,0.010870,0.047379,20,276
7.4250,0.000000,0.000000,0.004348,0.003360,0.000000,0.000000,20,276
7.4750,0.000000,0.000000,0.003442,0.002915,0.000000,0.000000,20,276
7.5250,0.000000,0.000000,0.002717,0.002777,0.000000,0.000000,20,276
7.5750,0.000000,0.000000,0.004529,0.004565,0.001087,0.004738,20,276
7.6250,0.000543,0.002369,0.004348,0.003159,0.000725,0.003159,20,276
7.6750,0.000000,0.000000,0.001993,0.002424,0.000000,0.000000,20,276
7.7250,0.003623,0.009654,0.004167,0.004898,0.000000,0.000000,20,276
7.7750,0.000000,0.000000,0.003080,0.003489,0.000000,0.000000,20,276
7.8250,0.000000,0.000000,0.003804,0.002915,0.000362,0.001579,20,276
7.8750,0.000000,0.000000,0.004529,0.004419,0.000000,0.000000,20,276
7.9250,0.000000,0.000000,0.004167,0.003489,0.000000,0.000000,20,276
7.9750,0.000000,0.000000,0.002355,0.002870,0.000000,0.000000,20,276
8.0250,0.000000,0.000000,0.005072,0.003117,0.000000,0.000000,20,276
8.0750,0.000000,0.000000,0.002536,0.002587,0.000543,0.002369,20,276
8.1250,0.009239,0.014194,0.003804,0.003335,0.011051,0.024101,20,276
8.1750,0.002174,0.009476,0.004348,0.004067,0.000181,0.000790,20,276
8.2250,0.000000,0.000000,0.002355,0.002073,0.004891,0.021321,20,276
8.2750,0.000000,0.000000,0.004529,0.004565,0.004529,0.013599,20,276
8.3250,0.000000,0.000000,0.004710,0.004302,0.000000,0.000000,20,276
8.3750,0.000000,0.000000,0.003804,0.005184,0.000000,0.000000,20,276
8.4250,0.000000,0.000000,0.004167,0.004014,0.000000,0.000000,20,276
8.4750,0.000000,0.000000,0.004891,0.004175,0.000000,0.000000,20,276
8.5250,0.000000,0.000000,0.004167,0.003489,0.000000,0.000000,20,276
8.5750,0.000000,0.000000,0.003261,0.003418,0.000000,0.000000,20,276
8.6250,0.000000,0.000000,0.004348,0.003360,0.000000,0.000000,20,276
8.6750,0.000000,0.000000,0.003623,0.003969,0.000000,0.000000,20,276
8.7250,0.000000,0.000000,0.002717,0.002530,0.001268,0.005528,20,276
8.7750,0.000000,0.000000,0.005616,0.004925,0.000000,0.000000,20,276
8.8250,0.017572,0.020279,0.002355,0.003090,0.020471,0.049218,20,276
8.8750,0.024819,0.026804,0.004167,0.004622,0.019384,0.034416,20,276
8.9250,0.000000,0.000000,0.003442,0.003527,0.002174,0.009476,20,276
8.9750,0.000000,0.000000,0.002536,0.002320,0.000000,0.000000,20,276
9.0250,0.000000,0.000000,0.004529,0.004844,0.000000,0.000000,20,276
9.0750,0.002174,0.005175,0.003442,0.003527,0.008696,0.037903,20,276
9.1250,0.000000,0.000000,0.005254,0.004507,0.000000,0.000000,20,276
9.1750,0.000000,0.000000,0.003804,0.002136,0.007065,0.030797,20,276
9.2250,0.000000,0.000000,0.003623,0.004287,0.000000,0.000000,20,276
9.2750,0.000000,0.000000,0.002717,0.002777,0.000000,0.000000,20,276
9.3250,0.000000,0.000000,0.003080,0.003489,0.000362,0.001579,20,276
9.3750,0.000000,0.000000,0.003804,0.002424,0.000000,0.000000,20,276
9.4250,0.000000,0.000000,0.002899,0.002711,0.005616,0.024479,20,276
9.4750,0.000000,0.000000,0.003080,0.003673,0.000000,0.000000,20,276
9.5250,0.000000,0.000000,0.004167,0.003296,0.000000,0.000000,20,276
9.5750,0.000000,0.000000,0.003623,0.003241,0.000000,0.000000,20,276
9.6250,0.000000,0.000000,0.004167,0.003296,0.000000,0.000000,20,276
9.6750,0.004710,0.011290,0.004167,0.003489,0.005616,0.017090,20,276
9.7250,0.000000,0.000000,0.002355,0.003296,0.000000,0.000000,20,276
9.7750,0.000000,0.000000,0.003623,0.002807,0.000000,0.000000,20,276
9.8250,0.000000,0.000000,0.003623,0.003031,0.000000,0.000000,20,276
9.8750,0.000000,0.000000,0.003986,0.003605,0.000000,0.000000,20,276
9.9250,0.000000,0.000000,0.002717,0.003215,0.000000,0.000000,20,276
9.9750,0.008514,0.011756,0.003986,0.003605,0.005072,0.022110,20,276
10.0250,0.000000,0.000000,0.001812,0.002144,0.000000,0.000000,20,276
10.0750,0.000000,0.000000,0.003986,0.003220,0.000000,0.000000,20,276
10.1250,0.000000,0.000000,0.003804,0.002915,0.000000,0.000000,20,276
10.1750,0.003442,0.008140,0.003080,0.003296,0.001268,0.003847,20,276
10.2250,0.001630,0.007107,0.002174,0.002899,0.000000,0.000000,20,276
10.2750,0.000000,0.000000,0.005254,0.004507,0.003261,0.014214,20,276
10.3250,0.000000,0.000000,0.002536,0.002320,0.000000,0.000000,20,276
10.3750,0.000000,0.000000,0.003986,0.003952,0.002174,0.009476,20,276
10.4250,0.000000,0.000000,0.004529,0.003413,0.000000,0.000000,20,276
10.4750,0.000000,0.000000,0.001812,0.002431,0.000000,0.000000,20,276
10.5250,0.000000,0.000000,0.003623,0.003241,0.000000,0.000000,20,276
10.5750,0.000000,0.000000,0.003080,0.003296,0.000000,0.000000,20,276
10.6250,0.000000,0.000000,0.003080,0.003296,0.000000,0.000000,20,276
10.6750,0.000000,0.000000,0.002536,0.003053,0.000000,0.000000,20,276
10.7250,0.000000,0.000000,0.003804,0.003708,0.000000,0.000000,20,276
10.7750,0.000000,0.000000,0.002174,0.002899,0.003804,0.016583,20,276
10.8250,0.000000,0.000000,0.001812,0.003340,0.000000,0.000000,20,276
10.8750,0.024638,0.027441,0.004167,0.003673,0.017754,0.036248,20,276
10.9250,0.000000,0.000000,0.003442,0.004047,0.000000,0.000000,20,276
10.9750,0.000000,0.000000,0.003804,0.003335,0.003623,0.015793,20,276
11.0250,0.000000,0.000000,0.004348,0.004225,0.000000,0.000000,20,276
11.0750,0.000000,0.000000,0.002536,0.003053,0.000000,0.000000,20,276
11.1250,0.000000,0.000000,0.003442,0.003708,0.000000,0.000000,20,276
11.1750,0.000000,0.000000,0.004710,0.003641,0.004529,0.019741,20,276
11.2250,0.000000,0.000000,0.003080,0.003090,0.000000,0.000000,20,276
11.2750,0.000000,0.000000,0.003080,0.003673,0.000000,0.000000,20,276
11.3250,0.000000,0.000000,0.003986,0.003010,0.001630,0.007107,20,276
11.3750,0.000000,0.000000,0.004710,0.003986,0.000000,0.000000,20,276
11.4250,0.000000,0.000000,0.001812,0.002431,0.000000,0.000000,20,276
11.4750,0.000000,0.000000,0.002899,0.002457,0.000000,0.000000,20,276
11.5250,0.000000,0.000000,0.001993,0.002681,0.000000,0.000000,20,276
11.5750,0.000000,0.000000,0.003261,0.004115,0.000000,0.000000,20,276
11.6250,0.000000,0.000000,0.005254,0.004206,0.000000,0.000000,20,276
11.6750,0.000000,0.000000,0.003986,0.003952,0.000000,0.000000,20,276
11.7250,0.000000,0.000000,0.003442,0.003527,0.000000,0.000000,20,276
11.7750,0.000000,0.000000,0.003261,0.003418,0.000000,0.000000,20,276
11.8250,0.000000,0.000000,0.003080,0.003090,0.000000,0.000000,20,276
11.8750,0.000000,0.000000,0.003804,0.003335,0.000000,0.000000,20,276
11.9250,0.000000,0.000000,0.004710,0.003986,0.000000,0.000000,20,276
11.9750,0.032246,0.038171,0.001993,0.002424,0.025725,0.036537,20,276
