bin_center,baseline_mean,baseline_ci95,nohill_mean,nohill_ci95,norep_mean,norep_ci95,n_seeds,n_pairs
0.0250,0.268297,0.023609,0.004348,0.001919,0.301087,0.039035,20,276
0.0750,0.000000,0.000000,0.005072,0.001455,0.000000,0.000000,20,276
0.1250,0.000000,0.000000,0.005072,0.002154,0.000000,0.000000,20,276
0.1750,0.000000,0.000000,0.004529,0.001870,0.000000,0.000000,20,276
0.2250,0.000000,0.000000,0.005978,0.002087,0.000000,0.000000,20,276
0.2750,0.000000,0.000000,0.004167,0.001354,0.000000,0.000000,20,276
0.3250,0.000000,0.000000,0.003080,0.001153,0.000000,0.000000,20,276
0.3750,0.000000,0.000000,0.007065,0.001975,0.000000,0.000000,20,276
0.4250,0.000000,0.000000,0.006341,0.002182,0.000000,0.000000,20,276
0.4750,0.000000,0.000000,0.004529,0.002001,0.000000,0.000000,20,276
0.5250,0.000000,0.000000,0.008333,0.003100,0.000000,0.000000,20,276
0.5750,0.000000,0.000000,0.004710,0.002076,0.000000,0.000000,20,276
0.6250,0.000000,0.000000,0.005254,0.002381,0.000000,0.000000,20,276
0.6750,0.000000,0.000000,0.004891,0.002026,0.000000,0.000000,20,276
0.7250,0.000725,0.001077,0.003261,0.001804,0.000000,0.000000,20,276
0.7750,0.000000,0.000000,0.005797,0.001971,0.000000,0.000000,20,276
0.8250,0.000000,0.000000,0.006341,0.002001,0.000000,0.000000,20,276
0.8750,0.000000,0.000000,0.005072,0.002480,0.000000,0.000000,20,276
0.9250,0.000000,0.000000,0.004529,0.001578,0.000000,0.000000,20,276
0.9750,0.000000,0.000000,0.005978,0.001759,0.000000,0.000000,20,276
1.0250,0.000000,0.000000,0.002536,0.001240,0.000000,0.000000,20,276
1.0750,0.000000,0.000000,0.004891,0.002205,0.000000,0.000000,20,276
1.1250,0.001087,0.000884,0.006884,0.002699,0.000000,0.000000,20,276
1.1750,0.000000,0.000000,0.003623,0.001420,0.000000,0.000000,20,276
1.2250,0.000362,0.000476,0.003442,0.001701,0.000000,0.000000,20,276
1.2750,0.000000,0.000000,0.005435,0.001627,0.000000,0.000000,20,276
1.3250,0.000000,0.000000,0.004348,0.001635,0.000000,0.000000,20,276
1.3750,0.000000,0.000000,0.003261,0.001498,0.000000,0.000000,20,276
1.4250,0.000000,0.000000,0.005435,0.002040,0.000000,0.000000,20,276
1.4750,0.000000,0.000000,0.002717,0.001317,0.000000,0.000000,20,276
1.5250,0.000000,0.000000,0.006884,0.001872,0.000000,0.000000,20,276
1.5750,0.000000,0.000000,0.004891,0.001444,0.000000,0.000000,20,276
1.6250,0.000000,0.000000,0.004710,0.001817,0.000000,0.000000,20,276
1.6750,0.000000,0.000000,0.003080,0.001038,0.000000,0.000000,20,276
1.7250,0.000000,0.000000,0.005254,0.002038,0.000000,0.000000,20,276
1.7750,0.000725,0.001384,0.005072,0.001619,0.000000,0.000000,20,276
1.8250,0.003623,0.002841,0.004529,0.001730,0.000000,0.000000,20,276
1.8750,0.000000,0.000000,0.005435,0.001548,0.000000,0.000000,20,276
1.9250,0.000000,0.000000,0.004167,0.001759,0.000000,0.000000,20,276
1.9750,0.000000,0.000000,0.003986,0.001658,0.000000,0.000000,20,276
2.0250,0.070290,0.019676,0.005072,0.001619,0.021558,0.019843,20,276
2.0750,0.000000,0.000000,0.003080,0.001153,0.002174,0.004153,20,276
2.1250,0.000000,0.000000,0.004529,0.001409,0.000000,0.000000,20,276
2.1750,0.000000,0.000000,0.004348,0.001556,0.000000,0.000000,20,276
2.2250,0.000000,0.000000,0.002717,0.001217,0.000000,0.000000,20,276
2.2750,0.000000,0.000000,0.005072,0.002628,0.000000,0.000000,20,276
2.3250,0.000543,0.001038,0.005254,0.001546,0.000000,0.000000,20,276
2.3750,0.000000,0.000000,0.004348,0.001635,0.000000,0.000000,20,276
2.4250,0.000000,0.000000,0.003080,0.001529,0.008696,0.016612,20,276
2.4750,0.000000,0.000000,0.005797,0.002095,0.000000,0.000000,20,276
2.5250,0.000000,0.000000,0.003804,0.001546,0.000000,0.000000,20,276
2.5750,0.000000,0.000000,0.003623,0.001329,0.003442,0.006576,20,276
2.6250,0.000000,0.000000,0.006884,0.001498,0.000000,0.000000,20,276
2.6750,0.004529,0.004787,0.004348,0.001635,0.002717,0.004227,20,276
2.7250,0.000000,0.000000,0.003986,0.001220,0.000000,0.000000,20,276
2.7750,0.000000,0.000000,0.004167,0.001529,0.000000,0.000000,20,276
2.8250,0.000000,0.000000,0.004167,0.001830,0.001630,0.003115,20,276
2.8750,0.000000,0.000000,0.004710,0.001134,0.000000,0.000000,20,276
2.9250,0.000181,0.000346,0.005254,0.001843,0.002174,0.004153,20,276
2.9750,0.000000,0.000000,0.002174,0.001455,0.000000,0.000000,20,276
3.0250,0.000000,0.000000,0.005254,0.001774,0.000000,0.000000,20,276
3.0750,0.000000,0.000000,0.007246,0.002009,0.002717,0.005191,20,276
3.1250,0.015399,0.012682,0.004348,0.001983,0.012319,0.010833,20,276
3.1750,0.020109,0.017528,0.003080,0.001444,0.005072,0.005843,20,276
3.2250,0.000000,0.000000,0.006522,0.001852,0.002174,0.004153,20,276
3.2750,0.000000,0.000000,0.005254,0.002817,0.005797,0.011075,20,276
3.3250,0.000000,0.000000,0.004348,0.001635,0.000000,0.000000,20,276
3.3750,0.000000,0.000000,0.006341,0.001937,0.000000,0.000000,20,276
3.4250,0.000000,0.000000,0.006159,0.001515,0.000000,0.000000,20,276
3.4750,0.000000,0.000000,0.003080,0.001153,0.000000,0.000000,20,276
3.5250,0.000000,0.000000,0.005616,0.002158,0.000000,0.000000,20,276
3.5750,0.000000,0.000000,0.002717,0.001578,0.000000,0.000000,20,276
3.6250,0.000000,0.000000,0.004167,0.001529,0.000000,0.000000,20,276
3.6750,0.000000,0.000000,0.006703,0.001897,0.000000,0.000000,20,276
3.7250,0.000000,0.000000,0.003261,0.001411,0.004348,0.008306,20,276
3.7750,0.000000,0.000000,0.005435,0.002040,0.007971,0.015228,20,276
3.8250,0.004891,0.009344,0.005435,0.002101,0.012319,0.023534,20,276
3.8750,0.081341,0.030645,0.003261,0.001411,0.070109,0.038699,20,276
3.9250,0.000000,0.000000,0.002899,0.001077,0.009783,0.018688,20,276
3.9750,0.000000,0.000000,0.004891,0.001444,0.000000,0.000000,20,276
4.0250,0.000000,0.000000,0.003080,0.001354,0.000000,0.000000,20,276
4.0750,0.000000,0.000000,0.005072,0.001768,0.000000,0.000000,20,276
4.1250,0.000000,0.000000,0.006159,0.001886,0.000000,0.000000,20,276
4.1750,0.000000,0.000000,0.004710,0.001515,0.012319,0.023534,20,276
4.2250,0.000000,0.000000,0.004529,0.001937,0.000000,0.000000,20,276
4.2750,0.000000,0.000000,0.003804,0.002433,0.002717,0.005191,20,276
4.3250,0.000000,0.000000,0.004348,0.001290,0.000000,0.000000,20,276
4.3750,0.000181,0.000346,0.003623,0.001879,0.001449,0.002769,20,276
4.4250,0.000000,0.000000,0.005616,0.001462,0.007065,0.013497,20,276
4.4750,0.000000,0.000000,0.003804,0.001062,0.000000,0.000000,20,276
4.5250,0.000000,0.000000,0.005978,0.001354,0.000000,0.000000,20,276
4.5750,0.000000,0.000000,0.007246,0.002796,0.000000,0.000000,20,276
4.6250,0.000000,0.000000,0.004348,0.002046,0.000000,0.000000,20,276
4.6750,0.000000,0.000000,0.003804,0.001774,0.000000,0.000000,20,276
4.7250,0.000725,0.001384,0.005616,0.001975,0.000906,0.001730,20,276
4.7750,0.000000,0.000000,0.005072,0.002212,0.000000,0.000000,20,276
4.8250,0.000000,0.000000,0.003623,0.001230,0.000000,0.000000,20,276
4.8750,0.000000,0.000000,0.005616,0.001462,0.000000,0.000000,20,276
4.9250,0.000000,0.000000,0.003986,0.001498,0.000000,0.000000,20,276
4.9750,0.142391,0.023050,0.004167,0.001759,0.113587,0.032048,20,276
5.0250,0.000000,0.000000,0.006703,0.001963,0.000000,0.000000,20,276
5.0750,0.000000,0.000000,0.003804,0.001546,0.000000,0.000000,20,276
5.1250,0.000000,0.000000,0.005072,0.002212,0.000000,0.000000,20,276
5.1750,0.000000,0.000000,0.005797,0.001906,0.000000,0.000000,20,276
5.2250,0.000362,0.000692,0.002717,0.001496,0.000000,0.000000,20,276
5.2750,0.000000,0.000000,0.003080,0.001258,0.000000,0.000000,20,276
5.3250,0.000000,0.000000,0.006159,0.002307,0.000000,0.000000,20,276
5.3750,0.000000,0.000000,0.004348,0.001782,0.009239,0.017650,20,276
5.4250,0.000000,0.000000,0.004710,0.001429,0.000000,0.000000,20,276
5.4750,0.000000,0.000000,0.004348,0.001473,0.000000,0.000000,20,276
5.5250,0.000000,0.000000,0.003986,0.001220,0.000000,0.000000,20,276
5.5750,0.000000,0.000000,0.003442,0.001278,0.000000,0.000000,20,276
5.6250,0.000000,0.000000,0.005797,0.001971,0.000000,0.000000,20,276
5.6750,0.000000,0.000000,0.005072,0.001695,0.000000,0.000000,20,276
5.7250,0.000000,0.000000,0.003261,0.001112,0.000000,0.000000,20,276
5.7750,0.000000,0.000000,0.005797,0.002154,0.000000,0.000000,20,276
5.8250,0.000181,0.000346,0.002355,0.001153,0.000362,0.000692,20,276
5.8750,0.000000,0.000000,0.003261,0.001319,0.000000,0.000000,20,276
5.9250,0.000000,0.000000,0.004710,0.001338,0.000000,0.000000,20,276
