bin_center,mean_frac,std_frac,n_seeds,n_pairs,mean_count,std_count
0.0250,0.333152,0.079879,20,276,91.949997,22.046494
0.0750,0.000000,0.000000,20,276,0.000000,0.000000
0.1250,0.000000,0.000000,20,276,0.000000,0.000000
0.1750,0.000000,0.000000,20,276,0.000000,0.000000
0.2250,0.000000,0.000000,20,276,0.000000,0.000000
0.2750,0.000000,0.000000,20,276,0.000000,0.000000
0.3250,0.000000,0.000000,20,276,0.000000,0.000000
0.3750,0.000000,0.000000,20,276,0.000000,0.000000
0.4250,0.000000,0.000000,20,276,0.000000,0.000000
0.4750,0.000000,0.000000,20,276,0.000000,0.000000
0.5250,0.000000,0.000000,20,276,0.000000,0.000000
0.5750,0.000000,0.000000,20,276,0.000000,0.000000
0.6250,0.000000,0.000000,20,276,0.000000,0.000000
0.6750,0.000000,0.000000,20,276,0.000000,0.000000
0.7250,0.000000,0.000000,20,276,0.000000,0.000000
0.7750,0.000000,0.000000,20,276,0.000000,0.000000
0.8250,0.000362,0.001579,20,276,0.100000,0.435890
0.8750,0.000000,0.000000,20,276,0.000000,0.000000
0.9250,0.000000,0.000000,20,276,0.000000,0.000000
0.9750,0.000000,0.000000,20,276,0.000000,0.000000
1.0250,0.000000,0.000000,20,276,0.000000,0.000000
1.0750,0.000000,0.000000,20,276,0.000000,0.000000
1.1250,0.000543,0.002369,20,276,0.150000,0.653835
1.1750,0.000725,0.003159,20,276,0.200000,0.871780
1.2250,0.001449,0.006317,20,276,0.400000,1.743560
1.2750,0.000000,0.000000,20,276,0.000000,0.000000
1.3250,0.000000,0.000000,20,276,0.000000,0.000000
1.3750,0.000000,0.000000,20,276,0.000000,0.000000
1.4250,0.000000,0.000000,20,276,0.000000,0.000000
1.4750,0.000000,0.000000,20,276,0.000000,0.000000
1.5250,0.000000,0.000000,20,276,0.000000,0.000000
1.5750,0.000000,0.000000,20,276,0.000000,0.000000
1.6250,0.000000,0.000000,20,276,0.000000,0.000000
1.6750,0.000000,0.000000,20,276,0.000000,0.000000
1.7250,0.000000,0.000000,20,276,0.000000,0.000000
1.7750,0.000000,0.000000,20,276,0.000000,0.000000
1.8250,0.000362,0.001579,20,276,0.100000,0.435890
1.8750,0.000000,0.000000,20,276,0.000000,0.000000
1.9250,0.000000,0.000000,20,276,0.000000,0.000000
1.9750,0.000000,0.000000,20,276,0.000000,0.000000
2.0250,0.055978,0.050912,20,276,15.450000,14.051601
2.0750,0.000000,0.000000,20,276,0.000000,0.000000
2.1250,0.000000,0.000000,20,276,0.000000,0.000000
2.1750,0.000000,0.000000,20,276,0.000000,0.000000
2.2250,0.000000,0.000000,20,276,0.000000,0.000000
2.2750,0.000000,0.000000,20,276,0.000000,0.000000
2.3250,0.006159,0.016726,20,276,1.700000,4.616276
2.3750,0.000000,0.000000,20,276,0.000000,0.000000
2.4250,0.000000,0.000000,20,276,0.000000,0.000000
2.4750,0.000000,0.000000,20,276,0.000000,0.000000
2.5250,0.000000,0.000000,20,276,0.000000,0.000000
2.5750,0.000000,0.000000,20,276,0.000000,0.000000
2.6250,0.000000,0.000000,20,276,0.000000,0.000000
2.6750,0.006341,0.015281,20,276,1.750000,4.217523
2.7250,0.000000,0.000000,20,276,0.000000,0.000000
2.7750,0.000000,0.000000,20,276,0.000000,0.000000
2.8250,0.000000,0.000000,20,276,0.000000,0.000000
2.8750,0.000000,0.000000,20,276,0.000000,0.000000
2.9250,0.000000,0.000000,20,276,0.000000,0.000000
2.9750,0.000000,0.000000,20,276,0.000000,0.000000
3.0250,0.000000,0.000000,20,276,0.000000,0.000000
3.0750,0.000000,0.000000,20,276,0.000000,0.000000
3.1250,0.002717,0.007928,20,276,0.750000,2.188036
3.1750,0.002717,0.011042,20,276,0.750000,3.047540
3.2250,0.000000,0.000000,20,276,0.000000,0.000000
3.2750,0.000000,0.000000,20,276,0.000000,0.000000
3.3250,0.000000,0.000000,20,276,0.000000,0.000000
3.3750,0.000000,0.000000,20,276,0.000000,0.000000
3.4250,0.000000,0.000000,20,276,0.000000,0.000000
3.4750,0.001268,0.005528,20,276,0.350000,1.525615
3.5250,0.000000,0.000000,20,276,0.000000,0.000000
3.5750,0.000000,0.000000,20,276,0.000000,0.000000
3.6250,0.000000,0.000000,20,276,0.000000,0.000000
3.6750,0.000000,0.000000,20,276,0.000000,0.000000
3.7250,0.000000,0.000000,20,276,0.000000,0.000000
3.7750,0.000000,0.000000,20,276,0.000000,0.000000
3.8250,0.000000,0.000000,20,276,0.000000,0.000000
3.8750,0.039493,0.066245,20,276,10.900000,18.283600
3.9250,0.000000,0.000000,20,276,0.000000,0.000000
3.9750,0.000000,0.000000,20,276,0.000000,0.000000
4.0250,0.000000,0.000000,20,276,0.000000,0.000000
4.0750,0.000000,0.000000,20,276,0.000000,0.000000
4.1250,0.000000,0.000000,20,276,0.000000,0.000000
4.1750,0.000000,0.000000,20,276,0.000000,0.000000
4.2250,0.000000,0.000000,20,276,0.000000,0.000000
4.2750,0.000000,0.000000,20,276,0.000000,0.000000
4.3250,0.000000,0.000000,20,276,0.000000,0.000000
4.3750,0.000000,0.000000,20,276,0.000000,0.000000
4.4250,0.000000,0.000000,20,276,0.000000,0.000000
4.4750,0.000000,0.000000,20,276,0.000000,0.000000
4.5250,0.000000,0.000000,20,276,0.000000,0.000000
4.5750,0.000000,0.000000,20,276,0.000000,0.000000
4.6250,0.000000,0.000000,20,276,0.000000,0.000000
4.6750,0.000000,0.000000,20,276,0.000000,0.000000
4.7250,0.006159,0.015074,20,276,1.700000,4.160529
4.7750,0.000000,0.000000,20,276,0.000000,0.000000
4.8250,0.000000,0.000000,20,276,0.000000,0.000000
4.8750,0.000000,0.000000,20,276,0.000000,0.000000
4.9250,0.000000,0.000000,20,276,0.000000,0.000000
4.9750,0.137500,0.051565,20,276,37.950001,14.231917
5.0250,0.000000,0.000000,20,276,0.000000,0.000000
5.0750,0.000000,0.000000,20,276,0.000000,0.000000
5.1250,0.000000,0.000000,20,276,0.000000,0.000000
5.1750,0.000000,0.000000,20,276,0.000000,0.000000
5.2250,0.000000,0.000000,20,276,0.000000,0.000000
5.2750,0.000000,0.000000,20,276,0.000000,0.000000
5.3250,0.000000,0.000000,20,276,0.000000,0.000000
5.3750,0.000000,0.000000,20,276,0.000000,0.000000
5.4250,0.000000,0.000000,20,276,0.000000,0.000000
5.4750,0.000000,0.000000,20,276,0.000000,0.000000
5.5250,0.000725,0.003159,20,276,0.200000,0.871780
5.5750,0.000000,0.000000,20,276,0.000000,0.000000
5.6250,0.000000,0.000000,20,276,0.000000,0.000000
5.6750,0.000000,0.000000,20,276,0.000000,0.000000
5.7250,0.000000,0.000000,20,276,0.000000,0.000000
