bin_center,mean_frac,std_frac,ci95_frac,n_seeds,n_pairs,mean_count,std_count
0.0250,0.045471,0.011137,0.004881,20,276,12.550000,3.073678
0.0750,0.000000,0.000000,0.000000,20,276,0.000000,0.000000
0.1250,0.000362,0.001087,0.000476,20,276,0.100000,0.300000
0.1750,0.000000,0.000000,0.000000,20,276,0.000000,0.000000
0.2250,0.000000,0.000000,0.000000,20,276,0.000000,0.000000
0.2750,0.000543,0.001728,0.000757,20,276,0.150000,0.476970
0.3250,0.001449,0.003321,0.001455,20,276,0.400000,0.916515
0.3750,0.003986,0.007930,0.003475,20,276,1.100000,2.188607
0.4250,0.000543,0.002369,0.001038,20,276,0.150000,0.653835
0.4750,0.005797,0.007720,0.003383,20,276,1.600000,2.130728
0.5250,0.002899,0.003730,0.001635,20,276,0.800000,1.029563
0.5750,0.001268,0.003489,0.001529,20,276,0.350000,0.963068
0.6250,0.006703,0.007271,0.003187,20,276,1.850000,2.006863
0.6750,0.006341,0.008092,0.003546,20,276,1.750000,2.233271
0.7250,0.001993,0.003335,0.001462,20,276,0.550000,0.920598
0.7750,0.005435,0.008985,0.003938,20,276,1.500000,2.479919
0.8250,0.017391,0.017698,0.007757,20,276,4.800000,4.884670
0.8750,0.003986,0.007327,0.003211,20,276,1.100000,2.022375
0.9250,0.000543,0.002369,0.001038,20,276,0.150000,0.653835
0.9750,0.001993,0.006428,0.002817,20,276,0.550000,1.774119
1.0250,0.000906,0.003215,0.001409,20,276,0.250000,0.887412
1.0750,0.002717,0.006157,0.002698,20,276,0.750000,1.699265
1.1250,0.015761,0.012618,0.005530,20,276,4.350000,3.482456
1.1750,0.020109,0.018169,0.007963,20,276,5.550000,5.014728
1.2250,0.013768,0.010286,0.004508,20,276,3.800000,2.839014
1.2750,0.001812,0.003885,0.001703,20,276,0.500000,1.072381
1.3250,0.000543,0.001294,0.000567,20,276,0.150000,0.357071
1.3750,0.001268,0.003296,0.001444,20,276,0.350000,0.909670
1.4250,0.001449,0.004194,0.001838,20,276,0.400000,1.157584
1.4750,0.003623,0.007246,0.003176,20,276,1.000000,2.000000
1.5250,0.009964,0.009781,0.004287,20,276,2.750000,2.699537
1.5750,0.007971,0.014384,0.006304,20,276,2.200000,3.969887
1.6250,0.003623,0.006481,0.002841,20,276,1.000000,1.788854
1.6750,0.005616,0.007107,0.003115,20,276,1.550000,1.961505
1.7250,0.002899,0.006740,0.002954,20,276,0.800000,1.860107
1.7750,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
1.8250,0.014674,0.011598,0.005083,20,276,4.050000,3.201171
1.8750,0.000906,0.002255,0.000988,20,276,0.250000,0.622495
1.9250,0.005072,0.007888,0.003457,20,276,1.400000,2.177154
1.9750,0.001812,0.004928,0.002160,20,276,0.500000,1.360147
2.0250,0.028080,0.015663,0.006864,20,276,7.750000,4.322904
2.0750,0.001449,0.004194,0.001838,20,276,0.400000,1.157584
2.1250,0.001087,0.002830,0.001240,20,276,0.300000,0.781025
2.1750,0.002174,0.007372,0.003231,20,276,0.600000,2.034699
2.2250,0.000543,0.001728,0.000757,20,276,0.150000,0.476970
2.2750,0.001993,0.003527,0.001546,20,276,0.550000,0.973396
2.3250,0.026812,0.015432,0.006763,20,276,7.400000,4.259108
2.3750,0.002536,0.005625,0.002465,20,276,0.700000,1.552418
2.4250,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
2.4750,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
2.5250,0.000543,0.001294,0.000567,20,276,0.150000,0.357071
2.5750,0.000725,0.002457,0.001077,20,276,0.200000,0.678233
2.6250,0.001993,0.005056,0.002216,20,276,0.550000,1.395529
2.6750,0.036051,0.014872,0.006518,20,276,9.950000,4.104571
2.7250,0.001993,0.004047,0.001774,20,276,0.550000,1.116915
2.7750,0.003261,0.007327,0.003211,20,276,0.900000,2.022375
2.8250,0.000906,0.002530,0.001109,20,276,0.250000,0.698212
2.8750,0.003986,0.006769,0.002967,20,276,1.100000,1.868154
2.9250,0.001812,0.003138,0.001375,20,276,0.500000,0.866025
2.9750,0.001630,0.004507,0.001975,20,276,0.450000,1.243986
3.0250,0.004348,0.004807,0.002107,20,276,1.200000,1.326650
3.0750,0.001268,0.005528,0.002423,20,276,0.350000,1.525615
3.1250,0.021377,0.013839,0.006065,20,276,5.900000,3.819686
3.1750,0.007065,0.008610,0.003774,20,276,1.950000,2.376447
3.2250,0.004167,0.005408,0.002370,20,276,1.150000,1.492481
3.2750,0.001630,0.004359,0.001910,20,276,0.450000,1.203121
3.3250,0.003804,0.011485,0.005033,20,276,1.050000,3.169779
3.3750,0.001812,0.003531,0.001548,20,276,0.500000,0.974679
3.4250,0.002899,0.006234,0.002732,20,276,0.800000,1.720465
3.4750,0.008333,0.013169,0.005771,20,276,2.300000,3.634556
3.5250,0.005072,0.007635,0.003346,20,276,1.400000,2.107131
3.5750,0.001449,0.003695,0.001619,20,276,0.400000,1.019804
3.6250,0.001993,0.005184,0.002272,20,276,0.550000,1.430909
3.6750,0.001087,0.002830,0.001240,20,276,0.300000,0.781025
3.7250,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
3.7750,0.006159,0.008808,0.003860,20,276,1.700000,2.431049
3.8250,0.013225,0.015970,0.006999,20,276,3.650000,4.407664
3.8750,0.026087,0.017992,0.007885,20,276,7.200000,4.965884
3.9250,0.000000,0.000000,0.000000,20,276,0.000000,0.000000
3.9750,0.002174,0.004640,0.002034,20,276,0.600000,1.280625
4.0250,0.000906,0.002777,0.001217,20,276,0.250000,0.766485
4.0750,0.001087,0.003986,0.001747,20,276,0.300000,1.100000
4.1250,0.002899,0.004225,0.001852,20,276,0.800000,1.166190
4.1750,0.003261,0.005942,0.002604,20,276,0.900000,1.640122
4.2250,0.003442,0.009619,0.004216,20,276,0.950000,2.654713
4.2750,0.001630,0.003133,0.001373,20,276,0.450000,0.864581
4.3250,0.009964,0.012064,0.005287,20,276,2.750000,3.329790
4.3750,0.014493,0.010625,0.004657,20,276,4.000000,2.932576
4.4250,0.000725,0.001847,0.000810,20,276,0.200000,0.509902
4.4750,0.000000,0.000000,0.000000,20,276,0.000000,0.000000
4.5250,0.003080,0.005030,0.002205,20,276,0.850000,1.388344
4.5750,0.001812,0.005898,0.002585,20,276,0.500000,1.627882
4.6250,0.003261,0.004115,0.001804,20,276,0.900000,1.135782
4.6750,0.003442,0.006114,0.002680,20,276,0.950000,1.687454
4.7250,0.010870,0.010375,0.004547,20,276,3.000000,2.863564
4.7750,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
4.8250,0.001630,0.004925,0.002158,20,276,0.450000,1.359228
4.8750,0.000543,0.001728,0.000757,20,276,0.150000,0.476970
4.9250,0.000543,0.002369,0.001038,20,276,0.150000,0.653835
