step,mean_repulsion
0,1.310024
1,1.228971
2,1.196430
3,1.132517
4,1.054610
5,1.005745
6,0.976625
7,0.966253
8,0.948978
9,0.960736
10,0.968915
11,0.989000
12,0.942686
13,0.974436
14,0.948222
15,0.972652
16,0.977323
17,1.001627
18,1.010026
19,1.076253
20,1.016642
21,1.027229
22,1.006884
23,1.019665
24,0.969336
25,0.987175
26,0.957981
27,1.002493
28,0.980811
29,0.986742
30,0.924122
31,0.948486
32,0.925359
33,1.005850
34,1.009431
35,1.006164
36,0.939033
37,0.966570
38,0.945752
39,1.008421
40,1.010937
41,1.038460
42,0.967427
43,0.950525
44,0.931740
45,0.964778
46,0.929245
47,0.968261
48,0.947839
49,0.940902
50,0.963499
51,0.987523
52,1.000853
53,1.016018
54,1.028354
55,1.034567
56,1.030359
57,1.031088
58,1.027744
59,1.032400
60,1.028931
61,1.031664
62,1.027645
63,1.030926
64,1.028641
65,1.032162
66,1.028045
67,1.031228
68,1.028045
69,1.031664
70,1.028263
71,1.031664
72,1.028919
73,1.032976
74,1.028919
75,1.031664
76,1.028263
77,1.031664
78,1.028263
79,1.031664
80,1.028263
81,1.031664
82,1.028263
83,1.031664
84,1.028263
85,1.031664
86,1.027645
87,1.030428
88,1.027645
89,1.031664
90,1.028263
91,1.031664
92,1.028263
93,1.031664
94,1.028263
95,1.031664
96,1.028263
97,1.031664
98,1.028263
99,1.031664
