# G(F)=a*H_soc+b*R_soc+c*H_soc*R_soc; H_soc=H_scene-mean_i H(singleton_i); R_soc=R_scene-mean_i R(singleton_i); scene includes adaptive voices plus fixed drone
step,baseline_g_scene,baseline_h_scene,baseline_h_single_mean,baseline_h_social,baseline_r_scene,baseline_r_single_mean,baseline_r_social,nohill_g_scene,nohill_h_scene,nohill_h_single_mean,nohill_h_social,nohill_r_scene,nohill_r_single_mean,nohill_r_social
0,-24.659315,1.119040,1.167365,-0.048325,18.266708,0.000548,18.266159,-24.659315,1.119040,1.167365,-0.048325,18.266708,0.000548,18.266159
1,-24.659315,1.119040,1.167365,-0.048325,18.266708,0.000548,18.266159,-24.622065,1.119979,1.167365,-0.047387,18.239115,0.000548,18.238565
2,-25.391657,1.112843,1.167188,-0.054345,18.809183,0.000549,18.808634,-24.622065,1.119979,1.167365,-0.047387,18.239115,0.000548,18.238565
3,-25.424465,1.107777,1.167345,-0.059568,18.833506,0.000568,18.832937,-24.624729,1.129279,1.167365,-0.038086,18.241089,0.000550,18.240540
4,-25.295887,1.082232,1.167346,-0.085114,18.738262,0.000568,18.737694,-24.624729,1.129279,1.167365,-0.038086,18.241089,0.000550,18.240540
5,-26.110752,1.069003,1.167351,-0.098348,19.341864,0.000567,19.341297,-24.898987,1.125798,1.167365,-0.041567,18.444242,0.000550,18.443693
6,-25.969551,1.066489,1.167326,-0.100837,19.237268,0.000565,19.236704,-24.701273,1.120680,1.167365,-0.046685,18.297789,0.000550,18.297239
7,-26.242867,1.053205,1.167325,-0.114120,19.439724,0.000565,19.439159,-24.823315,1.107980,1.167365,-0.059385,18.388189,0.000550,18.387640
8,-27.357168,1.062663,1.166845,-0.104182,20.265116,0.000548,20.264568,-24.804502,1.125522,1.167365,-0.041843,18.374254,0.000549,18.373705
9,-28.022690,1.065714,1.166889,-0.101175,20.758116,0.000568,20.757547,-24.656681,1.132288,1.167365,-0.035078,18.264755,0.000547,18.264208
10,-28.022690,1.065714,1.166889,-0.101175,20.758116,0.000568,20.757547,-24.556833,1.145738,1.167373,-0.021635,18.190802,0.000554,18.190247
11,-28.343019,1.038862,1.166798,-0.127937,20.995396,0.000567,20.994829,-24.695778,1.125118,1.167373,-0.042255,18.293724,0.000555,18.293169
12,-28.343019,1.038862,1.166798,-0.127937,20.995396,0.000567,20.994829,-24.643250,1.139576,1.167420,-0.027844,18.254814,0.000555,18.254259
13,-28.343019,1.038862,1.166798,-0.127937,20.995396,0.000567,20.994829,-24.653357,1.139182,1.167420,-0.028239,18.262300,0.000555,18.261745
14,-28.609385,1.024737,1.166798,-0.142062,21.192703,0.000567,21.192137,-24.533049,1.155717,1.167420,-0.011703,18.173183,0.000555,18.172628
15,-28.621012,1.022389,1.166798,-0.144410,21.201315,0.000567,21.200748,-24.479830,1.160528,1.167420,-0.006893,18.133762,0.000555,18.133207
16,-28.698503,1.007017,1.166798,-0.159781,21.258717,0.000567,21.258150,-24.622944,1.148500,1.167420,-0.018919,18.239773,0.000555,18.239218
17,-28.733757,1.004707,1.166798,-0.162091,21.284830,0.000566,21.284264,-24.699570,1.144235,1.167420,-0.023185,18.296532,0.000555,18.295977
18,-28.733757,1.004707,1.166798,-0.162091,21.284830,0.000566,21.284264,-24.633675,1.155271,1.167420,-0.012149,18.247721,0.000555,18.247166
19,-28.733757,1.004707,1.166798,-0.162091,21.284830,0.000566,21.284264,-24.919329,1.141124,1.167417,-0.026293,18.459316,0.000555,18.458761
20,-28.756310,0.999582,1.166425,-0.166843,21.301527,0.000557,21.300970,-24.891396,1.138116,1.167502,-0.029386,18.438625,0.000555,18.438070
21,-28.756310,0.999582,1.166425,-0.166843,21.301527,0.000557,21.300970,-24.920029,1.135030,1.167502,-0.032472,18.459835,0.000555,18.459280
22,-28.756310,0.999582,1.166425,-0.166843,21.301527,0.000557,21.300970,-24.794617,1.127399,1.167502,-0.040103,18.366938,0.000555,18.366383
23,-28.756310,0.999582,1.166425,-0.166843,21.301527,0.000557,21.300970,-24.893494,1.121055,1.167502,-0.046448,18.440180,0.000555,18.439625
24,-28.771244,0.999226,1.166425,-0.167199,21.312588,0.000556,21.312033,-24.809490,1.101718,1.167502,-0.065784,18.377953,0.000554,18.377399
25,-28.771244,0.999226,1.166425,-0.167199,21.312588,0.000556,21.312033,-25.116505,1.100920,1.167502,-0.066582,18.605371,0.000554,18.604818
26,-28.673706,0.994242,1.166455,-0.172214,21.240351,0.000568,21.239782,-25.107758,1.100646,1.167502,-0.066856,18.598894,0.000556,18.598339
27,-28.673706,0.994242,1.166455,-0.172214,21.240351,0.000568,21.239782,-25.148449,1.108175,1.167502,-0.059326,18.629036,0.000556,18.628481
28,-28.673706,0.994242,1.166455,-0.172214,21.240351,0.000568,21.239782,-25.359669,1.125496,1.167502,-0.042006,18.785494,0.000555,18.784939
29,-28.698080,0.994778,1.166455,-0.171677,21.258406,0.000567,21.257837,-25.285284,1.120562,1.167502,-0.046940,18.730394,0.000555,18.729839
30,-28.698080,0.994778,1.166455,-0.171677,21.258406,0.000567,21.257837,-25.514547,1.136307,1.167502,-0.031195,18.900219,0.000555,18.899664
31,-28.698080,0.994778,1.166455,-0.171677,21.258406,0.000567,21.257837,-25.554676,1.144958,1.167502,-0.022544,18.929943,0.000554,18.929390
32,-28.698080,0.994778,1.166455,-0.171677,21.258406,0.000567,21.257837,-25.647703,1.163287,1.167502,-0.004214,18.998854,0.000555,18.998299
33,-28.698080,0.994778,1.166455,-0.171677,21.258406,0.000567,21.257837,-25.647703,1.163287,1.167502,-0.004214,18.998854,0.000555,18.998299
34,-28.698080,0.994778,1.166455,-0.171677,21.258406,0.000567,21.257837,-25.682495,1.153998,1.167502,-0.013504,19.024626,0.000555,19.024071
35,-28.684998,0.985414,1.166504,-0.181090,21.248714,0.000567,21.248146,-25.805399,1.132587,1.167453,-0.034865,19.115665,0.000555,19.115110
36,-28.684998,0.985414,1.166504,-0.181090,21.248714,0.000567,21.248146,-25.808393,1.136484,1.167457,-0.030974,19.117884,0.000555,19.117329
37,-28.693720,0.984727,1.166504,-0.181777,21.255175,0.000567,21.254606,-25.867373,1.142314,1.167457,-0.025144,19.161572,0.000555,19.161016
38,-28.685848,0.980888,1.166504,-0.185616,21.249344,0.000567,21.248775,-25.835533,1.127662,1.167457,-0.039796,19.137987,0.000555,19.137432
39,-28.685848,0.980888,1.166504,-0.185616,21.249344,0.000567,21.248775,-25.826902,1.141013,1.167458,-0.026446,19.131594,0.000555,19.131039
40,-28.722090,0.980158,1.166504,-0.186346,21.276188,0.000567,21.275621,-25.484016,1.154794,1.167458,-0.012664,18.877604,0.000555,18.877048
41,-28.722090,0.980158,1.166504,-0.186346,21.276188,0.000567,21.275621,-25.346670,1.153972,1.167458,-0.013486,18.775866,0.000555,18.775311
42,-28.722090,0.980158,1.166504,-0.186346,21.276188,0.000567,21.275621,-25.324308,1.153951,1.167458,-0.013506,18.759302,0.000555,18.758747
43,-28.722090,0.980158,1.166504,-0.186346,21.276188,0.000567,21.275621,-25.258595,1.145593,1.167462,-0.021869,18.710627,0.000556,18.710070
44,-28.722090,0.980158,1.166504,-0.186346,21.276188,0.000567,21.275621,-25.153929,1.128470,1.167462,-0.038991,18.633097,0.000557,18.632540
45,-28.722090,0.980158,1.166504,-0.186346,21.276188,0.000567,21.275621,-25.051079,1.126401,1.167462,-0.041061,18.556911,0.000556,18.556355
46,-28.722090,0.980158,1.166504,-0.186346,21.276188,0.000567,21.275621,-25.024370,1.126222,1.167462,-0.041240,18.537127,0.000556,18.536570
47,-28.722090,0.980158,1.166504,-0.186346,21.276188,0.000567,21.275621,-25.140955,1.126225,1.167462,-0.041237,18.623487,0.000558,18.622929
48,-28.722090,0.980158,1.166504,-0.186346,21.276188,0.000567,21.275621,-25.212040,1.130349,1.167462,-0.037112,18.676144,0.000558,18.675585
49,-28.722090,0.980158,1.166504,-0.186346,21.276188,0.000567,21.275621,-25.209179,1.113570,1.167462,-0.053892,18.674021,0.000555,18.673466
50,-28.722090,0.980158,1.166504,-0.186346,21.276188,0.000567,21.275621,-25.209179,1.113570,1.167462,-0.053892,18.674021,0.000555,18.673466
