step,mean_score
0,-0.159994
1,-0.137242
2,-0.118941
3,-0.116819
4,-0.116819
5,-0.116819
6,-0.116819
7,-0.116819
8,-0.116819
9,-0.116819
10,-0.116819
11,-0.116819
12,-0.116819
13,-0.116819
14,-0.116819
15,-0.116819
16,-0.116819
17,-0.116819
18,-0.116819
19,-0.116819
20,-0.116819
21,-0.116819
22,-0.116819
23,-0.116819
24,-0.116819
25,0.426226
26,0.462535
27,0.450824
28,0.450622
29,0.450622
30,0.450622
31,0.450622
32,0.450622
33,0.450622
34,0.450622
35,0.450622
36,0.450622
37,0.450622
38,0.450622
39,0.450622
40,0.450622
41,0.450622
42,0.450622
43,0.450622
44,0.450622
45,0.450622
46,0.450622
47,0.450622
48,0.450622
49,0.450622
