step,mean,std,n
0,0.617773,0.067810,20
1,0.512837,0.067079,20
2,0.539970,0.069295,20
3,0.536830,0.093993,20
4,0.537049,0.071104,20
5,0.579480,0.081042,20
6,0.570776,0.062890,20
7,0.544306,0.072166,20
8,0.555825,0.073845,20
9,0.543892,0.065110,20
10,0.553183,0.071471,20
11,0.554069,0.069980,20
12,0.558288,0.067634,20
13,0.564480,0.073320,20
14,0.560897,0.058142,20
15,0.578578,0.071947,20
16,0.580142,0.067554,20
17,0.584601,0.072279,20
18,0.596462,0.069591,20
19,0.582918,0.056770,20
20,0.584199,0.049080,20
21,0.592945,0.061801,20
22,0.595480,0.059837,20
23,0.587161,0.046103,20
24,0.588910,0.052236,20
25,0.590827,0.045987,20
26,0.631822,0.048480,20
27,0.674968,0.059083,20
28,0.697318,0.043261,20
29,0.744794,0.041413,20
30,0.752594,0.066094,20
31,0.734601,0.058627,20
32,0.735187,0.051853,20
33,0.755425,0.044936,20
34,0.756782,0.059162,20
35,0.755757,0.042700,20
36,0.751972,0.046478,20
37,0.760064,0.041881,20
38,0.755834,0.054253,20
39,0.765730,0.042265,20
40,0.765905,0.045671,20
41,0.771597,0.038685,20
42,0.760263,0.054471,20
43,0.770709,0.042830,20
44,0.764881,0.049995,20
45,0.777028,0.045196,20
46,0.768318,0.054248,20
47,0.780601,0.042191,20
48,0.764808,0.047081,20
49,0.765360,0.041535,20
