step,mean,std,ci95,n
0,0.617773,0.067810,0.029719,20
1,0.512837,0.067079,0.029399,20
2,0.539970,0.069295,0.030370,20
3,0.536830,0.093993,0.041194,20
4,0.537049,0.071104,0.031163,20
5,0.579480,0.081042,0.035518,20
6,0.570776,0.062890,0.027563,20
7,0.544306,0.072166,0.031628,20
8,0.555825,0.073845,0.032364,20
9,0.543892,0.065110,0.028536,20
10,0.553183,0.071471,0.031324,20
11,0.554069,0.069980,0.030670,20
12,0.558288,0.067634,0.029642,20
13,0.564480,0.073320,0.032134,20
14,0.560897,0.058142,0.025482,20
15,0.578578,0.071947,0.031532,20
16,0.580142,0.067554,0.029607,20
17,0.584601,0.072279,0.031677,20
18,0.596462,0.069591,0.030500,20
19,0.582918,0.056770,0.024881,20
20,0.584199,0.049080,0.021510,20
21,0.592945,0.061801,0.027085,20
22,0.595480,0.059837,0.026225,20
23,0.587161,0.046103,0.020206,20
24,0.588910,0.052236,0.022893,20
25,0.590827,0.045987,0.020155,20
26,0.631822,0.048480,0.021247,20
27,0.674968,0.059083,0.025894,20
28,0.697318,0.043261,0.018960,20
29,0.744794,0.041413,0.018150,20
30,0.752594,0.066094,0.028967,20
31,0.734601,0.058627,0.025695,20
32,0.735187,0.051853,0.022726,20
33,0.755425,0.044936,0.019694,20
34,0.756782,0.059162,0.025929,20
35,0.755757,0.042700,0.018714,20
36,0.751972,0.046478,0.020370,20
37,0.760064,0.041881,0.018355,20
38,0.755834,0.054253,0.023777,20
39,0.765730,0.042265,0.018523,20
40,0.765905,0.045671,0.020016,20
41,0.771597,0.038685,0.016954,20
42,0.760263,0.054471,0.023873,20
43,0.770709,0.042830,0.018771,20
44,0.764881,0.049995,0.021911,20
45,0.777028,0.045196,0.019808,20
46,0.768318,0.054248,0.023775,20
47,0.780601,0.042191,0.018491,20
48,0.764808,0.047081,0.020634,20
49,0.765360,0.041535,0.018204,20
