step,mean,std,n
0,0.769707,0.025265,20
1,0.775219,0.035629,20
2,0.775958,0.026513,20
3,0.778035,0.030609,20
4,0.772526,0.029198,20
5,0.765646,0.027689,20
6,0.768947,0.025195,20
7,0.769540,0.024442,20
8,0.765052,0.020728,20
9,0.778652,0.023115,20
10,0.775785,0.020008,20
11,0.776321,0.021077,20
12,0.771721,0.022737,20
13,0.772662,0.023365,20
14,0.764672,0.023219,20
15,0.764780,0.022785,20
16,0.774687,0.028486,20
17,0.769984,0.028232,20
18,0.767462,0.023737,20
19,0.767022,0.031704,20
20,0.773557,0.037578,20
21,0.764258,0.034058,20
22,0.766369,0.032266,20
23,0.767662,0.034533,20
24,0.767221,0.030209,20
25,0.768559,0.029616,20
26,0.726003,0.026924,20
27,0.751981,0.023911,20
28,0.779797,0.024645,20
29,0.786734,0.019679,20
30,0.802247,0.014093,20
31,0.794709,0.011802,20
32,0.805486,0.016646,20
33,0.798568,0.014573,20
34,0.805598,0.010507,20
35,0.795334,0.010875,20
36,0.806148,0.014311,20
37,0.798273,0.011495,20
38,0.805244,0.016205,20
39,0.795907,0.010800,20
40,0.808959,0.014941,20
41,0.799073,0.011105,20
42,0.807502,0.012861,20
43,0.796734,0.011451,20
44,0.811782,0.014250,20
45,0.800527,0.012170,20
46,0.806261,0.011703,20
47,0.796902,0.012709,20
48,0.811617,0.013184,20
49,0.798409,0.011299,20
