step,mean,std,ci95,n
0,0.769707,0.025265,0.011073,20
1,0.766009,0.024826,0.010880,20
2,0.769459,0.027780,0.012175,20
3,0.762312,0.025875,0.011340,20
4,0.767337,0.028394,0.012444,20
5,0.767193,0.027992,0.012268,20
6,0.768133,0.027056,0.011858,20
7,0.765396,0.026893,0.011786,20
8,0.763671,0.024522,0.010747,20
9,0.768302,0.025814,0.011314,20
10,0.765540,0.027373,0.011997,20
11,0.769058,0.025946,0.011371,20
12,0.766735,0.022409,0.009821,20
13,0.770609,0.024550,0.010760,20
14,0.766300,0.022726,0.009960,20
15,0.759480,0.022254,0.009753,20
16,0.763820,0.024034,0.010533,20
17,0.766868,0.021490,0.009418,20
18,0.775072,0.029006,0.012712,20
19,0.765558,0.027502,0.012053,20
20,0.769579,0.026220,0.011491,20
21,0.760125,0.026456,0.011595,20
22,0.758563,0.023523,0.010309,20
23,0.760810,0.021379,0.009370,20
24,0.760576,0.023485,0.010293,20
25,0.772736,0.023964,0.010503,20
26,0.771973,0.021022,0.009213,20
27,0.771626,0.034039,0.014918,20
28,0.766909,0.031878,0.013971,20
29,0.763331,0.034709,0.015212,20
30,0.763345,0.033223,0.014561,20
31,0.774911,0.028701,0.012579,20
32,0.769353,0.028620,0.012543,20
33,0.762201,0.030403,0.013325,20
34,0.766621,0.032333,0.014170,20
35,0.759544,0.038084,0.016691,20
36,0.758358,0.036186,0.015859,20
37,0.759661,0.033644,0.014745,20
38,0.756209,0.033532,0.014696,20
39,0.768036,0.032782,0.014367,20
40,0.770651,0.027191,0.011917,20
41,0.774916,0.028406,0.012450,20
42,0.768081,0.030582,0.013403,20
43,0.764184,0.026944,0.011809,20
44,0.764269,0.025486,0.011170,20
45,0.764400,0.034709,0.015212,20
46,0.765700,0.035911,0.015739,20
47,0.766512,0.029939,0.013121,20
48,0.762127,0.028008,0.012275,20
49,0.755823,0.028461,0.012474,20
50,0.763966,0.029236,0.012813,20
51,0.725389,0.022954,0.010060,20
52,0.756566,0.023465,0.010284,20
53,0.782258,0.019113,0.008377,20
54,0.801117,0.017288,0.007577,20
55,0.807488,0.013709,0.006008,20
56,0.809462,0.013120,0.005750,20
57,0.812363,0.012726,0.005577,20
58,0.812819,0.013770,0.006035,20
59,0.812215,0.015464,0.006777,20
60,0.813895,0.010034,0.004397,20
61,0.814727,0.011645,0.005104,20
62,0.813661,0.014211,0.006228,20
63,0.816914,0.013538,0.005933,20
64,0.813082,0.012677,0.005556,20
65,0.811702,0.012817,0.005617,20
66,0.815473,0.010781,0.004725,20
67,0.817676,0.014427,0.006323,20
68,0.813478,0.012094,0.005301,20
69,0.815892,0.010260,0.004497,20
70,0.815874,0.013439,0.005890,20
71,0.814576,0.015282,0.006698,20
72,0.815730,0.009799,0.004295,20
73,0.816462,0.011441,0.005014,20
74,0.813653,0.012321,0.005400,20
75,0.817051,0.013711,0.006009,20
76,0.813485,0.013181,0.005777,20
77,0.814346,0.011742,0.005146,20
78,0.817757,0.009203,0.004033,20
79,0.817394,0.014382,0.006303,20
80,0.813497,0.011333,0.004967,20
81,0.816543,0.009808,0.004299,20
82,0.815922,0.013492,0.005913,20
83,0.815637,0.014709,0.006447,20
84,0.816791,0.008738,0.003830,20
85,0.816854,0.011734,0.005143,20
86,0.815204,0.012268,0.005377,20
87,0.818012,0.013027,0.005709,20
88,0.814522,0.012639,0.005539,20
89,0.814714,0.012092,0.005299,20
90,0.818115,0.009506,0.004166,20
91,0.817776,0.014278,0.006257,20
92,0.813879,0.011341,0.004971,20
93,0.817090,0.010199,0.004470,20
94,0.815846,0.013410,0.005877,20
95,0.815637,0.014709,0.006447,20
96,0.816791,0.008738,0.003830,20
97,0.816854,0.011734,0.005143,20
98,0.815204,0.012268,0.005377,20
99,0.818012,0.013027,0.005709,20
