step,mean,std,n
0,0.068691,0.132809,20
1,-0.043555,0.064845,20
2,-0.050188,0.067933,20
3,-0.061417,0.063956,20
4,-0.063746,0.061144,20
5,-0.057549,0.072050,20
6,-0.066827,0.072836,20
7,-0.070972,0.064421,20
8,-0.068441,0.067942,20
9,-0.078359,0.068578,20
10,-0.082774,0.071028,20
11,-0.076748,0.073511,20
12,-0.079561,0.067333,20
13,-0.083513,0.061909,20
14,-0.083560,0.062210,20
15,-0.092344,0.064459,20
16,-0.094285,0.066052,20
17,-0.087262,0.059652,20
18,-0.088459,0.062796,20
19,-0.093053,0.058607,20
20,-0.090278,0.066114,20
21,-0.098104,0.071406,20
22,-0.103006,0.069075,20
23,-0.096064,0.067471,20
24,-0.093550,0.066535,20
25,-0.101646,0.065082,20
26,-0.101353,0.061001,20
27,-0.093048,0.063078,20
28,-0.095822,0.067560,20
29,-0.099247,0.067698,20
30,-0.101868,0.067111,20
31,-0.095012,0.068360,20
32,-0.096185,0.069197,20
33,-0.089468,0.075482,20
34,-0.091302,0.070695,20
35,-0.089220,0.070104,20
36,-0.090037,0.071153,20
37,-0.094488,0.072570,20
38,-0.099409,0.073658,20
39,-0.098463,0.070581,20
40,-0.099668,0.071281,20
41,-0.093630,0.078690,20
42,-0.095138,0.076535,20
43,-0.097177,0.070789,20
44,-0.097951,0.069361,20
45,-0.091261,0.076242,20
46,-0.092367,0.076776,20
47,-0.092843,0.079501,20
48,-0.091879,0.080379,20
49,-0.091094,0.081066,20
50,-0.095799,0.078808,20
51,0.328405,0.131546,20
52,0.431538,0.090179,20
53,0.697052,0.114584,20
54,0.762958,0.105503,20
55,0.802285,0.092740,20
56,0.804504,0.093119,20
57,0.804504,0.093119,20
58,0.804504,0.093119,20
59,0.804504,0.093119,20
60,0.804504,0.093119,20
61,0.804504,0.093119,20
62,0.804504,0.093119,20
63,0.804504,0.093119,20
64,0.804504,0.093119,20
65,0.804504,0.093119,20
66,0.804504,0.093119,20
67,0.804504,0.093119,20
68,0.804504,0.093119,20
69,0.804504,0.093119,20
70,0.804504,0.093119,20
71,0.804504,0.093119,20
72,0.804504,0.093119,20
73,0.804504,0.093119,20
74,0.804504,0.093119,20
75,0.804504,0.093119,20
76,0.804504,0.093119,20
77,0.804504,0.093119,20
78,0.804504,0.093119,20
79,0.804504,0.093119,20
80,0.804504,0.093119,20
81,0.804504,0.093119,20
82,0.804504,0.093119,20
83,0.804504,0.093119,20
84,0.804504,0.093119,20
85,0.804504,0.093119,20
86,0.804504,0.093119,20
87,0.804504,0.093119,20
88,0.804504,0.093119,20
89,0.804504,0.093119,20
90,0.804504,0.093119,20
91,0.804504,0.093119,20
92,0.804504,0.093119,20
93,0.804504,0.093119,20
94,0.804504,0.093119,20
95,0.804504,0.093119,20
96,0.804504,0.093119,20
97,0.804504,0.093119,20
98,0.804504,0.093119,20
99,0.804504,0.093119,20
