step,mean,std,n
0,0.296042,0.274681,20
1,0.258338,0.254432,20
2,0.213298,0.216963,20
3,0.173133,0.183022,20
4,0.146910,0.161922,20
5,0.128504,0.149253,20
6,0.122881,0.146096,20
7,0.116951,0.136716,20
8,0.112451,0.134061,20
9,0.112688,0.138517,20
10,0.107365,0.123013,20
11,0.100043,0.108623,20
12,0.105253,0.106888,20
13,0.106817,0.103860,20
14,0.100280,0.106025,20
15,0.103286,0.112856,20
16,0.105749,0.109372,20
17,0.107394,0.111725,20
18,0.104743,0.117409,20
19,0.103477,0.124757,20
20,0.107812,0.127967,20
21,0.107885,0.127698,20
22,0.102935,0.123705,20
23,0.100900,0.118032,20
24,0.101635,0.116787,20
25,0.107788,0.124854,20
26,0.105522,0.125178,20
27,0.105780,0.126946,20
28,0.110862,0.132735,20
29,0.113870,0.136818,20
30,0.106827,0.130887,20
31,0.105371,0.131837,20
32,0.111563,0.136395,20
33,0.117345,0.141861,20
34,0.111902,0.132548,20
35,0.107239,0.128517,20
36,0.105949,0.132861,20
37,0.111100,0.139342,20
38,0.114021,0.137777,20
39,0.114065,0.136646,20
40,0.112833,0.137228,20
41,0.114057,0.139679,20
42,0.112730,0.134134,20
43,0.110241,0.130586,20
44,0.107429,0.130480,20
45,0.108003,0.134854,20
46,0.109292,0.131338,20
47,0.109876,0.128834,20
48,0.106793,0.128423,20
49,0.103571,0.128894,20
50,0.221622,0.202880,20
51,0.274912,0.222916,20
52,0.429615,0.316878,20
53,0.631283,0.385388,20
54,0.638505,0.407373,20
55,0.680000,0.440000,20
56,0.660015,0.443162,20
57,0.680000,0.440000,20
58,0.660015,0.443162,20
59,0.680000,0.440000,20
60,0.660015,0.443162,20
61,0.680000,0.440000,20
62,0.660015,0.443162,20
63,0.680000,0.440000,20
64,0.660015,0.443162,20
65,0.680000,0.440000,20
66,0.660015,0.443162,20
67,0.680000,0.440000,20
68,0.660015,0.443162,20
69,0.680000,0.440000,20
70,0.660015,0.443162,20
71,0.680000,0.440000,20
72,0.660015,0.443162,20
73,0.680000,0.440000,20
74,0.660015,0.443162,20
75,0.680000,0.440000,20
76,0.660015,0.443162,20
77,0.680000,0.440000,20
78,0.660015,0.443162,20
79,0.680000,0.440000,20
80,0.660015,0.443162,20
81,0.680000,0.440000,20
82,0.660015,0.443162,20
83,0.680000,0.440000,20
84,0.660015,0.443162,20
85,0.680000,0.440000,20
86,0.660015,0.443162,20
87,0.680000,0.440000,20
88,0.660015,0.443162,20
89,0.680000,0.440000,20
90,0.660015,0.443162,20
91,0.680000,0.440000,20
92,0.660015,0.443162,20
93,0.680000,0.440000,20
94,0.660015,0.443162,20
95,0.680000,0.440000,20
96,0.660015,0.443162,20
97,0.680000,0.440000,20
98,0.660015,0.443162,20
99,0.680000,0.440000,20
