step,mean,std,n
0,-23.014992,2.612589,20
1,-22.889704,2.739938,20
2,-22.382668,2.517177,20
3,-22.044756,2.971057,20
4,-22.031406,2.583665,20
5,-22.296787,2.661151,20
6,-22.175665,2.593450,20
7,-22.694201,2.677215,20
8,-22.802069,2.759372,20
9,-22.681644,3.409554,20
10,-22.947868,3.103648,20
11,-23.233940,3.486240,20
12,-22.780371,3.508952,20
13,-22.555847,3.699208,20
14,-21.826588,3.899083,20
15,-22.614758,3.317039,20
16,-22.451443,3.385450,20
17,-21.986391,3.832818,20
18,-21.495176,3.469533,20
19,-21.993193,3.291859,20
20,-21.362099,4.053656,20
21,-22.124195,3.519169,20
22,-20.909655,4.195098,20
23,-21.348780,4.465829,20
24,-21.473940,4.204384,20
25,-21.473492,3.931182,20
26,-14.874095,4.237111,20
27,-10.515924,3.282711,20
28,-9.011484,4.437976,20
29,-8.467570,4.653826,20
30,-7.604646,2.517265,20
31,-7.475329,3.614480,20
32,-7.338824,3.498130,20
33,-6.448342,1.794884,20
34,-7.504329,3.904036,20
35,-7.189648,4.014479,20
36,-6.743681,1.558525,20
37,-6.854739,3.360473,20
38,-7.208339,3.346316,20
39,-6.509886,2.052764,20
40,-6.747298,3.819667,20
41,-7.030291,4.066129,20
42,-6.501251,1.933090,20
43,-6.335055,3.806551,20
44,-6.731006,3.400093,20
45,-5.943408,1.984856,20
46,-6.612415,4.068273,20
47,-6.713700,4.224188,20
48,-6.342098,1.450025,20
49,-6.667627,3.329411,20
