step,mean,std,ci95,n
0,-23.014992,2.612589,1.145018,20
1,-23.521629,2.617829,1.147314,20
2,-23.680889,2.630749,1.152976,20
3,-23.692326,2.528741,1.108270,20
4,-23.794241,2.531395,1.109433,20
5,-23.862116,2.651040,1.161870,20
6,-23.899012,2.657617,1.164752,20
7,-23.925409,2.617444,1.147145,20
8,-24.016546,2.711590,1.188407,20
9,-23.902178,2.696886,1.181962,20
10,-23.924908,2.701566,1.184014,20
11,-23.822079,2.823557,1.237478,20
12,-23.852804,2.794211,1.224617,20
13,-23.901934,2.851712,1.249818,20
14,-23.873384,2.876719,1.260778,20
15,-23.865299,2.824853,1.238047,20
16,-23.902470,2.806700,1.230090,20
17,-23.945286,2.867070,1.256549,20
18,-23.921913,2.806765,1.230119,20
19,-23.929319,2.781634,1.219105,20
20,-23.899052,2.744390,1.202782,20
21,-23.867399,2.873280,1.259270,20
22,-23.907566,2.915947,1.277970,20
23,-23.918238,2.934267,1.285999,20
24,-23.848497,2.857143,1.252198,20
25,-23.835062,2.816588,1.234424,20
26,-19.053106,3.523948,1.544438,20
27,-12.368899,3.547802,1.554893,20
28,-9.276743,3.318824,1.454539,20
29,-7.651051,3.147408,1.379412,20
30,-6.745986,2.672838,1.171423,20
31,-6.542655,2.815389,1.233899,20
32,-6.638909,2.532885,1.110086,20
33,-5.884511,1.869307,0.819260,20
34,-5.565778,1.938940,0.849778,20
35,-5.663975,1.818904,0.797170,20
36,-5.623623,1.886447,0.826772,20
37,-5.616212,1.938043,0.849385,20
38,-5.509826,1.806904,0.791911,20
39,-5.641084,1.960929,0.859415,20
40,-5.666615,1.932855,0.847111,20
41,-5.445574,1.880225,0.824045,20
42,-5.473456,1.773437,0.777243,20
43,-5.574031,1.927003,0.844546,20
44,-5.460166,1.848079,0.809957,20
45,-5.469185,1.786876,0.783133,20
46,-5.420299,1.737993,0.761709,20
47,-5.453706,1.748902,0.766490,20
48,-5.375890,1.833524,0.803577,20
49,-5.402251,1.771031,0.776189,20
