step,mean,std,n
0,1.651626,0.302895,20
1,1.553489,0.280229,20
2,1.470077,0.258155,20
3,1.401558,0.245428,20
4,1.352189,0.230753,20
5,1.308885,0.228406,20
6,1.275721,0.214736,20
7,1.242927,0.215119,20
8,1.223491,0.201646,20
9,1.210690,0.199546,20
10,1.203081,0.188622,20
11,1.187043,0.195250,20
12,1.178460,0.183558,20
13,1.158787,0.181482,20
14,1.157092,0.171020,20
15,1.143562,0.171121,20
16,1.146669,0.163678,20
17,1.130500,0.172307,20
18,1.127511,0.161625,20
19,1.121254,0.163369,20
20,1.118756,0.158674,20
21,1.102718,0.163589,20
22,1.105824,0.160737,20
23,1.096118,0.167762,20
24,1.102737,0.163681,20
25,1.093387,0.164197,20
26,1.093527,0.147658,20
27,1.084631,0.142087,20
28,1.095829,0.131106,20
29,1.081841,0.134905,20
30,1.086692,0.140152,20
31,1.075904,0.149610,20
32,1.093664,0.147150,20
33,1.099065,0.153731,20
34,1.104519,0.148420,20
35,1.093069,0.160439,20
36,1.098102,0.145418,20
37,1.083765,0.149071,20
38,1.080941,0.136877,20
39,1.076755,0.149251,20
40,1.089184,0.133879,20
41,1.083563,0.158401,20
42,1.088998,0.153037,20
43,1.083935,0.167271,20
44,1.085120,0.151816,20
45,1.082912,0.161613,20
46,1.080351,0.144039,20
47,1.073495,0.154310,20
48,1.080844,0.133116,20
49,1.071367,0.146256,20
50,1.106752,0.153393,20
51,1.114713,0.163851,20
52,1.121488,0.158293,20
53,1.128027,0.161492,20
54,1.129876,0.161628,20
55,1.130619,0.159633,20
56,1.135867,0.163838,20
57,1.140741,0.164740,20
58,1.140550,0.166861,20
59,1.139657,0.166837,20
60,1.141015,0.166557,20
61,1.145246,0.166045,20
62,1.145942,0.168956,20
63,1.147908,0.172174,20
64,1.150494,0.175942,20
65,1.153215,0.176193,20
66,1.152408,0.178960,20
67,1.152955,0.179671,20
68,1.152513,0.179596,20
69,1.153616,0.178016,20
70,1.151744,0.178490,20
71,1.151859,0.177812,20
72,1.150963,0.176819,20
73,1.151526,0.174426,20
74,1.150358,0.176136,20
75,1.150946,0.176352,20
76,1.150046,0.175947,20
77,1.151522,0.174430,20
78,1.149926,0.175879,20
79,1.150241,0.175975,20
80,1.149934,0.175822,20
81,1.151598,0.174299,20
82,1.150059,0.175648,20
83,1.150574,0.175837,20
84,1.149910,0.175618,20
85,1.151297,0.174100,20
86,1.149667,0.175525,20
87,1.150135,0.175650,20
88,1.149776,0.175474,20
89,1.151105,0.174095,20
90,1.149221,0.175599,20
91,1.150019,0.175438,20
92,1.149882,0.174894,20
93,1.152205,0.172631,20
94,1.151241,0.173529,20
95,1.151516,0.173967,20
96,1.151065,0.173669,20
97,1.152705,0.172110,20
98,1.151098,0.173607,20
99,1.151493,0.173864,20
