step,mean,std,n
0,-0.288681,0.036453,20
1,-0.282581,0.043994,20
2,-0.210073,0.048693,20
3,-0.214445,0.035110,20
4,-0.206489,0.046098,20
5,-0.186761,0.042061,20
6,-0.202466,0.041582,20
7,-0.174668,0.046533,20
8,-0.183781,0.034138,20
9,-0.171269,0.045654,20
10,-0.175602,0.035247,20
11,-0.179879,0.043477,20
12,-0.183421,0.033929,20
13,-0.166335,0.038564,20
14,-0.199538,0.042176,20
15,-0.151839,0.046192,20
16,-0.178592,0.033051,20
17,-0.163964,0.046705,20
18,-0.172696,0.039525,20
19,-0.160378,0.054105,20
20,-0.176393,0.036991,20
21,-0.158343,0.049992,20
22,-0.167685,0.033394,20
23,-0.146881,0.056380,20
24,-0.177596,0.041150,20
25,-0.161816,0.053535,20
26,-0.174712,0.029539,20
27,-0.160627,0.038482,20
28,-0.176547,0.039882,20
29,-0.171428,0.043930,20
30,-0.172938,0.042027,20
31,-0.158125,0.042909,20
32,-0.173125,0.033716,20
33,-0.153721,0.045907,20
34,-0.176506,0.040702,20
35,-0.151196,0.045583,20
36,-0.175214,0.037112,20
37,-0.156605,0.051802,20
38,-0.167574,0.040104,20
39,-0.154991,0.050687,20
40,-0.161877,0.036306,20
41,-0.158352,0.042582,20
42,-0.164441,0.042328,20
43,-0.165768,0.041146,20
44,-0.161756,0.044433,20
45,-0.167030,0.039851,20
46,-0.164921,0.043943,20
47,-0.165635,0.035454,20
48,-0.161267,0.042876,20
49,-0.162746,0.044105,20
50,0.250914,0.051882,20
51,0.295622,0.052382,20
52,0.313368,0.040400,20
53,0.322526,0.047243,20
54,0.331263,0.044810,20
55,0.342334,0.038163,20
56,0.355222,0.036787,20
57,0.359173,0.040197,20
58,0.364915,0.036991,20
59,0.368260,0.041568,20
60,0.370924,0.038294,20
61,0.374030,0.041715,20
62,0.370618,0.040995,20
63,0.373469,0.039121,20
64,0.374363,0.041650,20
65,0.374008,0.045858,20
66,0.376651,0.045100,20
67,0.376383,0.048119,20
68,0.380385,0.051104,20
69,0.382141,0.049689,20
70,0.384154,0.052014,20
71,0.383991,0.051577,20
72,0.386289,0.050585,20
73,0.384739,0.047650,20
74,0.387545,0.048978,20
75,0.385946,0.049735,20
76,0.385774,0.050679,20
77,0.386016,0.050570,20
78,0.387710,0.052112,20
79,0.386515,0.050654,20
80,0.387929,0.051970,20
81,0.386621,0.052295,20
82,0.388066,0.052185,20
83,0.386412,0.051253,20
84,0.388194,0.052232,20
85,0.387281,0.050631,20
86,0.388379,0.050810,20
87,0.387293,0.049275,20
88,0.388457,0.051483,20
89,0.387222,0.050382,20
90,0.388532,0.050843,20
91,0.387551,0.049645,20
92,0.389039,0.051522,20
93,0.388064,0.050468,20
94,0.388919,0.051137,20
95,0.387716,0.049926,20
96,0.389052,0.051457,20
97,0.387932,0.050354,20
98,0.388985,0.051059,20
99,0.387681,0.049973,20
