seed,init_mode,steps,burn_in,mean_c_step0,mean_c_step_end,delta_c,mean_c_level_step0,mean_c_level_step_end,delta_c_level,mean_c_score_loo_step0,mean_c_score_loo_step_end,delta_c_score_loo
12648430,reject_consonant,50,10,0.579153,0.764161,0.185007,0.754874,0.808983,0.054109,0.210075,0.713603,0.503528
2779096485,reject_consonant,50,10,0.640211,0.811186,0.170975,0.779587,0.829013,0.049426,0.178098,0.782236,0.604138
464367618,reject_consonant,50,10,0.556273,0.729868,0.173595,0.746814,0.805696,0.058882,0.204006,0.674317,0.470310
3735928559,reject_consonant,50,10,0.648241,0.785134,0.136893,0.779596,0.824283,0.044688,0.206225,0.749926,0.543701
4207869677,reject_consonant,50,10,0.619926,0.781570,0.161645,0.772021,0.822306,0.050285,0.174648,0.754987,0.580339
305441741,reject_consonant,50,10,0.569535,0.822913,0.253378,0.752607,0.833246,0.080638,0.164332,0.785574,0.621242
826366246,reject_consonant,50,10,0.717619,0.710814,-0.006805,0.805154,0.799852,-0.005302,0.203248,0.668145,0.464897
655894552,reject_consonant,50,10,0.699384,0.780050,0.080665,0.799074,0.820001,0.020927,0.165195,0.751953,0.586757
3405691582,reject_consonant,50,10,0.586180,0.753762,0.167582,0.758431,0.813247,0.054817,0.192743,0.714929,0.522186
2654435769,reject_consonant,50,10,0.711468,0.732513,0.021045,0.803373,0.805427,0.002054,0.187910,0.675189,0.487279
252645135,reject_consonant,50,10,0.634159,0.742417,0.108258,0.776570,0.808038,0.031468,0.225108,0.692285,0.467177
1437226410,reject_consonant,50,10,0.702336,0.727714,0.025378,0.799454,0.804287,0.004833,0.160745,0.685122,0.524377
2271560481,reject_consonant,50,10,0.654724,0.850824,0.196100,0.782262,0.842192,0.059929,0.222954,0.814200,0.591246
2882400001,reject_consonant,50,10,0.524478,0.746179,0.221702,0.734334,0.808306,0.073972,0.218959,0.718263,0.499304
202374880,reject_consonant,50,10,0.616780,0.760275,0.143495,0.770251,0.816123,0.045872,0.182859,0.725244,0.542385
324508639,reject_consonant,50,10,0.620982,0.779247,0.158266,0.772762,0.819793,0.047031,0.182551,0.730943,0.548392
610839776,reject_consonant,50,10,0.656796,0.799210,0.142414,0.785938,0.820967,0.035029,0.186981,0.735083,0.548102
3134984190,reject_consonant,50,10,0.529714,0.794832,0.265118,0.740692,0.820185,0.079492,0.092717,0.743074,0.650357
270544960,reject_consonant,50,10,0.640661,0.773387,0.132726,0.778541,0.817298,0.038757,0.242026,0.721966,0.479939
1432778632,reject_consonant,50,10,0.446835,0.661144,0.214309,0.701800,0.782611,0.080811,0.160462,0.604355,0.443893
