life_id,lifetime_steps,c_level01_firstk
29,273,0.500000
6,278,0.527998
0,320,0.513088
1,320,0.503330
30,321,0.516986
7,323,0.523960
16,323,0.502055
18,323,0.524440
22,323,0.516699
9,324,0.507630
12,324,0.516252
24,329,0.544991
2,336,0.529048
13,367,0.501166
20,368,0.522754
26,368,0.522257
27,369,0.524326
25,370,0.526872
11,371,0.501569
19,372,0.525283
28,373,0.535784
3,374,0.537954
8,378,0.506503
23,379,0.504351
10,382,0.535370
15,384,0.566017
17,386,0.530229
5,417,0.500000
14,425,0.534891
21,425,0.509006
4,436,0.569610
31,531,0.651151
32,325,0.532273
36,278,0.526238
37,321,0.516292
44,320,0.514495
34,362,0.506337
47,322,0.521429
40,369,0.524645
45,328,0.507791
52,322,0.520304
55,316,0.500000
39,373,0.508394
42,372,0.532279
48,327,0.506364
54,320,0.512444
51,332,0.541191
49,335,0.565554
38,384,0.514518
41,383,0.521753
33,430,0.515452
58,322,0.520343
53,367,0.518734
50,374,0.538994
35,427,0.518849
56,365,0.515955
60,323,0.524068
57,366,0.516272
46,388,0.522326
43,430,0.558093
61,337,0.524033
59,362,0.507820
62,375,0.541740
63,326,0.535125
64,316,0.500066
65,364,0.513286
67,322,0.520843
81,275,0.511072
77,316,0.500000
70,326,0.532717
78,323,0.521936
66,385,0.516381
73,337,0.547215
83,325,0.530395
80,327,0.539326
76,359,0.500005
74,366,0.517971
71,370,0.507491
75,369,0.500000
82,359,0.500000
79,369,0.525128
72,384,0.530092
69,422,0.532291
87,366,0.517401
91,360,0.500027
68,440,0.542078
84,382,0.540869
88,380,0.508621
89,382,0.506242
95,279,0.531151
94,326,0.515768
93,367,0.519986
85,402,0.574426
86,426,0.523322
90,425,0.500000
92,434,0.551205
96,323,0.525210
97,332,0.500000
99,325,0.518138
101,316,0.500000
100,344,0.533111
105,331,0.529978
108,324,0.526432
102,363,0.509439
106,363,0.510018
104,372,0.534085
98,435,0.536440
113,339,0.519100
107,374,0.538198
111,364,0.511126
110,374,0.508894
114,335,0.504815
122,318,0.504685
115,350,0.619685
124,322,0.520844
109,424,0.522936
125,316,0.500000
119,367,0.520841
118,373,0.503815
120,365,0.500000
112,425,0.510331
126,318,0.505156
116,385,0.522345
123,366,0.500098
127,324,0.528615
121,386,0.526902
128,320,0.511537
117,480,0.665188
129,385,0.512186
133,316,0.500001
130,375,0.505947
131,366,0.516344
135,316,0.500000
134,321,0.517537
132,362,0.505424
137,318,0.504160
144,274,0.502707
139,343,0.539801
142,324,0.526206
141,334,0.515261
143,319,0.508368
138,372,0.525602
140,366,0.517201
152,322,0.519706
136,426,0.678007
145,369,0.524652
103,806,0.864853
146,377,0.524445
150,366,0.500000
147,377,0.531070
149,375,0.540975
148,385,0.546049
156,362,0.504203
153,384,0.534238
151,387,0.530979
155,379,0.523731
157,372,0.532559
158,338,0.575993
154,428,0.552064
159,361,0.504045
161,324,0.526949
165,316,0.500000
164,320,0.513022
168,316,0.500001
166,327,0.536734
160,381,0.510479
171,326,0.533805
162,417,0.528328
176,276,0.515086
167,391,0.550811
174,322,0.519148
172,361,0.500000
170,368,0.521784
169,371,0.510100
175,324,0.528527
182,277,0.518213
184,274,0.503879
163,458,0.617976
177,334,0.544304
183,329,0.544049
173,419,0.517408
180,350,0.617799
187,321,0.517627
188,330,0.547432
181,365,0.501936
179,395,0.594359
186,369,0.524938
185,371,0.520902
189,370,0.527650
178,456,0.613836
193,277,0.519108
190,373,0.517792
191,375,0.526858
195,293,0.603344
192,339,0.553794
198,278,0.527748
194,381,0.518380
196,373,0.500000
197,361,0.504537
200,326,0.533633
