life_id,agent_id,birth_step,death_step,lifetime_steps,c_score_birth,c_score_firstk,avg_c_score_tick,c_score_std_over_life,avg_c_score_attack,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
26,26,0,314,314,0.010151,0.010151,0.010151,0.000005,0.010151,0.505075,0.505075,0.505075,0.000000,0.505075,2
3,3,0,320,320,0.035810,0.035810,0.035810,0.000000,0.035810,0.517897,0.517897,0.517898,0.000000,0.517897,3
28,28,0,320,320,0.015248,0.015248,0.015248,0.000041,0.015248,0.507623,0.507623,0.507624,0.000518,0.507623,2
29,29,0,320,320,0.039313,0.039313,0.039313,0.000000,0.039313,0.519644,0.519644,0.519643,0.000810,0.519644,3
5,5,0,323,323,0.049075,0.049075,0.049075,0.000109,0.049075,0.524512,0.524512,0.524511,0.001208,0.524512,3
11,11,0,323,323,0.038468,0.038468,0.038468,0.000091,0.038468,0.519218,0.519218,0.519217,0.001021,0.519218,3
13,13,0,324,324,0.055597,0.055597,0.055597,0.000000,0.055597,0.527721,0.527721,0.527721,0.000000,0.527721,3
17,17,0,324,324,0.027606,0.027606,0.027606,0.000082,0.027606,0.513800,0.513800,0.513799,0.001007,0.513800,3
20,20,0,324,324,0.012067,0.012067,0.012067,0.000032,0.012067,0.506021,0.506021,0.506022,0.000000,0.506021,3
24,24,0,324,324,0.055986,0.055986,0.055986,0.000139,0.055986,0.527962,0.527962,0.527964,0.000000,0.527962,4
8,8,0,332,332,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,4
19,19,0,332,332,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,4
2,2,0,334,334,0.065296,0.065296,0.065296,0.000097,0.065296,0.532589,0.532589,0.532591,0.000000,0.532589,3
31,31,0,336,336,0.029614,0.029614,0.029613,0.000055,0.029614,0.514800,0.514800,0.514801,0.000000,0.514800,3
0,0,0,340,340,0.050701,0.050701,0.050701,0.000000,0.050701,0.525328,0.525328,0.525329,0.000000,0.525328,3
25,25,0,342,342,0.059207,0.059207,0.059207,0.000142,0.059207,0.529565,0.529565,0.529566,0.000000,0.529565,3
27,27,0,344,344,0.008053,0.008053,0.008053,0.000008,0.008053,0.504019,0.504019,0.504018,0.001119,0.504019,3
9,9,0,348,348,0.029957,0.029957,0.029957,0.000059,0.029957,0.514973,0.514973,0.514973,0.000669,0.514973,3
1,1,0,350,350,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,3
30,30,0,351,351,0.055412,0.055412,0.055412,0.000000,0.055412,0.527674,0.527674,0.527675,0.000000,0.527674,4
18,18,0,358,358,0.047099,0.047099,0.047099,0.000000,0.047099,0.523518,0.523519,0.523518,0.000244,0.523518,4
21,21,0,358,358,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
7,7,0,367,367,0.041464,0.041464,0.041464,0.000000,0.041464,0.520718,0.520719,0.520720,0.000000,0.520718,4
16,16,0,367,367,0.049807,0.049807,0.049807,0.000159,0.049807,0.524882,0.524882,0.524883,0.000000,0.524882,4
6,6,0,368,368,0.236453,0.236453,0.236452,0.000507,0.236453,0.614378,0.614378,0.614379,0.000000,0.614378,4
22,22,0,371,371,0.018595,0.018595,0.018595,0.000000,0.018595,0.509293,0.509293,0.509293,0.000000,0.509293,4
14,14,0,372,372,0.029527,0.029527,0.029527,0.000093,0.029527,0.514757,0.514757,0.514756,0.001158,0.514757,4
10,10,0,379,379,0.027339,0.027339,0.027339,0.000000,0.027339,0.513420,0.513420,0.513417,0.001811,0.513420,4
23,23,0,382,382,0.053776,0.053776,0.053776,0.000182,0.053776,0.526838,0.526838,0.526839,0.000000,0.526838,4
12,12,0,386,386,0.053708,0.053708,0.053708,0.000000,0.053708,0.526822,0.526822,0.526824,0.000000,0.526822,4
4,4,0,448,448,0.498384,0.498384,0.498383,0.001610,0.498384,0.727991,0.727991,0.727994,0.000000,0.727991,4
15,15,0,590,590,0.865064,0.865064,0.865058,0.002028,0.865064,0.831068,0.831068,0.831062,0.003049,0.831068,6
32,26,315,632,317,0.025035,0.025035,0.025035,0.000069,0.025035,0.512515,0.512515,0.512513,0.001370,0.512515,3
41,24,325,648,323,0.053012,0.053012,0.053012,0.000026,0.053012,0.526480,0.526480,0.526479,0.000913,0.526480,2
46,0,341,653,312,0.000048,0.000048,0.000048,0.000000,0.000048,0.500024,0.500024,0.500024,0.000000,0.500024,3
34,28,321,654,333,0.016050,0.016050,0.016050,0.000012,0.016050,0.508024,0.508024,0.508025,0.000000,0.508024,4
45,31,337,655,318,0.000173,0.000173,0.000173,0.000000,0.000173,0.500087,0.500087,0.500087,0.000000,0.500087,3
44,2,335,656,321,0.043646,0.043646,0.043646,0.000128,0.043646,0.521804,0.521804,0.521805,0.000000,0.521804,2
42,8,333,662,329,0.060514,0.060514,0.060514,0.000000,0.060514,0.530216,0.530216,0.530214,0.001337,0.530216,2
36,5,324,665,341,0.007202,0.007202,0.007202,0.000000,0.007202,0.503601,0.503601,0.503601,0.000244,0.503601,3
48,27,345,667,322,0.046030,0.046030,0.046030,0.000000,0.046030,0.522994,0.522994,0.522995,0.000000,0.522994,3
50,1,351,675,324,0.055179,0.055179,0.055179,0.000000,0.055179,0.527561,0.527561,0.527559,0.001444,0.527561,3
35,29,321,679,358,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,4
53,21,359,679,320,0.032832,0.032832,0.032832,0.000042,0.032832,0.516406,0.516406,0.516405,0.001370,0.516406,3
54,7,368,683,315,0.015148,0.015148,0.015148,0.000032,0.015148,0.507573,0.507573,0.507573,0.000000,0.507573,2
43,19,333,684,351,0.011062,0.011062,0.011062,0.000000,0.011062,0.505531,0.505531,0.505529,0.001434,0.505531,3
39,17,325,687,362,0.005667,0.005667,0.005667,0.000002,0.005667,0.502833,0.502833,0.502834,0.000000,0.502833,4
37,11,324,692,368,0.028704,0.028704,0.028704,0.000000,0.028704,0.514339,0.514339,0.514339,0.000000,0.514339,4
33,3,321,694,373,0.044419,0.044419,0.044419,0.000108,0.044419,0.522191,0.522191,0.522190,0.000000,0.522191,3
59,10,380,701,321,0.042407,0.042407,0.042407,0.000000,0.042407,0.521191,0.521191,0.521193,0.000000,0.521191,2
55,16,368,706,338,0.117734,0.117733,0.117733,0.000226,0.117734,0.558592,0.558592,0.558593,0.000000,0.558592,3
61,12,387,707,320,0.037149,0.037149,0.037149,0.000000,0.037149,0.518564,0.518564,0.518564,0.000000,0.518564,3
38,13,325,709,384,0.263197,0.263197,0.263198,0.000000,0.263197,0.628589,0.628589,0.628587,0.001945,0.628589,3
49,9,349,720,371,0.001929,0.001929,0.001929,0.000007,0.001929,0.500964,0.500964,0.500963,0.001683,0.500964,3
47,25,343,721,378,0.070366,0.070366,0.070366,0.000000,0.070366,0.535125,0.535125,0.535126,0.000299,0.535125,4
51,30,352,724,372,0.073745,0.073745,0.073746,0.000000,0.073745,0.536806,0.536806,0.536805,0.001592,0.536806,3
56,6,369,726,357,0.045014,0.045014,0.045014,0.000072,0.045014,0.522486,0.522486,0.522487,0.000000,0.522486,4
60,23,383,733,350,0.100846,0.100846,0.100846,0.000322,0.100846,0.550252,0.550252,0.550251,0.001359,0.550252,3
57,22,372,736,364,0.029076,0.029076,0.029077,0.000000,0.029076,0.514526,0.514526,0.514526,0.000546,0.514526,3
52,18,359,769,410,0.271661,0.271661,0.271660,0.000465,0.271661,0.631394,0.631394,0.631394,0.000000,0.631394,4
58,14,373,799,426,0.302783,0.302783,0.302782,0.000800,0.302783,0.625010,0.625010,0.625012,0.000000,0.625010,3
62,4,449,839,390,0.070039,0.070039,0.070038,0.000243,0.070039,0.533950,0.533950,0.533951,0.000000,0.533950,4
40,20,325,896,571,0.824849,0.824848,0.824853,0.000000,0.824849,0.816247,0.816247,0.816252,0.000000,0.816247,6
63,15,591,955,364,0.009837,0.009837,0.009837,0.000031,0.009837,0.504919,0.504918,0.504918,0.001245,0.504919,2
