life_id,agent_id,birth_step,death_step,lifetime_steps,c_score_birth,c_score_firstk,avg_c_score_tick,c_score_std_over_life,avg_c_score_attack,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
3,3,0,187,187,0.068165,0.068165,0.068165,0.000078,0.068165,0.534030,0.534030,0.534029,0.000772,0.534030,2
4,4,0,187,187,0.032702,0.032702,0.032702,0.000000,0.032702,0.516345,0.516345,0.516345,0.001036,0.516345,2
5,5,0,187,187,0.037141,0.037141,0.037141,0.000079,0.037141,0.518544,0.518544,0.518545,0.000000,0.518544,2
6,6,0,187,187,0.006286,0.006286,0.006286,0.000000,0.006286,0.503143,0.503143,0.503143,0.000000,0.503143,2
11,11,0,187,187,0.017520,0.017520,0.017520,0.000028,0.017520,0.508759,0.508759,0.508759,0.000000,0.508759,2
12,12,0,187,187,0.000003,0.000003,0.000003,0.000000,0.000003,0.500001,0.500001,0.500001,0.000732,0.500001,2
16,16,0,187,187,0.000170,0.000170,0.000170,0.000000,0.000170,0.500085,0.500085,0.500084,0.000386,0.500085,2
18,18,0,187,187,0.057272,0.057272,0.057272,0.000000,0.057272,0.528602,0.528602,0.528602,0.000000,0.528602,2
20,20,0,187,187,0.209584,0.209583,0.209583,0.000323,0.209584,0.603044,0.603044,0.603043,0.001292,0.603044,2
28,28,0,187,187,0.003434,0.003434,0.003434,0.000003,0.003434,0.501717,0.501717,0.501717,0.000752,0.501717,2
23,23,0,190,190,0.024292,0.024292,0.024292,0.000063,0.024292,0.512136,0.512136,0.512136,0.000000,0.512136,1
8,8,0,191,191,0.061840,0.061840,0.061840,0.000000,0.061840,0.530881,0.530881,0.530882,0.000000,0.530881,2
21,21,0,195,195,0.022382,0.022382,0.022382,0.000030,0.022382,0.511189,0.511189,0.511190,0.000000,0.511189,2
14,14,0,199,199,0.097935,0.097935,0.097935,0.000075,0.097935,0.548764,0.548764,0.548765,0.000000,0.548764,2
1,1,0,205,205,0.302566,0.302566,0.302566,0.000000,0.302566,0.643185,0.643185,0.643187,0.000000,0.643185,2
