life_id,agent_id,birth_step,death_step,lifetime_steps,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
30,30,0,275,275,0.507471,0.507471,0.507470,0.000863,0.507471,2
6,6,0,316,316,0.500012,0.500012,0.500014,0.000000,0.500012,3
24,24,0,316,316,0.500002,0.500002,0.500001,0.001078,0.500002,3
9,9,0,317,317,0.502250,0.502250,0.502249,0.001145,0.502250,3
25,25,0,323,323,0.523507,0.523507,0.523508,0.000000,0.523507,2
10,10,0,324,324,0.527210,0.527210,0.527208,0.001827,0.527210,3
17,17,0,324,324,0.509211,0.509211,0.509212,0.000000,0.509211,3
20,20,0,324,324,0.501927,0.501927,0.501927,0.000000,0.501927,3
14,14,0,330,330,0.549160,0.549160,0.549160,0.000000,0.549160,3
31,31,0,331,331,0.552400,0.552400,0.552399,0.000810,0.552400,2
26,26,0,336,336,0.521604,0.521604,0.521605,0.000000,0.521604,3
5,5,0,340,340,0.534636,0.534636,0.534637,0.000000,0.534636,3
1,1,0,363,363,0.510361,0.510361,0.510361,0.000000,0.510361,3
4,4,0,365,365,0.515567,0.515567,0.515565,0.001078,0.515567,3
2,2,0,367,367,0.514986,0.514986,0.514984,0.001413,0.514986,4
21,21,0,367,367,0.500000,0.500000,0.500000,0.000000,0.500000,4
11,11,0,372,372,0.502260,0.502260,0.502259,0.001184,0.502260,4
12,12,0,373,373,0.535432,0.535432,0.535431,0.001619,0.535432,3
23,23,0,374,374,0.537483,0.537483,0.537480,0.001392,0.537483,4
16,16,0,378,378,0.500032,0.500032,0.500031,0.000488,0.500032,3
15,15,0,379,379,0.500001,0.500001,0.500000,0.000299,0.500001,4
19,19,0,379,379,0.552646,0.552646,0.552644,0.001718,0.552646,4
18,18,0,382,382,0.505145,0.505144,0.505143,0.001573,0.505145,4
0,0,0,407,407,0.600760,0.600760,0.600758,0.001221,0.600760,4
8,8,0,417,417,0.653669,0.653669,0.653670,0.000000,0.653669,3
29,29,0,417,417,0.514486,0.514486,0.514484,0.000810,0.514486,4
22,22,0,425,425,0.506138,0.506138,0.506137,0.000000,0.506138,4
7,7,0,428,428,0.517174,0.517174,0.517177,0.000000,0.517174,4
13,13,0,436,436,0.571347,0.571347,0.571349,0.000000,0.571347,5
3,3,0,440,440,0.543665,0.543665,0.543667,0.000000,0.543665,4
27,27,0,462,462,0.627674,0.627673,0.627673,0.000000,0.627674,4
28,28,0,539,539,0.665033,0.665033,0.665036,0.000000,0.665033,5
32,30,276,635,359,0.500000,0.500000,0.500000,0.000000,0.500000,4
34,24,317,638,321,0.518173,0.518173,0.518173,0.000000,0.518173,3
43,5,341,657,316,0.500000,0.500000,0.500000,0.000000,0.500000,3
42,26,337,665,328,0.541296,0.541296,0.541295,0.000669,0.541296,3
