life_id,agent_id,birth_step,death_step,lifetime_steps,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
5,5,0,179,179,0.500000,0.500000,0.500000,0.000000,0.500000,179
8,8,0,179,179,0.525703,0.525703,0.525703,0.000000,0.525703,179
10,10,0,179,179,0.528193,0.528193,0.528193,0.000622,0.528193,179
11,11,0,179,179,0.545595,0.545595,0.545595,0.000961,0.545595,179
13,13,0,179,179,0.512385,0.512385,0.512385,0.000772,0.512385,179
18,18,0,179,179,0.519237,0.519237,0.519236,0.001021,0.519236,179
21,21,0,179,179,0.542777,0.542777,0.542777,0.000000,0.542777,179
28,28,0,179,179,0.540319,0.540319,0.540319,0.000488,0.540319,179
30,30,0,179,179,0.539780,0.539780,0.539780,0.000752,0.539780,179
12,12,0,181,181,0.518908,0.518908,0.518908,0.000244,0.518908,181
23,23,0,183,183,0.516410,0.516410,0.516411,0.000000,0.516411,183
26,26,0,183,183,0.539277,0.539277,0.539276,0.001036,0.539276,183
2,2,0,185,185,0.673294,0.673294,0.673294,0.000000,0.673294,185
25,25,0,190,190,0.525702,0.525702,0.525703,0.000000,0.525703,190
6,6,0,191,191,0.500000,0.500000,0.500000,0.000000,0.500000,191
27,27,0,195,195,0.507599,0.507599,0.507599,0.000000,0.507599,195
0,0,0,199,199,0.518283,0.518283,0.518282,0.000691,0.518282,199
15,15,0,205,205,0.503200,0.503200,0.503199,0.000423,0.503199,205
17,17,0,205,205,0.513654,0.513654,0.513655,0.000000,0.513655,205
3,3,0,215,215,0.500000,0.500000,0.500000,0.000000,0.500000,215
9,9,0,219,219,0.517408,0.517408,0.517409,0.000000,0.517409,219
22,22,0,219,219,0.547673,0.547673,0.547674,0.000000,0.547674,219
16,16,0,226,226,0.507412,0.507412,0.507414,0.000000,0.507414,226
1,1,0,229,229,0.500000,0.500000,0.500000,0.000000,0.500000,229
7,7,0,230,230,0.618446,0.618446,0.618446,0.001132,0.618446,230
20,20,0,230,230,0.514457,0.514457,0.514458,0.000244,0.514458,230
24,24,0,230,230,0.513601,0.513601,0.513602,0.000000,0.513602,230
29,29,0,230,230,0.521811,0.521811,0.521812,0.000000,0.521812,230
4,4,0,238,238,0.529768,0.529768,0.529769,0.000000,0.529769,238
31,31,0,238,238,0.843279,0.843279,0.843278,0.001674,0.843278,238
14,14,0,240,240,0.605535,0.605535,0.605535,0.000810,0.605535,240
19,19,0,242,242,0.536951,0.536951,0.536951,0.000000,0.536951,242
36,13,180,359,179,0.564016,0.564016,0.564016,0.000000,0.564016,179
40,30,180,359,179,0.506860,0.506860,0.506859,0.001021,0.506859,179
42,23,184,363,179,0.517734,0.517734,0.517733,0.000000,0.517733,179
43,26,184,363,179,0.500051,0.500051,0.500051,0.000000,0.500051,179
35,11,180,369,189,0.525827,0.525827,0.525826,0.000573,0.525826,189
33,8,180,371,191,0.516129,0.516129,0.516129,0.000000,0.516129,191
45,25,191,374,183,0.518689,0.518689,0.518690,0.000000,0.518690,183
49,15,206,385,179,0.509703,0.509704,0.509704,0.000000,0.509704,179
41,12,182,389,207,0.541965,0.541965,0.541964,0.001455,0.541964,207
32,5,180,390,210,0.567938,0.567938,0.567939,0.000000,0.567939,210
39,28,180,392,212,0.505181,0.505181,0.505180,0.000772,0.505180,212
51,3,216,396,180,0.503809,0.503809,0.503808,0.001064,0.503808,180
34,10,180,399,219,0.516155,0.516155,0.516157,0.000000,0.516157,219
53,22,220,399,179,0.662072,0.662072,0.662072,0.000732,0.662072,179
48,0,200,403,203,0.520299,0.520299,0.520300,0.000000,0.520300,203
37,18,180,413,233,0.662532,0.662533,0.662532,0.001050,0.662532,233
58,24,231,414,183,0.553677,0.553677,0.553678,0.000000,0.553678,183
50,17,206,415,209,0.802668,0.802668,0.802669,0.000598,0.802669,209
60,4,239,418,179,0.538886,0.538886,0.538887,0.000000,0.538887,179
38,21,180,420,240,0.589799,0.589799,0.589798,0.000712,0.589798,240
44,2,186,422,236,0.520296,0.520296,0.520296,0.001196,0.520296,236
55,1,230,422,192,0.523554,0.523554,0.523554,0.000546,0.523554,192
47,27,196,426,230,0.544470,0.544470,0.544471,0.000000,0.544471,230
46,6,192,431,239,0.687137,0.687138,0.687135,0.001930,0.687135,239
54,16,227,434,207,0.533374,0.533374,0.533373,0.001171,0.533373,207
52,9,220,437,217,0.522894,0.522894,0.522895,0.000000,0.522895,217
56,7,231,443,212,0.555868,0.555868,0.555870,0.000000,0.555870,212
61,31,239,457,218,0.518249,0.518249,0.518249,0.000000,0.518249,218
62,14,241,458,217,0.500001,0.500001,0.500000,0.000386,0.500000,217
59,29,231,462,231,0.500000,0.500000,0.500000,0.000000,0.500000,231
57,20,231,470,239,0.500042,0.500042,0.500044,0.000000,0.500044,239
63,19,243,479,236,0.541112,0.541112,0.541113,0.000000,0.541113,236
65,30,360,539,179,0.529848,0.529848,0.529847,0.001092,0.529847,179
67,26,364,543,179,0.539970,0.539970,0.539970,0.000646,0.539970,179
69,8,372,551,179,0.510781,0.510781,0.510781,0.000913,0.510781,179
70,25,375,554,179,0.500000,0.500000,0.500000,0.000000,0.500000,179
72,12,390,569,179,0.518295,0.518294,0.518295,0.000000,0.518295,179
