condition,seed,n_deaths,pearson_r_firstk,pearson_p_firstk,spearman_rho_firstk,spearman_p_firstk,logrank_p_firstk,logrank_p_firstk_q25q75,median_high_firstk,median_low_firstk,pearson_r_birth,pearson_p_birth,spearman_rho_birth,spearman_p_birth,pearson_r_attack,pearson_p_attack,spearman_rho_attack,spearman_p_attack,n_attack_lives
baseline,12648460,200,0.478403,0.000999,0.259383,0.000999,0.001998,0.000999,349.000,337.000,0.478403,0.000999,0.259383,0.000999,0.478403,0.000999,0.259383,0.000999,200
baseline,12648461,200,0.663015,0.000999,0.427763,0.000999,0.000999,0.000999,349.000,329.500,0.663015,0.000999,0.427763,0.000999,0.663015,0.000999,0.427763,0.000999,200
baseline,12648462,200,0.748471,0.000999,0.398910,0.000999,0.000999,0.000999,347.500,328.000,0.748471,0.000999,0.398910,0.000999,0.748472,0.000999,0.398910,0.000999,200
baseline,12648463,200,0.609240,0.000999,0.369501,0.000999,0.000999,0.000999,350.000,333.500,0.609240,0.000999,0.369501,0.000999,0.609240,0.000999,0.369501,0.000999,200
baseline,12648464,200,0.668842,0.000999,0.376152,0.000999,0.000999,0.000999,348.500,335.000,0.668842,0.000999,0.376152,0.000999,0.668842,0.000999,0.376152,0.000999,200
baseline,12648465,200,0.844699,0.000999,0.420815,0.000999,0.000999,0.000999,350.000,330.000,0.844699,0.000999,0.420815,0.000999,0.844699,0.000999,0.420815,0.000999,200
baseline,12648466,200,0.790252,0.000999,0.452288,0.000999,0.000999,0.000999,346.500,328.500,0.790252,0.000999,0.452288,0.000999,0.790252,0.000999,0.452288,0.000999,200
baseline,12648467,200,0.680592,0.000999,0.426133,0.000999,0.000999,0.000999,348.000,330.000,0.680592,0.000999,0.426133,0.000999,0.680592,0.000999,0.426133,0.000999,200
baseline,12648468,200,0.684079,0.000999,0.506709,0.000999,0.000999,0.000999,351.000,327.500,0.684079,0.000999,0.506709,0.000999,0.684079,0.000999,0.506709,0.000999,200
baseline,12648469,200,0.886377,0.000999,0.401313,0.000999,0.000999,0.000999,351.500,335.500,0.886377,0.000999,0.401313,0.000999,0.886377,0.000999,0.401313,0.000999,200
baseline,12648470,200,0.629330,0.000999,0.399344,0.000999,0.000999,0.000999,347.500,332.000,0.629330,0.000999,0.399344,0.000999,0.629330,0.000999,0.399344,0.000999,200
baseline,12648471,200,0.669073,0.000999,0.387790,0.000999,0.000999,0.000999,347.500,329.500,0.669073,0.000999,0.387790,0.000999,0.669073,0.000999,0.387790,0.000999,200
baseline,12648472,200,0.815336,0.000999,0.329880,0.000999,0.000999,0.000999,348.000,332.000,0.815336,0.000999,0.329880,0.000999,0.815336,0.000999,0.329880,0.000999,200
baseline,12648473,200,0.788102,0.000999,0.457833,0.000999,0.000999,0.000999,346.000,325.000,0.788102,0.000999,0.457833,0.000999,0.788102,0.000999,0.457833,0.000999,200
baseline,12648474,201,0.658590,0.000999,0.275866,0.000999,0.001998,0.001998,341.000,338.000,0.658589,0.000999,0.275866,0.000999,0.658589,0.000999,0.275866,0.000999,201
baseline,12648475,200,0.538194,0.000999,0.293905,0.000999,0.000999,0.001998,348.000,335.000,0.538194,0.000999,0.293905,0.000999,0.538194,0.000999,0.293905,0.000999,200
baseline,12648476,200,0.731257,0.000999,0.414823,0.000999,0.000999,0.000999,350.000,331.000,0.731257,0.000999,0.414823,0.000999,0.731257,0.000999,0.414823,0.000999,200
baseline,12648477,200,0.823918,0.000999,0.550611,0.000999,0.000999,0.000999,361.500,330.000,0.823918,0.000999,0.550611,0.000999,0.823918,0.000999,0.550611,0.000999,200
baseline,12648478,200,0.786603,0.000999,0.431605,0.000999,0.000999,0.000999,351.000,331.500,0.786604,0.000999,0.431605,0.000999,0.786604,0.000999,0.431605,0.000999,200
baseline,12648479,200,0.748048,0.000999,0.392364,0.000999,0.000999,0.000999,350.000,331.000,0.748048,0.000999,0.392364,0.000999,0.748048,0.000999,0.392364,0.000999,200
norecharge,12648460,201,0.008801,0.910090,-0.051292,0.480519,0.999001,0.837163,205.000,214.000,0.008801,0.900100,-0.051292,0.476523,0.000682,0.993007,-0.074813,0.269730,196
norecharge,12648461,201,-0.059188,0.388611,-0.085577,0.214785,0.057942,0.334665,211.000,209.500,-0.059187,0.407592,-0.085577,0.231768,-0.069086,0.324675,-0.102137,0.165834,196
norecharge,12648462,201,0.011176,0.865135,0.012004,0.860140,0.976024,0.886114,211.000,209.500,0.011176,0.880120,0.012004,0.883117,0.013631,0.873127,0.031321,0.666334,196
norecharge,12648463,201,0.029739,0.669331,0.028712,0.680320,0.859141,0.325674,211.000,208.000,0.029739,0.697303,0.028712,0.691309,0.000672,0.994006,0.015339,0.853147,196
norecharge,12648464,201,-0.040528,0.561439,0.073085,0.302697,0.964036,0.142857,213.000,205.000,-0.040528,0.563437,0.073195,0.303696,-0.039132,0.588412,0.073915,0.291708,196
norecharge,12648465,201,-0.069120,0.349650,-0.120548,0.082917,0.025974,0.890110,202.000,214.500,-0.069120,0.317682,-0.120548,0.099900,-0.029701,0.686314,-0.096121,0.174825,196
norecharge,12648466,201,0.136569,0.036963,0.064355,0.369630,0.549451,0.118881,213.000,208.000,0.136569,0.039960,0.064355,0.367632,0.123087,0.084915,0.061336,0.373626,196
norecharge,12648467,201,0.018627,0.800200,0.013160,0.847153,0.367632,0.669331,209.000,211.000,0.018627,0.807193,0.013160,0.848152,0.050128,0.480519,0.030888,0.684316,196
norecharge,12648468,201,-0.052401,0.494505,-0.060996,0.388611,0.916084,0.702298,211.000,208.000,-0.052401,0.496504,-0.060996,0.378621,-0.053441,0.486513,-0.052979,0.487512,196
norecharge,12648469,201,-0.068009,0.339660,-0.005128,0.946054,0.919081,0.949051,211.000,208.000,-0.068009,0.328671,-0.005128,0.941059,-0.076901,0.283716,-0.022007,0.764236,196
norecharge,12648470,201,0.012795,0.853147,-0.002051,0.980020,0.694306,0.688312,207.000,210.500,0.012795,0.862138,-0.002051,0.979021,0.011965,0.877123,-0.001453,0.984016,196
norecharge,12648471,201,0.024964,0.726274,0.006480,0.930070,0.970030,0.848152,211.000,208.000,0.024964,0.714286,0.006480,0.919081,0.017280,0.817183,-0.005946,0.940060,196
norecharge,12648472,201,0.080681,0.256743,-0.020615,0.768232,0.733267,0.993007,207.000,212.500,0.080681,0.262737,-0.020615,0.767233,0.131808,0.078921,-0.016690,0.841159,196
norecharge,12648473,201,0.086421,0.242757,-0.024789,0.739261,0.991009,0.633367,207.000,211.000,0.086421,0.232767,-0.024789,0.705295,0.071952,0.338661,-0.039680,0.599401,196
norecharge,12648474,201,-0.082747,0.225774,-0.105830,0.123876,0.062937,0.768232,205.000,211.500,-0.082747,0.238761,-0.105830,0.137862,-0.091288,0.206793,-0.104727,0.128871,196
norecharge,12648475,201,0.017643,0.796204,0.007899,0.910090,0.935065,0.963037,212.000,207.000,0.017643,0.819181,0.007899,0.904096,0.004872,0.960040,-0.023432,0.749251,196
norecharge,12648476,201,0.077440,0.283716,0.028752,0.683317,0.486513,0.823177,211.000,208.000,0.077440,0.308691,0.028752,0.690310,0.081787,0.275724,0.053757,0.452547,196
norecharge,12648477,201,-0.091394,0.208791,-0.015136,0.823177,0.924076,0.685315,209.000,211.000,-0.091394,0.186813,-0.015136,0.839161,-0.099398,0.170829,-0.033496,0.622378,196
norecharge,12648478,201,0.063957,0.375624,0.097891,0.172827,0.275724,0.812188,215.000,205.000,0.063957,0.372627,0.097891,0.188811,0.062797,0.380619,0.102679,0.156843,196
norecharge,12648479,201,-0.105329,0.138861,-0.056485,0.407592,0.152847,0.722278,210.000,210.000,-0.105330,0.112887,-0.056485,0.404595,-0.119922,0.099900,-0.083375,0.229770,196
