mirror_weight,root_affinity_mean,root_affinity_ci_lo,root_affinity_ci_hi,overtone_affinity_mean,overtone_affinity_ci_lo,overtone_affinity_ci_hi,binding_strength_mean,binding_strength_ci_lo,binding_strength_ci_hi,harmonic_tilt_mean,harmonic_tilt_ci_lo,harmonic_tilt_ci_hi,n_seeds,env_partials,env_partial_decay
0.000,0.388176,0.385930,0.390318,0.366120,0.362210,0.369908,0.754297,0.748301,0.760064,0.029240,0.026262,0.032527,20,1,1.000000
0.100,0.388570,0.385920,0.391310,0.366415,0.362269,0.370569,0.754984,0.748283,0.761626,0.029345,0.026709,0.032253,20,1,1.000000
0.200,0.389205,0.387155,0.391433,0.368451,0.365123,0.371757,0.757656,0.752497,0.763019,0.027392,0.024960,0.030083,20,1,1.000000
0.300,0.388722,0.386445,0.391077,0.368152,0.365268,0.371313,0.756874,0.751889,0.762273,0.027178,0.024890,0.029400,20,1,1.000000
0.400,0.390420,0.388301,0.392653,0.370982,0.367450,0.374408,0.761402,0.756148,0.766997,0.025530,0.023072,0.028205,20,1,1.000000
0.500,0.390232,0.388006,0.392793,0.370573,0.366972,0.374343,0.760805,0.755016,0.766939,0.025840,0.023495,0.028318,20,1,1.000000
0.600,0.389536,0.387496,0.391808,0.370230,0.366864,0.373566,0.759766,0.754566,0.764981,0.025410,0.022937,0.027992,20,1,1.000000
0.700,0.389061,0.386959,0.391386,0.369092,0.365945,0.372517,0.758153,0.753020,0.763568,0.026339,0.024177,0.028500,20,1,1.000000
0.800,0.390724,0.388305,0.393403,0.371992,0.368246,0.375928,0.762716,0.756736,0.768821,0.024560,0.022002,0.027107,20,1,1.000000
0.900,0.390744,0.388025,0.393577,0.372473,0.368700,0.376267,0.763217,0.756816,0.769754,0.023939,0.021409,0.026585,20,1,1.000000
1.000,0.389999,0.387152,0.393021,0.371507,0.367480,0.375717,0.761507,0.754819,0.768547,0.024283,0.021607,0.027040,20,1,1.000000
