mirror_weight,seed,root_affinity,overtone_affinity,binding_strength,harmonic_tilt
0.000,12648440,0.393404,0.370868,0.764273,0.029487
0.000,12648441,0.389434,0.368361,0.757796,0.027808
0.000,12648442,0.390346,0.364672,0.755018,0.034005
0.000,12648443,0.386684,0.367556,0.754240,0.025362
0.000,12648444,0.384744,0.367362,0.752106,0.023111
0.000,12648445,0.391793,0.372398,0.764191,0.025379
0.000,12648446,0.395108,0.383160,0.778269,0.015352
0.000,12648447,0.394913,0.377154,0.772067,0.023001
0.000,12648448,0.381926,0.353947,0.735873,0.038021
0.000,12648449,0.388548,0.362314,0.750862,0.034938
0.000,12648450,0.390027,0.375546,0.765573,0.018915
0.000,12648451,0.390957,0.367566,0.758523,0.030838
0.000,12648452,0.385386,0.360607,0.745994,0.033216
0.000,12648453,0.379145,0.357655,0.736800,0.029166
0.000,12648454,0.391069,0.363581,0.754650,0.036425
0.000,12648455,0.382927,0.355228,0.738156,0.037525
0.000,12648456,0.388129,0.359337,0.747466,0.038520
0.000,12648457,0.376824,0.347012,0.723836,0.041185
0.000,12648458,0.387252,0.370177,0.757429,0.022543
0.000,12648459,0.394911,0.377907,0.772817,0.022002
0.100,12648440,0.396823,0.374394,0.771217,0.029083
0.100,12648441,0.383092,0.362421,0.745513,0.027727
0.100,12648442,0.389817,0.364332,0.754149,0.033793
0.100,12648443,0.386949,0.370108,0.757057,0.022246
0.100,12648444,0.388550,0.369430,0.757980,0.025224
0.100,12648445,0.391145,0.372058,0.763204,0.025009
0.100,12648446,0.389556,0.371999,0.761555,0.023054
0.100,12648447,0.396020,0.377333,0.773353,0.024164
0.100,12648448,0.384458,0.356830,0.741288,0.037270
0.100,12648449,0.387181,0.361169,0.748349,0.034759
0.100,12648450,0.386823,0.368301,0.755124,0.024529
0.100,12648451,0.399730,0.379519,0.779249,0.025937
0.100,12648452,0.385285,0.360467,0.745752,0.033279
0.100,12648453,0.379144,0.356024,0.735168,0.031449
0.100,12648454,0.389218,0.365125,0.754343,0.031939
0.100,12648455,0.383874,0.354902,0.738776,0.039215
0.100,12648456,0.388775,0.361003,0.749778,0.037040
0.100,12648457,0.374920,0.344057,0.718976,0.042926
0.100,12648458,0.389090,0.372902,0.761992,0.021245
0.100,12648459,0.400941,0.385923,0.786863,0.019086
0.200,12648440,0.398451,0.378939,0.777390,0.025099
0.200,12648441,0.386099,0.369055,0.755153,0.022570
0.200,12648442,0.391851,0.367789,0.759641,0.031676
0.200,12648443,0.382928,0.367574,0.750502,0.020457
0.200,12648444,0.389170,0.370925,0.760095,0.024004
0.200,12648445,0.388615,0.367920,0.756536,0.027355
0.200,12648446,0.384627,0.367639,0.752267,0.022583
0.200,12648447,0.392019,0.370934,0.762954,0.027636
0.200,12648448,0.382450,0.354331,0.736780,0.038164
0.200,12648449,0.385128,0.359900,0.745028,0.033862
0.200,12648450,0.386470,0.369046,0.755516,0.023064
0.200,12648451,0.400311,0.381291,0.781602,0.024335
0.200,12648452,0.384548,0.357979,0.742527,0.035782
0.200,12648453,0.385754,0.364546,0.750300,0.028267
0.200,12648454,0.389778,0.366740,0.756517,0.030452
0.200,12648455,0.391880,0.373709,0.765589,0.023734
0.200,12648456,0.389207,0.364771,0.753978,0.032409
0.200,12648457,0.385085,0.357181,0.742266,0.037592
0.200,12648458,0.395471,0.381743,0.777214,0.017663
0.200,12648459,0.394249,0.377009,0.771258,0.022353
0.300,12648440,0.398045,0.377929,0.775975,0.025924
0.300,12648441,0.381674,0.360467,0.742141,0.028575
0.300,12648442,0.388212,0.361956,0.750168,0.035000
0.300,12648443,0.382808,0.367949,0.750757,0.019792
0.300,12648444,0.387252,0.368522,0.755773,0.024783
0.300,12648445,0.389899,0.368906,0.758805,0.027666
0.300,12648446,0.383372,0.367622,0.750994,0.020973
0.300,12648447,0.388887,0.366771,0.755657,0.029267
0.300,12648448,0.382791,0.356339,0.739130,0.035787
0.300,12648449,0.385057,0.361086,0.746143,0.032126
0.300,12648450,0.384252,0.366990,0.751242,0.022977
0.300,12648451,0.397584,0.375309,0.772894,0.028820
0.300,12648452,0.384012,0.359203,0.743215,0.033381
0.300,12648453,0.384333,0.364680,0.749014,0.026239
0.300,12648454,0.390186,0.367142,0.757328,0.030428
0.300,12648455,0.393268,0.375965,0.769233,0.022494
0.300,12648456,0.389362,0.367028,0.756391,0.029527
0.300,12648457,0.389433,0.364816,0.754249,0.032638
0.300,12648458,0.397648,0.384377,0.782025,0.016970
0.300,12648459,0.396372,0.379984,0.776357,0.021109
0.400,12648440,0.402152,0.385739,0.787890,0.020831
0.400,12648441,0.394548,0.377163,0.771711,0.022528
0.400,12648442,0.387836,0.360577,0.748413,0.036422
0.400,12648443,0.388723,0.376022,0.764745,0.016609
0.400,12648444,0.389318,0.372268,0.761586,0.022388
0.400,12648445,0.391018,0.372952,0.763970,0.023648
0.400,12648446,0.391193,0.378126,0.769318,0.016985
0.400,12648447,0.390750,0.370211,0.760961,0.026992
0.400,12648448,0.382576,0.356319,0.738896,0.035535
0.400,12648449,0.385058,0.361510,0.746568,0.031542
0.400,12648450,0.382998,0.364075,0.747073,0.025330
0.400,12648451,0.397584,0.375309,0.772894,0.028820
0.400,12648452,0.385709,0.362601,0.748311,0.030880
0.400,12648453,0.387444,0.368577,0.756021,0.024956
0.400,12648454,0.388446,0.368313,0.756759,0.026605
0.400,12648455,0.390906,0.372575,0.763481,0.024009
0.400,12648456,0.391495,0.369164,0.760658,0.029357
0.400,12648457,0.387475,0.362900,0.750376,0.032751
0.400,12648458,0.397126,0.384875,0.782002,0.015666
0.400,12648459,0.396050,0.380363,0.776413,0.020204
0.500,12648440,0.402334,0.385748,0.788082,0.021046
0.500,12648441,0.390659,0.370988,0.761646,0.025827
0.500,12648442,0.388148,0.362329,0.750477,0.034403
0.500,12648443,0.392885,0.380198,0.773083,0.016410
0.500,12648444,0.389480,0.369167,0.758647,0.026774
0.500,12648445,0.388643,0.369767,0.758410,0.024889
0.500,12648446,0.392116,0.379433,0.771550,0.016438
0.500,12648447,0.391759,0.371076,0.762835,0.027113
0.500,12648448,0.382904,0.357896,0.740800,0.033759
