env_partials,env_partial_decay,mirror_weight,seed,harmonic_tilt
3,0.600000,0.000,12648440,0.033054
3,0.600000,0.000,12648441,0.039582
3,0.600000,0.000,12648442,0.038263
3,0.600000,0.000,12648443,0.038686
3,0.600000,0.000,12648444,0.033643
3,0.600000,0.000,12648445,0.037796
3,0.600000,0.000,12648446,0.030226
3,0.600000,0.000,12648447,0.029432
3,0.600000,0.000,12648448,0.041648
3,0.600000,0.000,12648449,0.041285
3,0.600000,0.000,12648450,0.031453
3,0.600000,0.000,12648451,0.037036
3,0.600000,0.000,12648452,0.044971
3,0.600000,0.000,12648453,0.033686
3,0.600000,0.000,12648454,0.044295
3,0.600000,0.000,12648455,0.036906
3,0.600000,0.000,12648456,0.041695
3,0.600000,0.000,12648457,0.045877
3,0.600000,0.000,12648458,0.030715
3,0.600000,0.000,12648459,0.034934
3,0.600000,0.100,12648440,0.031479
3,0.600000,0.100,12648441,0.040269
3,0.600000,0.100,12648442,0.035282
3,0.600000,0.100,12648443,0.034833
3,0.600000,0.100,12648444,0.032932
3,0.600000,0.100,12648445,0.035686
3,0.600000,0.100,12648446,0.034046
3,0.600000,0.100,12648447,0.032814
3,0.600000,0.100,12648448,0.042145
3,0.600000,0.100,12648449,0.040034
3,0.600000,0.100,12648450,0.037409
3,0.600000,0.100,12648451,0.034431
3,0.600000,0.100,12648452,0.042897
3,0.600000,0.100,12648453,0.036555
3,0.600000,0.100,12648454,0.039897
3,0.600000,0.100,12648455,0.039119
3,0.600000,0.100,12648456,0.037258
3,0.600000,0.100,12648457,0.042623
3,0.600000,0.100,12648458,0.029953
3,0.600000,0.100,12648459,0.030663
3,0.600000,0.200,12648440,0.025358
3,0.600000,0.200,12648441,0.033301
3,0.600000,0.200,12648442,0.033662
3,0.600000,0.200,12648443,0.033458
3,0.600000,0.200,12648444,0.032022
3,0.600000,0.200,12648445,0.040597
3,0.600000,0.200,12648446,0.037773
3,0.600000,0.200,12648447,0.037460
3,0.600000,0.200,12648448,0.043518
3,0.600000,0.200,12648449,0.040464
3,0.600000,0.200,12648450,0.034572
3,0.600000,0.200,12648451,0.032301
3,0.600000,0.200,12648452,0.042388
3,0.600000,0.200,12648453,0.031239
3,0.600000,0.200,12648454,0.041335
3,0.600000,0.200,12648455,0.028110
