env_partials,env_partial_decay,mirror_weight,harmonic_tilt_mean,harmonic_tilt_ci_lo,harmonic_tilt_ci_hi,n_seeds
3,0.600000,0.000,0.037259,0.035167,0.039413,20
3,0.600000,0.100,0.036516,0.034813,0.038160,20
3,0.600000,0.200,0.035145,0.032970,0.037256,20
3,0.600000,0.300,0.034682,0.032446,0.036882,20
3,0.600000,0.400,0.033724,0.031838,0.035591,20
3,0.600000,0.500,0.034650,0.032807,0.036471,20
3,0.600000,0.600,0.034041,0.032159,0.036015,20
3,0.600000,0.700,0.035027,0.033638,0.036624,20
3,0.600000,0.800,0.032237,0.030530,0.034086,20
3,0.600000,0.900,0.031790,0.029718,0.033880,20
3,0.600000,1.000,0.032830,0.030658,0.034855,20
3,1.000000,0.000,0.038345,0.036186,0.040515,20
3,1.000000,0.100,0.037622,0.035853,0.039384,20
3,1.000000,0.200,0.036131,0.033933,0.038397,20
3,1.000000,0.300,0.035687,0.033379,0.037933,20
3,1.000000,0.400,0.034661,0.032716,0.036557,20
3,1.000000,0.500,0.035585,0.033630,0.037482,20
3,1.000000,0.600,0.034983,0.033060,0.036971,20
3,1.000000,0.700,0.035994,0.034542,0.037512,20
3,1.000000,0.800,0.033101,0.031285,0.035083,20
3,1.000000,0.900,0.032626,0.030483,0.034705,20
3,1.000000,1.000,0.033700,0.031344,0.035779,20
3,1.400000,0.000,0.038734,0.036472,0.041088,20
3,1.400000,0.100,0.038050,0.036203,0.039862,20
3,1.400000,0.200,0.036418,0.034161,0.038757,20
3,1.400000,0.300,0.035962,0.033467,0.038401,20
3,1.400000,0.400,0.034857,0.032726,0.037053,20
3,1.400000,0.500,0.035784,0.033802,0.037661,20
3,1.400000,0.600,0.035173,0.033208,0.037258,20
3,1.400000,0.700,0.036218,0.034762,0.037871,20
3,1.400000,0.800,0.033207,0.031392,0.035208,20
3,1.400000,0.900,0.032686,0.030543,0.034864,20
3,1.400000,1.000,0.033800,0.031380,0.036082,20
6,0.600000,0.000,0.035277,0.033576,0.037101,20
6,0.600000,0.100,0.034764,0.033470,0.036100,20
6,0.600000,0.200,0.033567,0.031914,0.035251,20
6,0.600000,0.300,0.033246,0.031423,0.035025,20
6,0.600000,0.400,0.032654,0.031069,0.034108,20
6,0.600000,0.500,0.033345,0.031909,0.034794,20
6,0.600000,0.600,0.032713,0.031222,0.034237,20
6,0.600000,0.700,0.033631,0.032460,0.034893,20
6,0.600000,0.800,0.031258,0.029827,0.032713,20
6,0.600000,0.900,0.030727,0.029060,0.032327,20
6,0.600000,1.000,0.031707,0.029874,0.033292,20
6,1.000000,0.000,0.037955,0.036097,0.039913,20
6,1.000000,0.100,0.037356,0.035912,0.038776,20
6,1.000000,0.200,0.036083,0.034185,0.037972,20
6,1.000000,0.300,0.035768,0.033748,0.037768,20
6,1.000000,0.400,0.035023,0.033380,0.036649,20
6,1.000000,0.500,0.035786,0.034231,0.037393,20
6,1.000000,0.600,0.035193,0.033612,0.036883,20
6,1.000000,0.700,0.036141,0.034921,0.037511,20
6,1.000000,0.800,0.033612,0.032156,0.035194,20
6,1.000000,0.900,0.033110,0.031258,0.034930,20
6,1.000000,1.000,0.034134,0.032283,0.035927,20
6,1.400000,0.000,0.039192,0.037203,0.041295,20
6,1.400000,0.100,0.038567,0.037028,0.040185,20
6,1.400000,0.200,0.037139,0.035082,0.039067,20
6,1.400000,0.300,0.036790,0.034626,0.038799,20
6,1.400000,0.400,0.035885,0.034067,0.037693,20
6,1.400000,0.500,0.036706,0.034959,0.038479,20
6,1.400000,0.600,0.036122,0.034401,0.038013,20
6,1.400000,0.700,0.037112,0.035825,0.038569,20
6,1.400000,0.800,0.034390,0.032747,0.036215,20
6,1.400000,0.900,0.033875,0.031926,0.035798,20
6,1.400000,1.000,0.034952,0.032827,0.036846,20
9,0.600000,0.000,0.034481,0.032768,0.036174,20
9,0.600000,0.100,0.034102,0.032853,0.035357,20
9,0.600000,0.200,0.032897,0.031181,0.034582,20
9,0.600000,0.300,0.032513,0.030696,0.034248,20
9,0.600000,0.400,0.031976,0.030476,0.033470,20
9,0.600000,0.500,0.032575,0.031222,0.033965,20
9,0.600000,0.600,0.031936,0.030434,0.033502,20
9,0.600000,0.700,0.032850,0.031740,0.034033,20
9,0.600000,0.800,0.030507,0.029088,0.031919,20
9,0.600000,0.900,0.029968,0.028304,0.031638,20
9,0.600000,1.000,0.030917,0.029276,0.032500,20
9,1.000000,0.000,0.037708,0.035866,0.039556,20
9,1.000000,0.100,0.037184,0.035839,0.038629,20
9,1.000000,0.200,0.035904,0.034085,0.037818,20
9,1.000000,0.300,0.035571,0.033607,0.037512,20
9,1.000000,0.400,0.034867,0.033338,0.036490,20
9,1.000000,0.500,0.035583,0.034029,0.037098,20
9,1.000000,0.600,0.034976,0.033367,0.036628,20
9,1.000000,0.700,0.035926,0.034718,0.037223,20
9,1.000000,0.800,0.033417,0.031984,0.035046,20
9,1.000000,0.900,0.032903,0.031123,0.034634,20
9,1.000000,1.000,0.033919,0.032078,0.035717,20
9,1.400000,0.000,0.039190,0.037195,0.041193,20
9,1.400000,0.100,0.038600,0.037035,0.040190,20
9,1.400000,0.200,0.037171,0.035111,0.039170,20
9,1.400000,0.300,0.036819,0.034625,0.038964,20
9,1.400000,0.400,0.035943,0.034240,0.037645,20
9,1.400000,0.500,0.036741,0.035078,0.038450,20
9,1.400000,0.600,0.036146,0.034473,0.037967,20
9,1.400000,0.700,0.037140,0.035807,0.038574,20
9,1.400000,0.800,0.034431,0.032849,0.036190,20
9,1.400000,0.900,0.033911,0.031944,0.035835,20
9,1.400000,1.000,0.034986,0.032930,0.036932,20
