direction,seed,weight,delta_t_soft
up,12648440,0.000,0.022139
up,12648440,0.100,0.231197
up,12648440,0.200,-0.976288
up,12648440,0.300,-0.975801
up,12648440,0.400,-0.208286
up,12648440,0.500,0.347741
up,12648440,0.600,-0.536581
up,12648440,0.700,0.933675
up,12648440,0.800,0.876742
up,12648440,0.900,0.494457
up,12648440,1.000,0.273998
down,12648440,0.000,-0.677406
down,12648440,0.100,0.007965
down,12648440,0.200,0.999596
down,12648440,0.300,0.644594
down,12648440,0.400,-0.557101
down,12648440,0.500,0.030838
down,12648440,0.600,0.595915
down,12648440,0.700,0.994712
down,12648440,0.800,0.998779
down,12648440,0.900,0.504059
down,12648440,1.000,0.216957
