direction,seed,weight,harmonic_tilt
up,12648440,0.000,0.007838
up,12648440,0.100,0.007765
up,12648440,0.200,0.028334
up,12648440,0.300,0.034175
up,12648440,0.400,0.034711
up,12648440,0.500,0.032706
up,12648440,0.600,0.027470
up,12648440,0.700,0.023621
up,12648440,0.800,0.028905
up,12648440,0.900,0.031879
up,12648440,1.000,0.028456
down,12648440,0.000,0.038984
down,12648440,0.100,0.031307
down,12648440,0.200,0.023548
down,12648440,0.300,0.033339
down,12648440,0.400,0.036688
down,12648440,0.500,0.033698
down,12648440,0.600,0.029876
down,12648440,0.700,0.028202
down,12648440,0.800,0.020141
down,12648440,0.900,0.006327
down,12648440,1.000,-0.001645
