condition,seed,agent,consonance,plv_final
vitality,15057153,0,0.042119,0.129280
vitality,15057153,1,0.085889,0.998268
vitality,15057153,2,0.009030,0.694694
vitality,15057153,3,0.050387,0.953185
vitality,15057153,4,0.087085,0.991014
vitality,15057153,5,0.040487,0.155527
vitality,15057153,6,0.000001,0.310727
vitality,15057153,7,0.024606,0.300811
vitality,15057153,8,0.006535,0.423852
vitality,15057153,9,0.046244,0.455580
vitality,15057153,10,0.033081,0.492207
vitality,15057153,11,0.026799,0.602278
vitality,15057153,12,0.034891,0.100406
vitality,15057153,13,0.020425,0.780654
vitality,15057153,14,0.000000,0.160380
vitality,15057153,15,0.069369,0.484834
vitality,15057153,16,0.398599,0.999994
vitality,15057153,17,0.002958,0.245631
vitality,15057153,18,0.029341,0.243689
vitality,15057153,19,0.033692,0.293494
vitality,15057153,20,0.150224,0.999992
vitality,15057153,21,0.002115,0.453099
vitality,15057153,22,0.658603,1.000004
vitality,15057153,23,0.022526,0.462655
vitality,15057153,24,0.026948,0.465779
vitality,15057153,25,0.073672,0.999995
vitality,15057153,26,0.032163,0.603691
vitality,15057153,27,0.007223,0.189756
vitality,15057153,28,0.021755,0.315755
vitality,15057153,29,0.055175,0.133872
vitality,15057153,30,0.039299,0.643719
vitality,15057153,31,0.008194,0.542907
uniform,15057153,0,0.042119,0.123792
uniform,15057153,1,0.085889,0.023687
uniform,15057153,2,0.009030,0.970967
uniform,15057153,3,0.050387,0.412176
uniform,15057153,4,0.087085,0.774478
uniform,15057153,5,0.040487,0.164868
uniform,15057153,6,0.000001,0.765676
uniform,15057153,7,0.024606,0.705622
uniform,15057153,8,0.006535,0.477202
uniform,15057153,9,0.046244,0.128140
uniform,15057153,10,0.033081,0.235928
uniform,15057153,11,0.026799,0.399524
uniform,15057153,12,0.034891,0.295296
uniform,15057153,13,0.020425,0.244459
uniform,15057153,14,0.000000,0.300420
uniform,15057153,15,0.069369,0.778071
uniform,15057153,16,0.398599,0.534117
uniform,15057153,17,0.002958,0.065363
uniform,15057153,18,0.029341,0.380399
uniform,15057153,19,0.033692,0.571345
uniform,15057153,20,0.150224,0.799107
uniform,15057153,21,0.002115,0.931893
uniform,15057153,22,0.658603,0.468395
uniform,15057153,23,0.022526,0.879807
uniform,15057153,24,0.026948,0.914024
uniform,15057153,25,0.073672,0.283571
uniform,15057153,26,0.032163,0.091777
uniform,15057153,27,0.007223,0.143060
uniform,15057153,28,0.021755,0.633187
uniform,15057153,29,0.055175,0.119775
uniform,15057153,30,0.039299,0.661970
uniform,15057153,31,0.008194,0.904317
control,15057153,0,0.042119,0.068520
control,15057153,1,0.085889,0.218183
control,15057153,2,0.009030,0.415224
control,15057153,3,0.050387,0.367368
control,15057153,4,0.087085,0.159178
control,15057153,5,0.040487,0.063099
control,15057153,6,0.000001,0.310669
control,15057153,7,0.024606,0.276832
control,15057153,8,0.006535,0.318533
control,15057153,9,0.046244,0.155578
control,15057153,10,0.033081,0.214424
control,15057153,11,0.026799,0.167620
control,15057153,12,0.034891,0.101880
control,15057153,13,0.020425,0.411231
control,15057153,14,0.000000,0.160380
control,15057153,15,0.069369,0.170042
control,15057153,16,0.398599,0.163994
control,15057153,17,0.002958,0.144848
control,15057153,18,0.029341,0.083914
control,15057153,19,0.033692,0.270375
control,15057153,20,0.150224,0.276832
control,15057153,21,0.002115,0.359417
control,15057153,22,0.658603,0.371348
control,15057153,23,0.022526,0.346188
control,15057153,24,0.026948,0.331678
control,15057153,25,0.073672,0.409899
control,15057153,26,0.032163,0.183452
control,15057153,27,0.007223,0.065263
control,15057153,28,0.021755,0.071793
control,15057153,29,0.055175,0.279419
control,15057153,30,0.039299,0.080589
control,15057153,31,0.008194,0.327730
