condition,seed,agent,consonance,plv_final
vitality,15057153,0,0.000000,0.068520
vitality,15057153,1,0.045871,0.218183
vitality,15057153,2,0.063502,0.415224
vitality,15057153,3,0.106842,0.367369
vitality,15057153,4,0.149371,0.159178
vitality,15057153,5,0.169193,0.063099
vitality,15057153,6,0.191347,0.310669
vitality,15057153,7,0.229385,0.276831
vitality,15057153,8,0.279405,0.318533
vitality,15057153,9,0.304452,0.155578
vitality,15057153,10,0.329909,0.214424
vitality,15057153,11,0.353308,0.167619
vitality,15057153,12,0.394389,0.101880
vitality,15057153,13,0.426162,0.411231
vitality,15057153,14,0.459712,0.160380
vitality,15057153,15,0.496396,0.054168
vitality,15057153,16,0.518310,0.933549
vitality,15057153,17,0.544407,0.999830
vitality,15057153,18,0.583210,0.999906
vitality,15057153,19,0.593878,0.999958
vitality,15057153,20,0.641115,0.999971
vitality,15057153,21,0.670023,0.999979
vitality,15057153,22,0.713388,0.999984
vitality,15057153,23,0.744276,1.000000
vitality,15057153,24,0.756836,0.999997
vitality,15057153,25,0.805559,0.999994
vitality,15057153,26,0.824661,0.999996
vitality,15057153,27,0.846680,0.999994
vitality,15057153,28,0.905085,0.999999
vitality,15057153,29,0.911145,1.000005
vitality,15057153,30,0.945296,0.999995
vitality,15057153,31,0.973828,0.999999
control,15057153,0,0.000000,0.068520
control,15057153,1,0.045871,0.218183
control,15057153,2,0.063502,0.415224
control,15057153,3,0.106842,0.367368
control,15057153,4,0.149371,0.159178
control,15057153,5,0.169193,0.063099
control,15057153,6,0.191347,0.310669
control,15057153,7,0.229385,0.276832
control,15057153,8,0.279405,0.318533
control,15057153,9,0.304452,0.155578
control,15057153,10,0.329909,0.214424
control,15057153,11,0.353308,0.167620
control,15057153,12,0.394389,0.101880
control,15057153,13,0.426162,0.411231
control,15057153,14,0.459712,0.160380
control,15057153,15,0.496396,0.170042
control,15057153,16,0.518310,0.163994
control,15057153,17,0.544407,0.144848
control,15057153,18,0.583210,0.083914
control,15057153,19,0.593878,0.270375
control,15057153,20,0.641115,0.276832
control,15057153,21,0.670023,0.359417
control,15057153,22,0.713388,0.371348
control,15057153,23,0.744276,0.346188
control,15057153,24,0.756836,0.331678
control,15057153,25,0.805559,0.409899
control,15057153,26,0.824661,0.183452
control,15057153,27,0.846680,0.065263
control,15057153,28,0.905085,0.071793
control,15057153,29,0.911145,0.279419
control,15057153,30,0.945296,0.080589
control,15057153,31,0.973828,0.327730
