condition,seed,pearson_r,group_plv_final
vitality,15057151,0.677252,0.520693
vitality,15057152,0.663694,0.448311
vitality,15057153,0.491646,0.543104
vitality,15057154,0.577356,0.495243
vitality,15057155,0.573457,0.490651
vitality,15057156,0.509631,0.585556
vitality,15057157,0.598071,0.512654
vitality,15057158,0.654524,0.562313
vitality,15057159,0.824138,0.571522
vitality,15057160,0.485181,0.487754
vitality,15057161,0.657111,0.532176
vitality,15057162,0.610561,0.513743
vitality,15057163,0.644521,0.611494
vitality,15057164,0.703000,0.631707
vitality,15057165,0.422028,0.656182
vitality,15057166,0.409577,0.570620
vitality,15057167,0.429734,0.582992
vitality,15057168,0.481566,0.635848
vitality,15057169,0.590991,0.527421
vitality,15057170,0.527431,0.507189
uniform,15057151,-0.131956,0.534550
uniform,15057152,-0.300569,0.492499
uniform,15057153,0.185223,0.576219
uniform,15057154,-0.120146,0.552440
uniform,15057155,0.155201,0.407698
uniform,15057156,0.088096,0.586853
uniform,15057157,-0.074262,0.477816
uniform,15057158,0.166571,0.576173
uniform,15057159,0.006142,0.519575
uniform,15057160,0.009421,0.557236
uniform,15057161,-0.173006,0.476999
uniform,15057162,-0.346319,0.531904
uniform,15057163,-0.048036,0.450374
uniform,15057164,-0.080678,0.476571
uniform,15057165,0.135600,0.738192
uniform,15057166,0.130458,0.566599
uniform,15057167,0.006754,0.509981
uniform,15057168,0.227802,0.599975
uniform,15057169,-0.281200,0.552172
uniform,15057170,-0.444128,0.512140
control,15057151,-0.243642,0.210584
control,15057152,0.241978,0.205042
control,15057153,0.126109,0.229547
control,15057154,-0.202171,0.229779
control,15057155,0.021858,0.212511
control,15057156,-0.202141,0.216107
control,15057157,0.115942,0.227081
control,15057158,0.503321,0.225442
control,15057159,-0.045039,0.229259
control,15057160,-0.104151,0.247951
control,15057161,-0.203017,0.231561
control,15057162,-0.396472,0.259653
control,15057163,-0.223864,0.233955
control,15057164,-0.083147,0.240626
control,15057165,-0.030920,0.259675
control,15057166,0.038320,0.258067
control,15057167,0.327724,0.243053
control,15057168,0.303947,0.265416
control,15057169,-0.019396,0.259271
control,15057170,-0.172999,0.222745
