condition,seed,mean_c_score_loo,g_scene
heredity_nosel,12648490,0.667634,-16.322752
heredity_nosel,12648491,0.564891,-24.996557
heredity_nosel,12648492,0.422449,-45.995701
heredity_nosel,12648493,0.542966,-22.414255
heredity_nosel,12648494,0.434157,-47.029663
heredity_nosel,12648495,0.516367,-22.620970
heredity_nosel,12648496,0.539258,-26.328705
heredity_nosel,12648497,0.592224,-19.392735
heredity_nosel,12648498,0.666801,-10.579697
heredity_nosel,12648499,0.565268,-25.276112
heredity_nosel,12648500,0.523259,-27.559059
heredity_nosel,12648501,0.474016,-46.210712
heredity_nosel,12648502,0.609795,-32.406868
heredity_nosel,12648503,0.487949,-29.238361
heredity_nosel,12648504,0.512269,-44.375359
heredity_nosel,12648505,0.653799,-37.458549
heredity_nosel,12648506,0.517627,-19.746469
heredity_nosel,12648507,0.539014,-21.778833
heredity_nosel,12648508,0.426564,-27.810272
heredity_nosel,12648509,0.514240,-30.993788
random_nosel,12648490,0.444318,-17.334192
random_nosel,12648491,0.357946,-17.020924
random_nosel,12648492,0.361665,-15.423306
random_nosel,12648493,0.395301,-26.983639
random_nosel,12648494,0.498426,-19.069944
random_nosel,12648495,0.361434,-18.646982
random_nosel,12648496,0.494028,-17.229532
random_nosel,12648497,0.402597,-18.436672
random_nosel,12648498,0.428376,-23.569563
random_nosel,12648499,0.337934,-17.551056
random_nosel,12648500,0.402728,-21.686245
random_nosel,12648501,0.298121,-19.532654
random_nosel,12648502,0.357447,-15.441496
random_nosel,12648503,0.383508,-18.790108
random_nosel,12648504,0.402115,-23.053446
random_nosel,12648505,0.377156,-24.615826
random_nosel,12648506,0.380074,-19.283871
random_nosel,12648507,0.488505,-20.121670
random_nosel,12648508,0.465903,-15.045416
random_nosel,12648509,0.383243,-19.027918
heredity,12648490,0.907164,-7.663559
heredity,12648491,0.870610,-3.788064
heredity,12648492,0.930948,-0.635128
heredity,12648493,0.914801,-1.093767
heredity,12648494,0.930948,-0.631031
heredity,12648495,0.960138,-1.073959
heredity,12648496,0.901450,-6.844225
heredity,12648497,0.997231,-0.009435
heredity,12648498,0.885210,-8.922704
heredity,12648499,0.862789,-6.891894
heredity,12648500,0.723346,-22.076527
heredity,12648501,0.727207,-12.658807
heredity,12648502,0.929934,-6.994920
heredity,12648503,0.997231,-0.009435
heredity,12648504,0.821011,-13.559047
heredity,12648505,0.863332,-4.854402
heredity,12648506,0.880525,-3.052376
heredity,12648507,0.685651,-18.400656
heredity,12648508,0.809775,-14.366535
heredity,12648509,0.903132,-8.293894
random,12648490,0.396043,-15.689003
random,12648491,0.467744,-13.590548
random,12648492,0.429420,-15.672608
random,12648493,0.448038,-21.010141
random,12648494,0.473787,-20.644960
random,12648495,0.389896,-16.275274
random,12648496,0.428788,-10.562008
random,12648497,0.433234,-15.550140
random,12648498,0.368534,-20.026348
random,12648499,0.353193,-15.374750
random,12648500,0.467219,-15.161600
random,12648501,0.309419,-20.493193
random,12648502,0.425304,-13.211919
random,12648503,0.324434,-19.655594
random,12648504,0.306854,-22.431845
random,12648505,0.391408,-19.566845
random,12648506,0.397188,-18.060715
random,12648507,0.423987,-18.779093
random,12648508,0.455114,-12.908686
random,12648509,0.461152,-16.285774
