condition,seed,life_id,agent_id,birth_step,death_step,lifetime_steps,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
heredity,12648490,29,29,0,1339,1339,0.500046,0.500046,0.500055,0.000000,0.500046,13
heredity,12648490,30,30,0,1339,1339,0.500002,0.500002,0.500000,0.000488,0.500002,10
heredity,12648490,16,16,0,1343,1343,0.502208,0.502208,0.502202,0.003069,0.502208,11
heredity,12648490,25,25,0,1346,1346,0.503797,0.503797,0.503790,0.003155,0.503797,14
heredity,12648490,5,5,0,1347,1347,0.504426,0.504426,0.504433,0.000000,0.504426,14
heredity,12648490,14,14,0,1348,1348,0.504500,0.504500,0.504499,0.000000,0.504500,10
heredity,12648490,19,19,0,1349,1349,0.505335,0.505335,0.505332,0.001592,0.505335,11
heredity,12648490,12,12,0,1353,1353,0.500000,0.500000,0.500000,0.000000,0.500000,10
heredity,12648490,2,2,0,1360,1360,0.510889,0.510889,0.510886,0.002086,0.510889,10
heredity,12648490,28,28,0,1360,1360,0.500000,0.500000,0.500000,0.000000,0.500000,15
heredity,12648490,17,17,0,1369,1369,0.509347,0.509347,0.509343,0.001455,0.509347,15
heredity,12648490,27,27,0,1381,1381,0.502195,0.502195,0.502197,0.000000,0.502195,15
heredity,12648490,11,11,0,1383,1383,0.522493,0.522493,0.522500,0.000000,0.522493,11
heredity,12648490,24,24,0,1383,1383,0.522200,0.522200,0.522200,0.001392,0.522200,15
heredity,12648490,31,31,0,1388,1388,0.524319,0.524320,0.524313,0.002405,0.524320,11
heredity,12648490,26,26,0,1389,1389,0.524589,0.524589,0.524593,0.000000,0.524589,15
heredity,12648490,10,10,0,1392,1392,0.514827,0.514827,0.514830,0.000000,0.514827,11
heredity,12648490,23,23,0,1400,1400,0.530407,0.530407,0.530400,0.003112,0.530407,14
heredity,12648490,21,21,0,1402,1402,0.531598,0.531598,0.531600,0.000000,0.531598,11
heredity,12648490,20,20,0,1405,1405,0.503236,0.503236,0.503235,0.000000,0.503236,15
heredity,12648490,1,1,0,1407,1407,0.533961,0.533961,0.533955,0.003088,0.533961,12
heredity,12648490,6,6,0,1411,1411,0.525426,0.525426,0.525432,0.000000,0.525425,12
heredity,12648490,18,18,0,1411,1411,0.533364,0.533364,0.533369,0.000000,0.533364,11
heredity,12648490,8,8,0,1414,1414,0.513087,0.513087,0.513082,0.001233,0.513087,11
heredity,12648490,15,15,0,1426,1426,0.541699,0.541699,0.541692,0.002028,0.541699,15
heredity,12648490,13,13,0,1433,1433,0.530681,0.530681,0.530684,0.000000,0.530681,15
heredity,12648490,0,0,0,1435,1435,0.521231,0.521231,0.521236,0.000000,0.521231,12
heredity,12648490,22,22,0,1452,1452,0.539880,0.539880,0.539875,0.002863,0.539880,16
heredity,12648490,7,7,0,1464,1464,0.542854,0.542854,0.542848,0.001573,0.542854,16
heredity,12648490,9,9,0,1480,1480,0.544799,0.544799,0.544800,0.000732,0.544799,13
heredity,12648490,3,3,0,1515,1515,0.573236,0.573236,0.573241,0.000646,0.573236,12
heredity,12648490,4,4,0,1618,1618,0.602069,0.602069,0.602063,0.002794,0.602069,17
heredity,12648490,32,29,1340,2945,1605,0.615923,0.615923,0.615918,0.002050,0.615923,17
heredity,12648490,33,30,1340,2945,1605,0.615923,0.615923,0.615918,0.002050,0.615923,13
heredity,12648490,34,16,1344,3008,1664,0.615923,0.615923,0.615917,0.001930,0.615923,18
heredity,12648490,41,28,1361,3037,1676,0.621854,0.621854,0.621841,0.003794,0.621854,18
heredity,12648490,58,0,1436,3045,1609,0.615923,0.615923,0.615918,0.002028,0.615923,13
heredity,12648490,49,23,1401,3067,1666,0.615923,0.615923,0.615917,0.001899,0.615923,17
heredity,12648490,56,15,1427,3068,1641,0.615923,0.615923,0.615917,0.001983,0.615923,17
heredity,12648490,61,9,1481,3136,1655,0.615923,0.615923,0.615917,0.001968,0.615923,18
heredity,12648490,53,6,1412,3251,1839,0.684698,0.684698,0.684693,0.002537,0.684698,20
heredity,12648490,55,8,1415,3280,1865,0.684698,0.684698,0.684693,0.002537,0.684698,15
heredity,12648490,63,4,1619,3447,1828,0.684698,0.684698,0.684693,0.002537,0.684698,19
heredity,12648490,37,14,1349,3458,2109,0.752957,0.752957,0.752939,0.005139,0.752957,23
heredity,12648490,40,2,1361,3458,2097,0.752957,0.752957,0.752939,0.005156,0.752957,22
heredity,12648490,38,19,1350,3466,2116,0.752957,0.752957,0.752939,0.005121,0.752957,22
heredity,12648490,42,17,1370,3470,2100,0.752957,0.752957,0.752939,0.005150,0.752957,22
heredity,12648490,44,11,1384,3495,2111,0.752957,0.752957,0.752939,0.005133,0.752957,22
heredity,12648490,43,27,1382,3496,2114,0.752957,0.752957,0.752939,0.005127,0.752957,17
heredity,12648490,39,12,1354,3497,2143,0.752957,0.752957,0.752939,0.005080,0.752957,23
heredity,12648490,50,21,1403,3500,2097,0.752957,0.752957,0.752939,0.005156,0.752957,16
heredity,12648490,47,26,1390,3506,2116,0.752957,0.752957,0.752939,0.005121,0.752957,22
heredity,12648490,35,25,1347,3507,2160,0.752957,0.752957,0.752939,0.005063,0.752957,17
heredity,12648490,36,5,1348,3509,2161,0.752957,0.752957,0.752939,0.005057,0.752957,23
heredity,12648490,54,18,1412,3509,2097,0.752957,0.752957,0.752939,0.005156,0.752957,22
heredity,12648490,45,24,1384,3521,2137,0.752957,0.752957,0.752939,0.005092,0.752957,18
heredity,12648490,51,20,1406,3521,2115,0.752957,0.752957,0.752939,0.005127,0.752957,23
heredity,12648490,52,1,1408,3543,2135,0.752957,0.752957,0.752939,0.005098,0.752957,17
heredity,12648490,59,22,1453,3550,2097,0.752957,0.752957,0.752939,0.005156,0.752957,16
heredity,12648490,48,10,1393,3552,2159,0.752957,0.752957,0.752939,0.005063,0.752957,23
heredity,12648490,57,13,1434,3555,2121,0.752957,0.752957,0.752939,0.005121,0.752957,18
heredity,12648490,60,7,1465,3603,2138,0.752957,0.752957,0.752939,0.005092,0.752957,23
heredity,12648490,62,3,1516,3613,2097,0.752957,0.752957,0.752939,0.005156,0.752957,17
heredity,12648490,46,31,1389,4237,2848,0.869718,0.869718,0.869711,0.006142,0.869718,30
heredity,12648490,64,29,2946,5074,2128,0.752957,0.752957,0.752939,0.005104,0.752957,16
heredity,12648490,65,30,2946,5074,2128,0.752957,0.752957,0.752939,0.005104,0.752957,18
heredity,12648490,88,20,3522,5127,1605,0.615923,0.615923,0.615918,0.002050,0.615923,16
heredity,12648490,67,28,3038,5135,2097,0.752957,0.752957,0.752939,0.005156,0.752957,22
heredity,12648490,66,16,3009,5137,2128,0.752957,0.752957,0.752939,0.005104,0.752957,17
heredity,12648490,68,0,3046,5161,2115,0.752957,0.752957,0.752939,0.005127,0.752957,17
heredity,12648490,69,23,3068,5165,2097,0.752957,0.752957,0.752939,0.005156,0.752957,22
heredity,12648490,70,15,3069,5166,2097,0.752957,0.752957,0.752939,0.005156,0.752957,16
heredity,12648490,71,9,3137,5251,2114,0.752957,0.752957,0.752939,0.005127,0.752957,22
heredity,12648490,73,8,3281,5378,2097,0.752957,0.752957,0.752939,0.005156,0.752957,22
heredity,12648490,92,13,3556,5382,1826,0.684698,0.684698,0.684693,0.002537,0.684698,19
heredity,12648490,72,6,3252,5406,2154,0.752957,0.752957,0.752939,0.005063,0.752957,17
heredity,12648490,76,2,3459,5559,2100,0.752957,0.752957,0.752939,0.005150,0.752957,22
heredity,12648490,75,14,3459,5572,2113,0.752957,0.752957,0.752939,0.005133,0.752957,18
heredity,12648490,74,4,3448,5588,2140,0.752957,0.752957,0.752939,0.005086,0.752957,17
heredity,12648490,77,19,3467,5596,2129,0.752957,0.752957,0.752939,0.005098,0.752957,16
heredity,12648490,81,12,3498,5604,2106,0.752957,0.752957,0.752939,0.005144,0.752957,22
heredity,12648490,79,11,3496,5612,2116,0.752957,0.752957,0.752939,0.005121,0.752957,22
heredity,12648490,87,24,3522,5619,2097,0.752957,0.752957,0.752939,0.005156,0.752957,17
heredity,12648490,85,5,3510,5620,2110,0.752957,0.752957,0.752939,0.005139,0.752957,16
heredity,12648490,80,27,3497,5628,2131,0.752957,0.752957,0.752939,0.005109,0.752957,23
heredity,12648490,86,18,3510,5641,2131,0.752957,0.752957,0.752939,0.005109,0.752957,22
heredity,12648490,84,25,3508,5650,2142,0.752957,0.752957,0.752939,0.005080,0.752957,17
heredity,12648490,90,22,3551,5660,2109,0.752957,0.752957,0.752939,0.005139,0.752957,22
heredity,12648490,89,1,3544,5701,2157,0.752957,0.752957,0.752939,0.005057,0.752957,23
heredity,12648490,91,10,3553,5711,2158,0.752957,0.752957,0.752939,0.005063,0.752957,18
heredity,12648490,94,3,3614,5750,2136,0.752957,0.752957,0.752939,0.005098,0.752957,18
heredity,12648490,95,31,4238,6335,2097,0.752957,0.752957,0.752939,0.005156,0.752957,17
heredity,12648490,82,21,3501,6346,2845,0.869718,0.869718,0.869711,0.006147,0.869718,30
heredity,12648490,83,26,3507,6346,2839,0.869718,0.869718,0.869711,0.006133,0.869718,23
heredity,12648490,78,17,3471,6473,3002,0.880776,0.880776,0.880784,0.000000,0.880776,24
heredity,12648490,93,7,3604,6561,2957,0.880776,0.880776,0.880782,0.000000,0.880776,31
heredity,12648490,96,29,5075,6854,1779,0.663039,0.663039,0.663036,0.003755,0.663039,14
heredity,12648490,98,20,5128,6881,1753,0.663039,0.663039,0.663036,0.003879,0.663039,14
heredity,12648490,99,28,5136,6908,1772,0.663039,0.663039,0.663036,0.003794,0.663039,18
heredity,12648490,102,23,5166,6920,1754,0.663039,0.663039,0.663036,0.003872,0.663039,19
heredity,12648490,117,18,5642,7228,1586,0.608897,0.608897,0.608890,0.002601,0.608897,12
heredity,12648490,101,0,5162,7264,2102,0.752957,0.752957,0.752939,0.005144,0.752957,22
