condition,seed,mean_c_start,mean_c_end,occ_start,occ_end,anchor_ji_mass,pairwise_ji_score
heredity_e2_aligned,12648490,0.058933,0.049116,0.375000,0.347826,0.067815,0.243812
random_e2_aligned,12648490,0.058933,0.036807,0.375000,0.260870,0.066761,0.122657
heredity_e2_aligned,12648491,0.054947,0.132187,0.333333,0.541667,0.106720,0.385568
random_e2_aligned,12648491,0.054947,0.055131,0.333333,0.250000,0.081207,0.122124
heredity_e2_aligned,12648492,0.061251,0.082471,0.333333,0.375000,0.300462,0.215206
random_e2_aligned,12648492,0.061251,0.095184,0.333333,0.304348,0.138506,0.089634
heredity_e2_aligned,12648493,0.053230,0.032966,0.208333,0.043478,0.012830,0.297575
random_e2_aligned,12648493,0.053230,0.057980,0.208333,0.333333,0.099456,0.104457
heredity_e2_aligned,12648494,0.033797,0.026038,0.250000,0.136364,0.199791,0.228812
random_e2_aligned,12648494,0.033797,0.062570,0.250000,0.250000,0.102235,0.126006
heredity_e2_aligned,12648495,0.030881,0.018845,0.291667,0.260870,0.048543,0.211437
random_e2_aligned,12648495,0.030881,0.073198,0.291667,0.458333,0.094890,0.104426
heredity_e2_aligned,12648496,0.061191,0.075694,0.333333,0.500000,0.065302,0.354598
random_e2_aligned,12648496,0.061191,0.037163,0.333333,0.260870,0.044065,0.108355
heredity_e2_aligned,12648497,0.036775,0.027934,0.458333,0.041667,0.100838,0.330393
random_e2_aligned,12648497,0.036775,0.131392,0.458333,0.500000,0.305717,0.141928
heredity_e2_aligned,12648498,0.046013,0.041972,0.208333,0.416667,0.035861,0.218091
random_e2_aligned,12648498,0.046013,0.073495,0.208333,0.333333,0.093448,0.128642
heredity_e2_aligned,12648499,0.044548,0.048462,0.375000,0.125000,0.030878,0.366894
random_e2_aligned,12648499,0.044548,0.080461,0.375000,0.363636,0.176730,0.108493
heredity_e2_aligned,12648500,0.039602,0.077493,0.250000,0.454545,0.086905,0.399144
random_e2_aligned,12648500,0.039602,0.030297,0.250000,0.363636,0.062684,0.113721
heredity_e2_aligned,12648501,0.039516,0.075921,0.208333,0.416667,0.086425,0.310287
random_e2_aligned,12648501,0.039516,0.031397,0.208333,0.291667,0.114983,0.108669
heredity_e2_aligned,12648502,0.032461,0.050440,0.208333,0.090909,0.052291,0.179538
random_e2_aligned,12648502,0.032461,0.052193,0.208333,0.260870,0.140959,0.113304
heredity_e2_aligned,12648503,0.029077,0.194736,0.250000,0.333333,0.555998,0.371558
random_e2_aligned,12648503,0.029077,0.065906,0.250000,0.375000,0.151578,0.117689
heredity_e2_aligned,12648504,0.068182,0.070720,0.500000,0.208333,0.292972,0.405551
random_e2_aligned,12648504,0.068182,0.039491,0.500000,0.291667,0.062742,0.095723
heredity_e2_aligned,12648505,0.034874,0.113566,0.333333,0.521739,0.227754,0.187295
random_e2_aligned,12648505,0.034874,0.045158,0.333333,0.391304,0.065386,0.104146
heredity_e2_aligned,12648506,0.041688,0.199199,0.458333,0.666667,0.405520,0.228265
random_e2_aligned,12648506,0.041688,0.038111,0.458333,0.173913,0.150038,0.109125
heredity_e2_aligned,12648507,0.069786,0.046256,0.375000,0.291667,0.084258,0.254815
random_e2_aligned,12648507,0.069786,0.023075,0.375000,0.250000,0.103679,0.099730
heredity_e2_aligned,12648508,0.033397,0.259730,0.208333,0.458333,0.412934,0.228920
random_e2_aligned,12648508,0.033397,0.048230,0.208333,0.333333,0.103435,0.121271
heredity_e2_aligned,12648509,0.027927,0.148056,0.291667,0.458333,0.496776,0.298669
random_e2_aligned,12648509,0.027927,0.042501,0.291667,0.347826,0.099822,0.105048
