condition,seed,anchor_ji_mass,pairwise_ji_score
heredity,12648490,0.150110,0.118421
heredity,12648491,0.111504,0.111715
heredity,12648492,0.140378,0.099426
heredity,12648493,0.091464,0.101363
heredity,12648494,0.048006,0.114856
heredity,12648495,0.058890,0.117451
heredity,12648496,0.122432,0.096865
heredity,12648497,0.100948,0.097942
heredity,12648498,0.060780,0.103634
heredity,12648499,0.108227,0.108577
heredity,12648500,0.094191,0.097934
heredity,12648501,0.116826,0.100552
heredity,12648502,0.099971,0.096642
heredity,12648503,0.069342,0.105412
heredity,12648504,0.124303,0.095832
heredity,12648505,0.128034,0.098417
heredity,12648506,0.077017,0.108398
heredity,12648507,0.111870,0.110087
heredity,12648508,0.115431,0.098969
heredity,12648509,0.063143,0.097450
random,12648490,0.108354,0.103945
random,12648491,0.120347,0.101168
random,12648492,0.153855,0.105774
random,12648493,0.123824,0.102631
random,12648494,0.061575,0.101390
random,12648495,0.057278,0.104091
random,12648496,0.149909,0.104893
random,12648497,0.072368,0.106139
random,12648498,0.093749,0.105274
random,12648499,0.142562,0.114831
random,12648500,0.040509,0.109968
random,12648501,0.132006,0.110494
random,12648502,0.137060,0.100092
random,12648503,0.089567,0.100274
random,12648504,0.063314,0.113756
random,12648505,0.123039,0.113603
random,12648506,0.124257,0.096351
random,12648507,0.101879,0.096376
random,12648508,0.124032,0.103826
random,12648509,0.120085,0.101265
