condition,step,mean_c_score,ci95
heredity,0,0.064344,0.008107
heredity,100,0.064344,0.008107
heredity,200,0.064344,0.008107
heredity,300,0.066023,0.008816
heredity,400,0.067017,0.013380
heredity,500,0.069411,0.015418
heredity,600,0.063852,0.010805
heredity,700,0.071275,0.013516
heredity,800,0.087999,0.026508
heredity,900,0.090685,0.032045
heredity,1000,0.084713,0.030467
heredity,1100,0.089154,0.023659
heredity,1200,0.093660,0.027062
heredity,1300,0.094668,0.030147
heredity,1400,0.094326,0.029012
heredity,1500,0.099870,0.035157
heredity,1600,0.107219,0.045674
heredity,1700,0.089031,0.030601
heredity,1800,0.086532,0.022567
heredity,1900,0.086327,0.026791
heredity,2000,0.099616,0.036312
heredity,2100,0.102796,0.046223
heredity,2200,0.107068,0.044371
heredity,2300,0.101642,0.040916
heredity,2400,0.107501,0.044187
heredity,2500,0.118234,0.056088
heredity,2600,0.122718,0.060895
heredity,2700,0.120863,0.062705
heredity,2800,0.108385,0.049759
heredity,2900,0.114675,0.054774
heredity,3000,0.118319,0.057360
heredity,3100,0.120313,0.052929
heredity,3200,0.107785,0.044054
heredity,3300,0.112765,0.050667
heredity,3400,0.111496,0.051581
heredity,3500,0.104061,0.049041
heredity,3600,0.104881,0.047468
heredity,3700,0.111564,0.051909
heredity,3800,0.113240,0.051648
heredity,3900,0.110524,0.052814
heredity,4000,0.110663,0.044300
heredity,4100,0.110613,0.047423
heredity,4200,0.122504,0.056473
heredity,4300,0.138403,0.072657
heredity,4400,0.141217,0.069157
heredity,4500,0.145784,0.071120
heredity,4600,0.138415,0.065021
heredity,4700,0.127219,0.058235
heredity,4800,0.128448,0.055540
heredity,4900,0.122840,0.050672
heredity,5000,0.119495,0.050295
heredity,5100,0.121942,0.059722
heredity,5200,0.133298,0.062816
heredity,5300,0.135271,0.065318
heredity,5400,0.133464,0.061587
heredity,5500,0.123067,0.051002
heredity,5600,0.122487,0.057172
heredity,5700,0.128705,0.056725
heredity,5800,0.124364,0.051848
heredity,5900,0.129901,0.051142
heredity,6000,0.128640,0.047151
heredity,6100,0.122212,0.044280
heredity,6200,0.115408,0.039890
heredity,6300,0.111969,0.045819
heredity,6400,0.109759,0.040286
heredity,6500,0.112975,0.043127
heredity,6600,0.120484,0.046868
heredity,6700,0.122662,0.054761
heredity,6800,0.125677,0.061950
heredity,6900,0.120922,0.057434
heredity,7000,0.117789,0.055374
heredity,7100,0.127959,0.054783
heredity,7200,0.131201,0.060897
heredity,7300,0.136768,0.067500
heredity,7400,0.125443,0.059975
heredity,7500,0.120245,0.053205
heredity,7600,0.123803,0.051317
heredity,7700,0.125189,0.060390
heredity,7800,0.128484,0.052700
heredity,7900,0.125531,0.050248
heredity,8000,0.133411,0.052927
heredity,8100,0.135889,0.057239
heredity,8200,0.136304,0.056801
heredity,8300,0.150669,0.070526
heredity,8400,0.156049,0.076417
heredity,8500,0.159120,0.074052
heredity,8600,0.137095,0.056545
heredity,8700,0.142047,0.055865
heredity,8800,0.143315,0.060931
heredity,8900,0.145571,0.057082
heredity,9000,0.149632,0.065129
heredity,9100,0.149223,0.057998
heredity,9200,0.129882,0.044670
heredity,9300,0.129776,0.045681
heredity,9400,0.141700,0.053773
heredity,9500,0.137348,0.049274
heredity,9600,0.133640,0.050359
heredity,9700,0.143692,0.056546
heredity,9800,0.142892,0.057264
heredity,9900,0.147353,0.058207
heredity,10000,0.152237,0.061665
heredity,10100,0.166076,0.072877
heredity,10200,0.156982,0.068698
heredity,10300,0.155693,0.074492
heredity,10400,0.153961,0.075037
heredity,10500,0.142869,0.068640
heredity,10600,0.146856,0.072926
heredity,10700,0.135159,0.068707
heredity,10800,0.145078,0.075904
heredity,10900,0.138351,0.065643
heredity,11000,0.140133,0.066278
heredity,11100,0.120161,0.053812
heredity,11200,0.110774,0.044500
heredity,11300,0.115743,0.053465
heredity,11400,0.124067,0.058108
heredity,11500,0.124968,0.059069
heredity,11600,0.135031,0.065822
heredity,11700,0.131356,0.059489
heredity,11800,0.135864,0.062404
heredity,11900,0.134333,0.061475
heredity,12000,0.133678,0.060254
heredity,12100,0.133982,0.056548
heredity,12200,0.117839,0.045505
heredity,12300,0.121069,0.050232
heredity,12400,0.122293,0.048805
heredity,12500,0.137631,0.054379
heredity,12600,0.145854,0.062170
heredity,12700,0.138515,0.066956
heredity,12800,0.128014,0.059540
heredity,12900,0.126442,0.051002
heredity,13000,0.130463,0.057128
heredity,13100,0.144456,0.062435
heredity,13200,0.144134,0.060373
heredity,13300,0.158974,0.068734
heredity,13400,0.153718,0.062561
heredity,13500,0.149006,0.066374
