crowding_strength,seed,final_mean_c,late20_mean_c,final_occ,final_pairwise_ji
0.000000,12648490,0.295746,0.350468,0.250000,0.350838
0.000000,12648491,0.213699,0.347609,0.161290,0.380372
0.000000,12648492,0.239352,0.346432,0.187500,0.354045
0.000000,12648493,0.152543,0.341317,0.093750,0.405984
0.000000,12648494,0.267520,0.348419,0.218750,0.362675
0.000000,12648495,0.210034,0.342404,0.156250,0.379565
0.000000,12648496,0.329440,0.352613,0.281250,0.309893
0.000000,12648497,0.239317,0.348505,0.187500,0.354550
0.000000,12648498,0.268692,0.348369,0.218750,0.349853
0.000000,12648499,0.180837,0.344676,0.125000,0.390725
0.000000,12648500,0.210123,0.347981,0.156250,0.423541
0.000000,12648501,0.239473,0.348018,0.187500,0.336602
0.000000,12648502,0.210091,0.344028,0.156250,0.391047
0.000000,12648503,0.210100,0.345158,0.156250,0.370697
0.000000,12648504,0.210065,0.346489,0.156250,0.375719
0.000000,12648505,0.297907,0.347568,0.250000,0.330204
0.000000,12648506,0.297974,0.351742,0.250000,0.344351
0.000000,12648507,0.211207,0.346414,0.156250,0.369300
0.000000,12648508,0.237258,0.346388,0.187500,0.363518
0.000000,12648509,0.180772,0.343667,0.125000,0.391948
0.037500,12648490,0.052740,0.210335,0.281250,0.253333
0.037500,12648491,0.114644,0.201283,0.062500,0.321688
0.037500,12648492,0.114686,0.196015,0.093750,0.278204
0.037500,12648493,0.162255,0.224948,0.093750,0.297847
0.037500,12648494,0.049691,0.188330,0.375000,0.313385
0.037500,12648495,0.140415,0.197423,0.312500,0.294401
0.037500,12648496,0.117170,0.181030,0.031250,0.330954
0.037500,12648497,0.103104,0.209934,0.125000,0.357293
0.037500,12648498,0.053412,0.194966,0.281250,0.226723
0.037500,12648499,0.089082,0.210535,0.031250,0.266103
0.037500,12648500,0.119541,0.184119,0.093750,0.396427
0.037500,12648501,0.173376,0.203053,0.156250,0.322866
0.037500,12648502,0.182613,0.198640,0.156250,0.287365
0.037500,12648503,0.072279,0.220816,0.062500,0.420722
0.037500,12648504,0.155164,0.232983,0.125000,0.281855
0.037500,12648505,0.129575,0.212167,0.125000,0.404817
0.037500,12648506,0.207147,0.205907,0.156250,0.302807
0.037500,12648507,0.069015,0.181287,0.062500,0.371699
0.037500,12648508,0.028412,0.233676,0.031250,0.222163
0.037500,12648509,0.013875,0.200087,0.000000,0.406381
0.075000,12648490,0.062463,0.194870,0.250000,0.291847
0.075000,12648491,0.132240,0.206471,0.093750,0.266146
0.075000,12648492,0.144598,0.199704,0.250000,0.347984
0.075000,12648493,0.091624,0.210959,0.125000,0.193042
0.075000,12648494,0.064496,0.211283,0.062500,0.250482
0.075000,12648495,0.100421,0.192744,0.125000,0.288539
0.075000,12648496,0.105321,0.218177,0.593750,0.412069
0.075000,12648497,0.110106,0.197978,0.375000,0.320221
0.075000,12648498,0.149728,0.185413,0.250000,0.240005
0.075000,12648499,0.053507,0.251294,0.031250,0.346563
0.075000,12648500,0.114811,0.200591,0.125000,0.318161
0.075000,12648501,0.090844,0.191639,0.031250,0.295310
0.075000,12648502,0.086849,0.212454,0.125000,0.323556
0.075000,12648503,0.076197,0.206618,0.062500,0.493972
0.075000,12648504,0.067910,0.210582,0.156250,0.344630
0.075000,12648505,0.031379,0.183849,0.000000,0.376294
0.075000,12648506,0.078806,0.238187,0.062500,0.342282
0.075000,12648507,0.100860,0.207020,0.093750,0.290481
0.075000,12648508,0.216251,0.211106,0.156250,0.286767
0.075000,12648509,0.155777,0.236001,0.093750,0.370913
0.150000,12648490,0.081278,0.183899,0.031250,0.250516
0.150000,12648491,0.049380,0.209747,0.062500,0.199965
0.150000,12648492,0.068137,0.217241,0.000000,0.341193
0.150000,12648493,0.072811,0.209504,0.218750,0.344195
0.150000,12648494,0.109664,0.206066,0.093750,0.325402
0.150000,12648495,0.084014,0.201441,0.031250,0.290993
0.150000,12648496,0.031971,0.194699,0.343750,0.280239
0.150000,12648497,0.042553,0.186727,0.000000,0.357520
0.150000,12648498,0.048685,0.209294,0.031250,0.371533
0.150000,12648499,0.064003,0.187382,0.031250,0.420321
0.150000,12648500,0.084202,0.198848,0.187500,0.373093
0.150000,12648501,0.068900,0.205902,0.031250,0.326144
0.150000,12648502,0.102181,0.189373,0.062500,0.396648
0.150000,12648503,0.101886,0.217053,0.125000,0.317554
0.150000,12648504,0.092520,0.197102,0.062500,0.319125
0.150000,12648505,0.081530,0.199990,0.062500,0.272009
0.150000,12648506,0.081342,0.199786,0.031250,0.301584
0.150000,12648507,0.036291,0.189799,0.437500,0.287209
0.150000,12648508,0.063670,0.212748,0.031250,0.312491
0.150000,12648509,0.082934,0.180973,0.031250,0.524117
