condition,seed,mean_c_start,mean_c_end,occ_start,occ_end,anchor_ji_mass,pairwise_ji_score
heredity_oracle_global_freeze,12648490,0.055184,0.999943,0.291667,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648491,0.050962,0.999943,0.333333,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648492,0.031100,0.999943,0.208333,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648493,0.059079,0.999943,0.375000,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648494,0.031294,0.999943,0.208333,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648495,0.038947,0.999943,0.166667,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648496,0.042700,0.999943,0.291667,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648497,0.037165,0.999943,0.291667,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648498,0.074961,0.999943,0.458333,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648499,0.090746,0.999943,0.291667,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648500,0.058537,0.999943,0.375000,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648501,0.031356,0.999943,0.208333,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648502,0.053384,0.999943,0.416667,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648503,0.051805,0.999943,0.291667,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648504,0.043314,0.999943,0.208333,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648505,0.057833,0.999943,0.458333,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648506,0.096452,0.999943,0.416667,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648507,0.071327,0.999943,0.458333,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648508,0.053749,0.999943,0.416667,1.000000,0.999306,1.000000
heredity_oracle_global_freeze,12648509,0.028763,0.999943,0.166667,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648490,0.055184,0.999943,0.291667,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648491,0.050962,0.999943,0.333333,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648492,0.031100,0.999943,0.208333,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648493,0.059079,0.999943,0.375000,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648494,0.031294,0.999943,0.208333,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648495,0.038947,0.999943,0.166667,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648496,0.042700,0.999943,0.291667,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648497,0.037165,0.999943,0.291667,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648498,0.074961,0.999943,0.458333,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648499,0.090746,0.999943,0.291667,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648500,0.058537,0.999943,0.375000,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648501,0.031356,0.999943,0.208333,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648502,0.053384,0.999943,0.416667,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648503,0.051805,0.999943,0.291667,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648504,0.043314,0.999943,0.208333,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648505,0.057833,0.999943,0.458333,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648506,0.096452,0.999943,0.416667,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648507,0.071327,0.999943,0.458333,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648508,0.053749,0.999943,0.416667,1.000000,0.999306,1.000000
random_oracle_global_freeze,12648509,0.028763,0.999943,0.166667,1.000000,0.999306,1.000000
