pop_size,seed,final_mean_c,late20_mean_c,final_occ,final_pairwise_ji
1,12648490,0.999943,0.999944,1.000000,0.000000
1,12648491,0.999943,0.999944,1.000000,0.000000
1,12648492,0.999943,0.999944,1.000000,0.000000
1,12648493,0.999943,0.999944,1.000000,0.000000
1,12648494,0.999943,0.999944,1.000000,0.000000
1,12648495,0.999943,0.999944,1.000000,0.000000
1,12648496,0.999943,0.999944,1.000000,0.000000
1,12648497,0.999943,0.999944,1.000000,0.000000
1,12648498,0.999943,0.999944,1.000000,0.000000
1,12648499,0.999943,0.999944,1.000000,0.000000
1,12648500,0.999943,0.999944,1.000000,0.000000
1,12648501,0.999943,0.999944,1.000000,0.000000
1,12648502,0.999943,0.999944,1.000000,0.000000
1,12648503,0.999943,0.999944,1.000000,0.000000
1,12648504,0.999943,0.999944,1.000000,0.000000
1,12648505,0.999943,0.999944,1.000000,0.000000
1,12648506,0.999943,0.999944,1.000000,0.000000
1,12648507,0.999943,0.999944,1.000000,0.000000
1,12648508,0.999943,0.999944,1.000000,0.000000
1,12648509,0.999943,0.999944,1.000000,0.000000
2,12648490,0.999943,0.974945,1.000000,1.000000
2,12648491,0.999943,0.999944,1.000000,1.000000
2,12648492,0.999943,0.999944,1.000000,1.000000
2,12648493,0.999943,0.999944,1.000000,1.000000
2,12648494,0.999943,0.999944,1.000000,1.000000
2,12648495,0.999943,0.999944,1.000000,1.000000
2,12648496,0.999943,0.999944,1.000000,1.000000
2,12648497,0.999943,0.999944,1.000000,1.000000
2,12648498,0.999943,0.999944,1.000000,1.000000
2,12648499,0.999943,0.999944,1.000000,1.000000
2,12648500,0.999943,0.999944,1.000000,1.000000
2,12648501,0.999943,0.999944,1.000000,1.000000
2,12648502,0.999943,0.999944,1.000000,1.000000
2,12648503,0.999943,0.999944,1.000000,1.000000
2,12648504,0.999943,0.999944,1.000000,1.000000
2,12648505,0.999943,0.999944,1.000000,1.000000
2,12648506,0.999943,0.999944,1.000000,1.000000
2,12648507,0.999943,0.999944,1.000000,1.000000
2,12648508,0.999943,0.999944,1.000000,1.000000
2,12648509,0.999943,0.999944,1.000000,1.000000
4,12648490,0.999943,0.987460,1.000000,1.000000
4,12648491,0.999943,0.999944,1.000000,1.000000
4,12648492,0.999943,0.999944,1.000000,1.000000
4,12648493,0.999943,0.999944,1.000000,1.000000
4,12648494,0.999943,0.999944,1.000000,1.000000
4,12648495,0.999943,0.999944,1.000000,1.000000
4,12648496,0.999943,0.999944,1.000000,1.000000
4,12648497,0.999943,0.999944,1.000000,1.000000
4,12648498,0.999943,0.999944,1.000000,1.000000
4,12648499,0.999943,0.999944,1.000000,1.000000
4,12648500,0.999943,0.999944,1.000000,1.000000
4,12648501,0.999943,0.999944,1.000000,1.000000
4,12648502,0.999943,0.999944,1.000000,1.000000
4,12648503,0.999943,0.999944,1.000000,1.000000
4,12648504,0.999943,0.999944,1.000000,1.000000
4,12648505,0.999943,0.999944,1.000000,1.000000
4,12648506,0.999943,0.999944,1.000000,1.000000
4,12648507,0.999943,0.999944,1.000000,1.000000
4,12648508,0.999943,0.999944,1.000000,1.000000
4,12648509,0.999943,0.999944,1.000000,1.000000
8,12648490,0.999944,0.993758,1.000000,1.000000
8,12648491,0.999944,0.992874,1.000000,1.000000
8,12648492,0.999944,0.993702,1.000000,1.000000
8,12648493,0.999944,0.981225,1.000000,1.000000
8,12648494,0.999944,0.999944,1.000000,1.000000
8,12648495,0.999944,0.999944,1.000000,1.000000
8,12648496,0.999944,0.999944,1.000000,1.000000
8,12648497,0.999944,0.999944,1.000000,1.000000
8,12648498,0.999944,0.999944,1.000000,1.000000
8,12648499,0.999944,0.999944,1.000000,1.000000
8,12648500,0.999944,0.999944,1.000000,1.000000
8,12648501,0.999944,0.999944,1.000000,1.000000
8,12648502,0.999944,0.999944,1.000000,1.000000
8,12648503,0.999944,0.999944,1.000000,1.000000
8,12648504,0.999944,0.999944,1.000000,1.000000
8,12648505,0.999944,0.999944,1.000000,1.000000
8,12648506,0.999944,0.999944,1.000000,1.000000
8,12648507,0.999944,0.999944,1.000000,1.000000
8,12648508,0.999944,0.999944,1.000000,1.000000
8,12648509,0.999944,0.999944,1.000000,1.000000
16,12648490,0.999944,0.984425,1.000000,1.000000
16,12648491,0.999944,0.981225,1.000000,1.000000
16,12648492,0.999944,0.990584,1.000000,1.000000
16,12648493,0.999944,0.981225,1.000000,1.000000
16,12648494,0.999944,0.990638,1.000000,1.000000
16,12648495,0.999944,0.993704,1.000000,1.000000
16,12648496,0.999944,0.999944,1.000000,1.000000
16,12648497,0.999944,0.999944,1.000000,1.000000
16,12648498,0.999944,0.999944,1.000000,1.000000
16,12648499,0.999944,0.999944,1.000000,1.000000
16,12648500,0.999944,0.999944,1.000000,1.000000
16,12648501,0.999944,0.999944,1.000000,1.000000
16,12648502,0.999944,0.999944,1.000000,1.000000
16,12648503,0.999944,0.999944,1.000000,1.000000
16,12648504,0.999944,0.999944,1.000000,1.000000
16,12648505,0.999944,0.999944,1.000000,1.000000
16,12648506,0.999944,0.999944,1.000000,1.000000
16,12648507,0.999944,0.999944,1.000000,1.000000
16,12648508,0.999944,0.999944,1.000000,1.000000
16,12648509,0.999944,0.999944,1.000000,1.000000
32,12648490,0.999943,0.993762,1.000000,1.000000
32,12648491,0.999943,0.990671,1.000000,1.000000
32,12648492,0.999943,0.995307,1.000000,1.000000
32,12648493,0.999943,0.990671,1.000000,1.000000
32,12648494,0.999943,0.993757,1.000000,1.000000
32,12648495,0.999943,0.995307,1.000000,1.000000
32,12648496,0.999943,0.993762,1.000000,1.000000
32,12648497,0.999943,0.992216,1.000000,1.000000
32,12648498,0.968987,0.989113,0.968750,0.950601
32,12648499,0.999943,0.995302,1.000000,1.000000
32,12648500,0.969036,0.982944,0.968750,0.950600
32,12648501,0.999943,0.995304,1.000000,1.000000
32,12648502,0.999943,0.992211,1.000000,1.000000
32,12648503,0.999943,0.990642,1.000000,1.000000
32,12648504,0.999943,0.993762,1.000000,1.000000
32,12648505,0.999943,0.992211,1.000000,1.000000
32,12648506,0.999943,0.992211,1.000000,1.000000
32,12648507,0.999943,0.992216,1.000000,1.000000
32,12648508,0.999943,0.990664,1.000000,1.000000
32,12648509,0.999943,0.993757,1.000000,1.000000
